Blancas,Negras,Result,ECO,Opening
ACEROJAVIER,thiagones,0-1,D02,Queen's Pawn Game: Zukertort Variation
ACEROJAVIER,Jktp,0-1,D02,Queen's Pawn Game: Chigorin Variation
interzonalplan,ACEROJAVIER,0-1,A41,Robatsch Defense
sekak_seter,ACEROJAVIER,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
chessendless,ACEROJAVIER,0-1,B21,Sicilian Defense: Smith-Morra Gambit
ACEROJAVIER,chessendless,1-0,B01,Scandinavian Defense
nicomarchant626,ACEROJAVIER,0-1,A40,Modern Defense
freddy92000,ACEROJAVIER,0-1,A41,Robatsch Defense
ACEROJAVIER,Vipin_bhawsar896,0-1,A04,Zukertort : Slav Invitation
ACEROJAVIER,shadowsvanish,1/2-1/2,D02,Queen's Pawn Game: London System
fchet,ACEROJAVIER,0-1,B06,Modern Defense: Pseudo-Austrian Attack
ACEROJAVIER,theglock7,1/2-1/2,A04,Zukertort : Slav Invitation
wwp_s,ACEROJAVIER,1-0,A10,English : Great Snake Variation
ACEROJAVIER,anan4enkos,1-0,D02,Queen's Pawn Game: Krause Variation
RF188,ACEROJAVIER,0-1,B07,Modern Defense: Geller's System
zhanbota01,ACEROJAVIER,0-1,B06,Modern Defense: Two Knights Variation
ACEROJAVIER,Shutranjy,1-0,A04,Zukertort : Pirc Invitation
ACEROJAVIER,slonnd,0-1,A13,"English : Agincourt Defense, Wimpy System"
ACEROJAVIER,vladislavho2,1-0,A01,Nimzo-Larsen Attack
vladislavho2,ACEROJAVIER,0-1,A40,Modern Defense
ACEROJAVIER,vladislavho2,1-0,A04,Zukertort : Queen's Gambit Invitation
vladislavho2,ACEROJAVIER,0-1,B06,Modern Defense
ACEROJAVIER,vladislavho2,0-1,A04,Zukertort : Queen's Gambit Invitation
vladislavho2,ACEROJAVIER,1-0,A42,Modern Defense: Kotov Variation
payging,ACEROJAVIER,1-0,B06,Modern Defense: Two Knights Variation
