Blancas,Negras,Result,ECO,Opening
Abril_Espinoza,player12021,1-0,C50,Italian Game: Anti-Fried Liver Defense
rewrtwqewter,Abril_Espinoza,0-1,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Abril_Espinoza,Halan2005,1-0,C44,Scotch Game: Benima Defense
Alan_Abreu,Abril_Espinoza,1-0,C57,"Italian Game: Two Knights Defense, Ulvestad Variation"
Abril_Espinoza,JACOBOPUERTARENDON,0-1,A00,Van't Kruijs
Queen1123,Abril_Espinoza,1-0,C55,Italian Game: Scotch Gambit
INMORTAL20,Abril_Espinoza,1-0,E60,"Indian Defense: King's Indian Variation, Fianchetto Variation"
Abril_Espinoza,jheffer20,1-0,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
karucs-4563,Abril_Espinoza,1-0,E78,"King's Indian Defense: Four Pawns Attack, Fluid Attack"
Slars7,Abril_Espinoza,1-0,C92,"Ruy Lopez: Closed, Zaitsev System"
Abril_Espinoza,nightwish_army,0-1,B10,Caro-Kann Defense: Breyer Variation
Ulask12,Abril_Espinoza,0-1,C23,Bishop's
goldberg111,Abril_Espinoza,0-1,B02,Alekhine Defense
Abril_Espinoza,Hanamaila,0-1,B00,Pirc Defense
Shermal,Abril_Espinoza,0-1,A45,Indian Defense
Abril_Espinoza,manwedil,1-0,B20,Sicilian Defense
KAR70,Abril_Espinoza,0-1,C44,Ponziani : Jaenisch Counterattack
ValentinoUrraco2007,Abril_Espinoza,0-1,-1,-1
Abril_Espinoza,Houssein1977,0-1,C00,French Defense: Normal Variation
Abril_Espinoza,Alan_Abreu,0-1,-1,-1
tabushidan,Abril_Espinoza,1-0,A45,Indian Defense
Abril_Espinoza,danielhuertas,1-0,C51,Italian Game: Evans Gambit
johnfvald,Abril_Espinoza,0-1,A45,Canard
LokingMaster20,Abril_Espinoza,1-0,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
Abril_Espinoza,Hegotablazo,0-1,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
deyber89,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,Serkai,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
Sabiovillalobos,Abril_Espinoza,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Abril_Espinoza,java45,1-0,B00,King's Pawn
Rochynanang,Abril_Espinoza,1-0,C30,King's Gambit Declined: Queen's Knight Defense
Abril_Espinoza,Hodie74,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
retilente,Abril_Espinoza,0-1,A02,Bird
Abril_Espinoza,dinorex2,1-0,B30,Sicilian Defense: Old Sicilian
storm282015,Abril_Espinoza,0-1,E94,"King's Indian Defense: Orthodox Variation, Positional Defense, Closed Line"
Abril_Espinoza,umar_khatab,0-1,-1,-1
Abril_Espinoza,vectorial,0-1,B30,Sicilian Defense: Old Sicilian
Murilost23,Abril_Espinoza,0-1,A15,English : Anglo-Indian Defense
santiagorisaralda,Abril_Espinoza,0-1,C44,Scotch Game: Benima Defense
Abril_Espinoza,rafaelbustamante,0-1,C59,"Italian Game: Two Knights Defense, Polerio Defense, Suhle Defense"
IA1980,Abril_Espinoza,1-0,E83,"King's Indian Defense: Smisch Variation, Yates Defense"
Abril_Espinoza,sofirop,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation, Traditional Line"
xxjuanxxx,Abril_Espinoza,0-1,-1,-1
JuanJim63,Abril_Espinoza,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Abril_Espinoza,Margui,0-1,B01,Scandinavian Defense: Main Line
MIKHAIL_TAL_EL_MAGO,Abril_Espinoza,0-1,A45,Indian Defense
Abril_Espinoza,xXAnderzonXx,0-1,C41,Philidor Defense
Abril_Espinoza,artyklein,1-0,B15,Caro-Kann Defense
bounamouss21,Abril_Espinoza,1-0,C25,Vienna Game: Vienna Gambit
hamza1997,Abril_Espinoza,1-0,C24,Bishop's : Vienna Hybrid
Abril_Espinoza,ryanoob,1-0,B03,Alekhine Defense
JoelEze,Abril_Espinoza,0-1,B06,Modern Defense
burntbeefsteak1968,Abril_Espinoza,0-1,C23,Bishop's
lichess AI level 5,Abril_Espinoza,1-0,A00,Van Geet
Abril_Espinoza,lichess AI level 5,0-1,C01,French Defense: Exchange Variation
Abril_Espinoza,caled57,1-0,B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit"
iwanttoplaychess,Abril_Espinoza,1-0,A48,London System
Abril_Espinoza,etg80,0-1,B10,Caro-Kann Defense
Chinorafahh,Abril_Espinoza,0-1,C68,Ruy Lopez: Exchange Variation
Abril_Espinoza,Chinorafahh,1-0,C51,"Italian Game: Evans Gambit, McDonnell Defense"
Abril_Espinoza,Andres_F12,1/2-1/2,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit"
Abril_Espinoza,amaurydejesus,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
Blacknight186,Abril_Espinoza,1/2-1/2,C92,"Ruy Lopez: Closed, Flohr System"
Abril_Espinoza,MingoGonzalez,1-0,B73,"Sicilian Defense: Dragon Variation, Classical Variation"
GA3RA,Abril_Espinoza,1-0,C21,Danish Gambit
Abril_Espinoza,RuizLeo,1-0,C51,Italian Game: Evans Gambit Declined
Abril_Espinoza,abunachat,0-1,C51,"Italian Game: Evans Gambit, Harding Variation"
DamianNavaTamburrini,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Raziel50,Abril_Espinoza,1-0,C91,"Ruy Lopez: Closed, Bogoljubov Variation"
Abril_Espinoza,G8264918,0-1,B07,Pirc Defense
JAMALGIVARA,Abril_Espinoza,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
Abril_Espinoza,abiel66,0-1,C59,"Italian Game: Two Knights Defense, Polerio Defense, Suhle Defense"
Edw_Mendoza,Abril_Espinoza,1-0,C24,Bishop's : Vienna Hybrid
Abril_Espinoza,CIBAQuique,0-1,C47,Four Knights Game: Italian Variation
Abril_Espinoza,Loberco,1-0,C41,Philidor Defense
KingChessPro,Abril_Espinoza,0-1,C45,Scotch Game: Potter Variation
Abril_Espinoza,carlos_gonzalez,0-1,A05,Zukertort : Lemberger Gambit
painn,Abril_Espinoza,0-1,C78,Ruy Lopez: Morphy Defense
Abril_Espinoza,rndae,1-0,A41,King's Pawn Game: Marczy Defense
Abril_Espinoza,spaceman87,1-0,B40,Sicilian Defense: French Variation
Abril_Espinoza,Reyroques,0-1,B07,Pirc Defense
yeps78,Abril_Espinoza,1-0,A40,Englund Gambit
Abril_Espinoza,ugos43,0-1,B50,Sicilian Defense
actiu,Abril_Espinoza,1-0,E62,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System"
Andik35,Abril_Espinoza,1-0,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
Abril_Espinoza,nousecomp,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
moreno13,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,alymani33,1-0,C50,Italian Game: Schilling-Kostic Gambit
Abril_Espinoza,phector486,0-1,B27,Sicilian Defense: Hyperaccelerated Dragon
Zalman94,Abril_Espinoza,0-1,C20,King's Pawn Game: King's Head
Abril_Espinoza,TheSolitaryKing,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
ImadAliraqi,Abril_Espinoza,1-0,C34,King's Gambit Accepted: MacLeod Defense
Abril_Espinoza,Billyrvs,0-1,C00,French Defense: Normal Variation
NaseNS,Abril_Espinoza,1/2-1/2,C46,Three Knights
Abril_Espinoza,VedantReyansh,1-0,C57,"Italian Game: Two Knights Defense, Knight Attack"
Abril_Espinoza,rfc11,0-1,B30,Sicilian Defense: Old Sicilian
rfc11,Abril_Espinoza,1-0,C77,"Ruy Lopez: Morphy Defense, Tarrasch Variation"
rfc11,Abril_Espinoza,0-1,E62,"King's Indian Defense: Fianchetto Variation, Uhlmann-Szabo System"
RevengDante,Abril_Espinoza,1-0,C45,Scotch Game
Abril_Espinoza,Doandris2004,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Romg12,Abril_Espinoza,1-0,C78,Ruy Lopez: Morphy Defense
Abril_Espinoza,vladsuar,0-1,B50,Sicilian Defense
rfc11,Abril_Espinoza,1-0,C77,"Ruy Lopez: Morphy Defense, Tarrasch Variation"
Abril_Espinoza,ReifersonX-X,0-1,B01,Scandinavian Defense: Main Line
jeffren10,Abril_Espinoza,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Abril_Espinoza,Alan_Abreu,1-0,C57,"Italian Game: Two Knights Defense, Fritz, Gruber Variation"
carlbc84,Abril_Espinoza,0-1,C47,Four Knights Game: Italian Variation
Hosseinkhani,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,hitesh1030,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Abril_Espinoza,Denis_Kereytov2012,1-0,C41,Philidor Defense
Fyakos,Abril_Espinoza,1-0,C20,King's Pawn Game: Leonardis Variation
Abril_Espinoza,The_f1rst33,0-1,B12,Caro-Kann Defense
linusj,Abril_Espinoza,1-0,C24,Bishop's : Warsaw Gambit
biassedmoss6373,Abril_Espinoza,0-1,A46,Indian Defense: Wade-Tartakower Defense
Abril_Espinoza,fridegol,0-1,B40,Sicilian Defense: French Variation
Kunashakcky,Abril_Espinoza,1-0,E92,King's Indian Defense: Petrosian Variation
Abril_Espinoza,elius_7,0-1,C52,"Italian Game: Evans Gambit, Pierce Defense"
Yury_1961,Abril_Espinoza,1-0,E70,King's Indian Defense: Normal Variation
Abril_Espinoza,lilos-team,1-0,B40,Sicilian Defense: Four Knights Variation
Abril_Espinoza,angel550,1-0,B00,King's Pawn
EliDoe,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,mehmet0630,0-1,B06,"Modern Defense: Two Knights Variation, Suttles Variation"
SuperGeneral,Abril_Espinoza,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Abril_Espinoza,anti01987,0-1,B06,Modern Defense: Mongredien Defense
Mazenga98,Abril_Espinoza,1-0,C24,Bishop's : Berlin Defense
Abril_Espinoza,Mohamad1977,0-1,C51,"Italian Game: Evans Gambit, Harding Variation"
Abril_Espinoza,VLABOR64B,1-0,B00,King's Pawn
QUEDATENCASA,Abril_Espinoza,0-1,C50,Italian Game: Hungarian Defense
Skywalker79,Abril_Espinoza,0-1,A45,Indian Defense
Abril_Espinoza,juozas123,0-1,B08,"Pirc Defense: Classical Variation, Quiet System"
Solareclipse8,Abril_Espinoza,0-1,E61,King's Indian Defense: Smyslov Variation
Abril_Espinoza,boryanich081,0-1,C50,Italian Game: Anti-Fried Liver Defense
NamanGarimella12,Abril_Espinoza,0-1,C46,Three Knights
Abril_Espinoza,tranhavcl,0-1,B73,"Sicilian Defense: Dragon Variation, Classical Variation"
Abril_Espinoza,vladsuar,0-1,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation"
Jose_Barreto,Abril_Espinoza,1-0,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
vladsuar,Abril_Espinoza,1-0,A45,Indian Defense
Abril_Espinoza,Williams_Abreu78,1-0,B40,Sicilian Defense: Four Knights Variation
Abril_Espinoza,ReifersonX-X,0-1,B90,Sicilian Defense: Najdorf Variation
jeffren10,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,Doandris2004,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
jacksilany,Abril_Espinoza,0-1,C45,Scotch Game: Schmidt Variation
Abril_Espinoza,gilaryaraujo12,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
vladsuar,Abril_Espinoza,1-0,A45,Indian Defense
Abril_Espinoza,Alan_Abreu,0-1,C47,Four Knights Game: Italian Variation
Williams_Abreu78,Abril_Espinoza,0-1,-1,-1
Doandris2004,Abril_Espinoza,1-0,A40,Englund Gambit
carlbc84,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Chava08,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Abril_Espinoza,carlbc84,0-1,C52,"Italian Game: Evans Gambit, Pierce Defense"
Abril_Espinoza,Wilsonpalencia,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
jeffren10,Abril_Espinoza,1-0,C24,Bishop's : Berlin Defense
gilaryaraujo12,Abril_Espinoza,0-1,A00,Van't Kruijs
Abril_Espinoza,DrPennywise,0-1,B90,Sicilian Defense: Najdorf Variation
Doandris2004,Abril_Espinoza,1-0,C30,King's Gambit
Abril_Espinoza,jeffren10,0-1,A02,Bird
gilaryaraujo12,Abril_Espinoza,0-1,C45,Scotch Game: Schmidt Variation
Abril_Espinoza,jeffren10,0-1,B41,Sicilian Defense: Kan Variation
Wilsonpalencia,Abril_Espinoza,1-0,A48,Torre Attack
