Blancas,Negras,Result,ECO,Opening
pascalka0409,Adiosabu23,1-0,A09,Rti : Reversed Blumenfeld Gambit
Adiosabu23,Dayana001,1-0,C41,Philidor Defense
Adiosabu23,JhonattanCA,1-0,B00,Barnes Defense
alicia_valencia,Adiosabu23,0-1,D04,Queen's Pawn Game: Colle System
MateoCortes,Adiosabu23,0-1,A45,Queen's Pawn Game: Chigorin Variation
Mariacamilamz,Adiosabu23,0-1,B20,Sicilian Defense
andrecli,Adiosabu23,0-1,C44,King's Knight : Konstantinopolsky
Adiosabu23,Jandy_lorena24,1-0,C00,Rat Defense: Small Center Defense
Adiosabu23,h_gutierrez,1-0,C60,Ruy Lopez: Nrnberg Variation
Adiosabu23,valeriaRoche,1-0,C71,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
Adiosabu23,MegaBarto,1-0,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
Steve2512108,Adiosabu23,0-1,A22,"English : King's English Variation, Two Knights Variation, Reversed Dragon"
Fabio_Duque,Adiosabu23,0-1,D00,Queen's Pawn Game: Mason Variation
ale_tavera,Adiosabu23,0-1,B30,Sicilian Defense: Old Sicilian
Adiosabu23,braulio115,1-0,C42,Russian Game
Adiosabu23,Sebastian_Buitrago,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Adiosabu23,Jhonier_Garcia,1-0,C42,Russian Game
Adiosabu23,www68,0-1,C16,"French Defense: Winawer Variation, Advance Variation"
Quillotamaster,Adiosabu23,0-1,D51,"Queen's Gambit Declined: Capablanca Variation, Anti-Cambridge Springs Variation"
Adiosabu23,Richard_Nati,1/2-1/2,B02,Alekhine Defense: Two Pawn Attack
CoolerMove,Adiosabu23,0-1,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,danielcuba,1-0,D10,Slav Defense: Exchange Variation
Adiosabu23,DetectivePikachu11,1-0,D02,Queen's Pawn Game: London System
failedworldcupquali,Adiosabu23,0-1,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,NuhiJashari,1/2-1/2,B01,Scandinavian Defense: Kloosterboer Gambit
giftedcreation,Adiosabu23,0-1,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,Elyon2000,0-1,B30,Sicilian Defense: Old Sicilian
Elyon2000,Adiosabu23,0-1,A46,Indian Defense: Wade-Tartakower Defense
Adiosabu23,Elyon2000,0-1,B30,Sicilian Defense: Old Sicilian
Elyon2000,Adiosabu23,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Adiosabu23,Consent_to_treatment,0-1,D01,Richter-Veresov Attack
rodp92,Adiosabu23,1-0,A00,Hungarian : Symmetrical Variation
Adiosabu23,AnimalKing,1/2-1/2,B29,"Sicilian Defense: Nimzowitsch Variation, Advance Variation"
MarkusMaischberger,Adiosabu23,0-1,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,VonSinnen,0-1,B00,Ware Defense
VonSinnen,Adiosabu23,1-0,D02,Queen's Pawn Game: Zukertort Variation
Adiosabu23,JanierMM,1-0,B02,Alekhine Defense: Normal Variation
Adiosabu23,braulio115,1-0,C42,Russian Game
Fabio_Duque,Adiosabu23,1-0,A45,Indian Defense
Adiosabu23,Jhonier_Garcia,1-0,A23,"English : King's English Variation, Two Knights Variation, Keres Variation"
Fabio_Duque,Adiosabu23,1-0,A45,Indian Defense
Elcoste,Adiosabu23,0-1,-1,-1
braulio115,Adiosabu23,0-1,B20,Sicilian Defense: Bowdler Attack
Adiosabu23,Fabio_Duque,1-0,C41,Philidor Defense
Adiosabu23,malorita1239,0-1,A84,Dutch Defense: Bladel Variation
marvinguev,Adiosabu23,1-0,B33,Sicilian Defense: Lasker-Pelikan Variation
Adiosabu23,marvinguev,0-1,E10,Indian Defense: Anti-Nimzo-Indian
Adiosabu23,madhav116,0-1,B18,"Caro-Kann Defense: Classical Variation, Main Line"
Cerdifixer,Adiosabu23,1-0,A09,Rti : Advance Variation
Adiosabu23,Cerdifixer,1/2-1/2,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
TheMa,Adiosabu23,0-1,B15,Caro-Kann Defense: Tartakower Variation
Adiosabu23,fussi,0-1,A40,Modern Defense
www68,Adiosabu23,1-0,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,liordis31,0-1,A65,Benoni Defense: King's Pawn Line
SutorminDA,Adiosabu23,0-1,B15,Caro-Kann Defense: Tartakower Variation
Adiosabu23,Napo18,1-0,D02,Queen's Pawn Game: Krause Variation
ObiWanKANOEBI,Adiosabu23,1-0,D41,Queen's Gambit Declined: Semi-Tarrasch Defense
Adiosabu23,licg,0-1,E48,"Nimzo-Indian Defense: Normal Variation, Bishop Attack, Classical Defense"
Cerdifixer,Adiosabu23,1-0,A13,English : Agincourt Defense
Pretender365,Adiosabu23,0-1,A13,"English : Agincourt Defense, Catalan Defense"
Adiosabu23,W-B-Yeats,0-1,A50,Indian Defense: Normal Variation
Ldearco,Adiosabu23,1-0,A13,English : Agincourt Defense
sotirakis,Adiosabu23,0-1,B23,Sicilian Defense: Closed
Adiosabu23,El_Jacko,1/2-1/2,D01,Rapport-Jobava System
Adiosabu23,Arrubarena77,0-1,D00,Queen's Pawn Game
Adiosabu23,QuarterPawn,1/2-1/2,A44,Benoni Defense: Semi-Benoni
Barry2205,Adiosabu23,0-1,A15,"English : Anglo-Indian Defense, Old Indian Formation"
Adiosabu23,Grancanarias,0-1,A81,Dutch Defense: Blackburne Variation
Tieffllug,Adiosabu23,1/2-1/2,D41,Queen's Gambit Declined: Semi-Tarrasch Defense
Adiosabu23,Zohaib_Gillani,1-0,E20,Nimzo-Indian Defense: Romanishin Variation
wblodw,Adiosabu23,1-0,B23,Sicilian Defense: Closed
SD63,Adiosabu23,0-1,D21,Queen's Gambit Accepted: Gunsberg Defense
Adiosabu23,imsk,0-1,D35,Queen's Gambit Declined: Normal Defense
Adiosabu23,patan123456789,0-1,A52,"Indian Defense: Budapest Defense, Adler Variation"
Islam_Haceliyev,Adiosabu23,0-1,D50,"Queen's Gambit Declined: Pseudo-Tarrasch Variation, Primitive Pillsbury Variation"
Kornyushin,Adiosabu23,0-1,B32,Sicilian Defense: Lwenthal Variation
Adiosabu23,Xychael27,1-0,E76,"King's Indian Defense: Four Pawns Attack, Dynamic Attack"
Adiosabu23,gaizca,1-0,D10,Slav Defense: Exchange Variation
Adiosabu23,Kornyushin,1-0,A50,Indian Defense: Normal Variation
MrTarrasch,Adiosabu23,1-0,B22,Sicilian Defense: Alapin Variation
ruslanlis,Adiosabu23,1-0,D41,Queen's Gambit Declined: Semi-Tarrasch Defense
Adiosabu23,MS_Dhoni7,1/2-1/2,A45,"Trompowsky Attack: Classical Defense, Big Center Variation"
