Blancas,Negras,Result,ECO,Opening
DanielBarreto,Alan_Abreu,1-0,A48,East Indian Defense
Alan_Abreu,DanielBarreto,0-1,B50,Sicilian Defense
DanielBarreto,Alan_Abreu,1-0,D94,Grnfeld Defense: Smyslov Defense
Alan_Abreu,DanielBarreto,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
DanielBarreto,Alan_Abreu,0-1,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
Alan_Abreu,DanielBarreto,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
DanielBarreto,Alan_Abreu,1/2-1/2,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Alan_Abreu,DanielBarreto,0-1,B10,Caro-Kann Defense: Two Knights Attack
DanielBarreto,Alan_Abreu,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Alan_Abreu,abdelhamid1976,0-1,B30,Sicilian Defense: Old Sicilian
rousiath,Alan_Abreu,1-0,A45,Indian Defense: Tartakower Attack
Alan_Abreu,rogerjuana,0-1,B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line"
STOCKFUCHI1,Alan_Abreu,0-1,C47,Four Knights Game: Italian Variation
Alan_Abreu,ULETBULU,1-0,B30,Sicilian Defense: Old Sicilian
Abu-Iman,Alan_Abreu,0-1,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
Alan_Abreu,Plackton,1-0,B01,Scandinavian Defense: Modern Variation
Alan_Abreu,monorojo7,1-0,C46,Three Knights
Louis-Wu,Alan_Abreu,0-1,C57,"Italian Game: Two Knights Defense, Ulvestad Variation"
sfl97,Alan_Abreu,1-0,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
alshamrdal,Alan_Abreu,1-0,C68,Ruy Lopez: Exchange Variation
Alan_Abreu,Lobodeferro,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Alan_Abreu,Princeida,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
ansorzakaria,Alan_Abreu,1-0,C45,Scotch Game: Classical Variation
shreyansmehta19,Alan_Abreu,1-0,C48,Four Knights Game: Spanish Variation
Alan_Abreu,champblayr,0-1,B90,Sicilian Defense: Najdorf Variation
Alan_Abreu,alejandrovizoso,0-1,C01,French Defense: Exchange Variation
Alan_Abreu,slymnkaraca77,1-0,C41,Philidor Defense: Exchange Variation
ollumgollum,Alan_Abreu,0-1,A10,English : Great Snake Variation
bigshaq1,Alan_Abreu,1-0,A10,English : Great Snake Variation
Alan_Abreu,bigshaq1,1-0,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
PGGALDINO,Alan_Abreu,0-1,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
Alan_Abreu,Mr_IBEW_Local,0-1,B00,Nimzowitsch Defense: Lean Variation
shervin1386,Alan_Abreu,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Sicamber,Alan_Abreu,0-1,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
Alan_Abreu,caquin11,1-0,C50,Italian Game: Anti-Fried Liver Defense
Alan_Abreu,ReiferTara,0-1,B90,Sicilian Defense: Najdorf Variation
ReiferTara,Alan_Abreu,1-0,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
DanielBarreto,Alan_Abreu,0-1,C01,French Defense: Exchange Variation
Alan_Abreu,DanielBarreto,0-1,B53,Sicilian Defense: Chekhover Variation
DanielBarreto,Alan_Abreu,1-0,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
Alan_Abreu,DanielBarreto,0-1,B90,Sicilian Defense: Najdorf Variation
NotTyphoon,Alan_Abreu,1-0,C28,"Vienna Game: Stanley Variation, Three Knights Variation"
Alan_Abreu,Cthulewd,1-0,B01,Scandinavian Defense: Modern Variation
dbcogswell,Alan_Abreu,0-1,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
Alan_Abreu,barak_the_mediocre,1-0,B75,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line"
budimir63,Alan_Abreu,1-0,C23,Bishop's
Alan_Abreu,Schopenhauer94,1-0,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line"
Edificher,Alan_Abreu,1-0,C34,King's Gambit Accepted: MacLeod Defense
Alan_Abreu,zavisa4,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
cretinouspawns,Alan_Abreu,0-1,C30,King's Gambit Declined: Queen's Knight Defense
Alan_Abreu,NeoMix7,1-0,C50,Italian Game: Rousseau Gambit
SoChessGoes,Alan_Abreu,1-0,C44,Ponziani : Jaenisch Counterattack
