Blancas,Negras,Result,ECO,Opening
As_Sirait,Alejo_santos18,0-1,B32,Sicilian Defense: Lwenthal Variation
ramiko,Alejo_santos18,1-0,D02,Queen's Pawn Game: Zukertort Variation
Alejo_santos18,nikogda,1-0,A53,Old Indian Defense
alisan-k,Alejo_santos18,1-0,B20,Sicilian Defense: Bowdler Attack
ravi181818,Alejo_santos18,1-0,B32,Sicilian Defense: Lwenthal Variation
Alejo_santos18,suzanasferreira55,1-0,A40,Horwitz Defense
Alejo_santos18,Kpss24,1-0,A00,Englund Gambit Declined: Reversed French
Alejo_santos18,yasinfathi,1-0,E10,Indian Defense: Anti-Nimzo-Indian
zivkohen,Alejo_santos18,0-1,B23,"Sicilian Defense: Closed, Korchnoi Defense"
Alejo_santos18,BigMuff,1-0,A40,Queen's Pawn Game
Ahmad_Jaser,Alejo_santos18,0-1,B21,Sicilian Defense: Smith-Morra Gambit
hayaxi80,Alejo_santos18,1-0,D00,Queen's Pawn Game
Alejo_santos18,supercarl213,1-0,E60,Indian Defense: West Indian Defense
Alejo_santos18,pedroasm,1-0,E60,Indian Defense: West Indian Defense
serpico12,Alejo_santos18,1-0,B20,Sicilian Defense: Bowdler Attack
JardimB,Alejo_santos18,0-1,B23,"Sicilian Defense: Closed, Traditional"
Alejo_santos18,JorgeMalaquias,1/2-1/2,A40,Horwitz Defense
Alejo_santos18,corobel,0-1,A40,Englund Gambit
Henry_Darke,Alejo_santos18,0-1,B30,Sicilian Defense: Old Sicilian
Alejo_santos18,sing_yakin,1-0,A40,Englund Gambit Complex: Soller Gambit
GovernorFajarda,Alejo_santos18,1-0,D00,Queen's Pawn Game
gui51,Alejo_santos18,1-0,B32,Sicilian Defense: Open
Alejo_santos18,SLICKRICK85,0-1,D11,Slav Defense: Quiet Variation
Alejo_santos18,Igrok24,1-0,A40,Modern Defense
Alejo_santos18,sachinkhamkar,1-0,D30,Queen's Gambit Declined
justinv,Alejo_santos18,0-1,A01,Nimzo-Larsen Attack: Classical Variation
YodaBadger,Alejo_santos18,1/2-1/2,A00,Hungarian : Catalan Formation
Isco26,Alejo_santos18,1/2-1/2,A00,Van't Kruijs
slavendoor,Alejo_santos18,0-1,A01,Nimzo-Larsen Attack: Classical Variation
Alejo_santos18,Tal00,1-0,A40,Mikenas Defense
Alejo_santos18,Master2029,0-1,D06,Queen's Gambit Declined: Marshall Defense
mongecruz,Alejo_santos18,0-1,A00,Hungarian : Catalan Formation
angara,Alejo_santos18,1/2-1/2,D45,Semi-Slav Defense: Main Line
Alejo_santos18,jackspenpai,1-0,A43,Benoni Defense: Benoni Gambit Accepted
Alejo_santos18,AzizSoleymanzadeh,1-0,D10,Slav Defense
Saltikovo,Alejo_santos18,0-1,D00,Queen's Pawn Game: Mason Attack
Alejo_santos18,stepback88,1-0,A00,Mieses
shtoshni,Alejo_santos18,0-1,D35,Queen's Gambit Declined: Exchange Variation
Alejo_santos18,mastersherlock,0-1,A40,Englund Gambit Complex: Englund Gambit
Alejo_santos18,Kobydog,1-0,C20,Center Game
vetanee06,Alejo_santos18,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
favero,Alejo_santos18,1-0,B30,Sicilian Defense: Old Sicilian
Alejo_santos18,JTan12,0-1,A40,Queen's Pawn Game
erdme,Alejo_santos18,1-0,A13,English : Agincourt Defense
Alejo_santos18,dirtnap1337,0-1,E60,Indian Defense: West Indian Defense
monugoshwami,Alejo_santos18,0-1,A00,Saragossa
Alejo_santos18,daversoft,1-0,D06,Queen's Gambit Declined: Marshall Defense
micro-dog,Alejo_santos18,0-1,D02,Queen's Pawn Game: Zukertort Variation
Alejo_santos18,jayloco88,0-1,A84,Dutch Defense: Classical Variation
pablo123456,Alejo_santos18,1-0,D30,Queen's Gambit Declined
Alejo_santos18,imsober,0-1,A43,Benoni Defense: Benoni Gambit Accepted
ljustop,Alejo_santos18,1-0,A00,Van't Kruijs
Alejo_santos18,diechess7,1-0,D30,Queen's Gambit Declined
SlySlySly,Alejo_santos18,0-1,D00,Queen's Pawn Game: Mason Variation
Alejo_santos18,Rickky52,1-0,A40,Modern Defense
Alejo_santos18,mr_ashtari,1-0,A51,Indian Defense: Budapest Defense
douglasabreu,Alejo_santos18,1-0,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
Alejo_santos18,vladsuar,1-0,B28,"Sicilian Defense: O'Kelly Variation, Marczy Bind, Robatsch Line"
Jesus1999GM,Alejo_santos18,0-1,B32,Sicilian Defense: Lwenthal Variation
Alejo_santos18,jeffren10,0-1,E14,Queen's Indian Defense: Spassky System
Alejo_santos18,vladsuar,0-1,A80,Dutch Defense
Raffa05,Alejo_santos18,0-1,B23,Sicilian Defense: Closed
Alejo_santos18,killingmachin,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
Alejo_santos18,Ruturaj45,1-0,C21,Center Game: Kieseritzky Variation
Borsosfoldi,Alejo_santos18,0-1,B32,Sicilian Defense: Lwenthal Variation
Alejo_santos18,kfro,1-0,B06,Modern Defense
Alejo_santos18,OmarSadaBorge,1-0,A46,Indian Defense: Spielmann-Indian
ZeroChills,Alejo_santos18,0-1,B30,Sicilian Defense: Old Sicilian
Alejo_santos18,enzoquipildor,1-0,E12,Queen's Indian Defense
Jeandeslunes,Alejo_santos18,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense"
Alejo_santos18,klydethegreat,1-0,E10,Indian Defense: Anti-Nimzo-Indian
hovdav,Alejo_santos18,1-0,B20,Sicilian Defense
Alejo_santos18,caballorojo,1-0,C01,French Defense: Exchange Variation
Alejo_santos18,Aryia,1-0,D30,Queen's Gambit Declined
tankberry,Alejo_santos18,0-1,D37,"Queen's Gambit Declined: Harrwitz Attack, Orthodox Defense"
and_reyka,Alejo_santos18,0-1,B32,Sicilian Defense: Lwenthal Variation
Alejo_santos18,JSchlenker,0-1,A46,Indian Defense: Spielmann-Indian
SergejSotchi,Alejo_santos18,1/2-1/2,D02,Queen's Pawn Game: Zukertort Variation
Alejo_santos18,haytham98,1-0,D05,Queen's Pawn Game: Colle System
Disastronaut,Alejo_santos18,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Alejo_santos18,Borisimo,1-0,D20,Queen's Gambit Accepted: Old Variation
Alejo_santos18,Reims_Douala,1-0,D11,Slav Defense: Quiet Variation
naprof,Alejo_santos18,0-1,B21,Sicilian Defense: Smith-Morra Gambit
rkoelbach,Alejo_santos18,0-1,E06,Catalan : Closed
