Blancas,Negras,Result,ECO,Opening
SuperSayayinDios,AngelLuque,1-0,C00,French Defense: Normal Variation
Darshan_Kanuri,AngelLuque,0-1,A00,Hungarian
AngelLuque,Darshan_Kanuri,0-1,A00,Van't Kruijs
Darshan_Kanuri,AngelLuque,1-0,A00,Hungarian
AngelLuque,Darshan_Kanuri,0-1,A00,Hungarian
Darshan_Kanuri,AngelLuque,1-0,A00,Hungarian
yashas_202419,AngelLuque,1-0,A00,Gedult's
ibrahim_aslan,AngelLuque,0-1,C00,French Defense: Knight Variation
Anna_Sophie,AngelLuque,1-0,A04,Zukertort : Pirc Invitation
AngelLuque,Anna_Sophie,0-1,A00,Van't Kruijs
AngelLuque,Yanare,1-0,A00,Van't Kruijs
ASebastian_SanRamon,AngelLuque,1-0,A41,Queen's Pawn Game
AngelLuque,CaldodeMazapan,0-1,A00,Van't Kruijs
CaldodeMazapan,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,aatulya_shiva,0-1,A00,Hungarian : Slav Formation
aatulya_shiva,AngelLuque,1-0,C00,French Defense: Knight Variation
AngelLuque,j_smerdel54,1-0,A00,Van't Kruijs
j_smerdel54,AngelLuque,1-0,C00,French Defense: Queen's Knight
AngelLuque,j_smerdel54,1-0,A00,Van't Kruijs
AngelLuque,Rohitbhupalam,0-1,A00,Van't Kruijs
AngelLuque,LeoGF,0-1,A00,Van't Kruijs
AngelLuque,cchallenge355,0-1,C25,Vienna Game: Anderssen Defense
AngelLuque,Murilogs,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
pysalmon,AngelLuque,0-1,C00,Rat Defense: Small Center Defense
PoulpeDeter38,AngelLuque,0-1,C44,Scotch Game
AngelLuque,Bad_Opening,1-0,C25,Vienna Game: Paulsen Variation
CoolDudeChess,AngelLuque,0-1,D00,Queen's Pawn Game: Mason Variation
AngelLuque,ashotvazilinov,0-1,B29,Sicilian Defense: Nimzowitsch Variation
Erlik28,AngelLuque,1/2-1/2,C00,French Defense
ConquerorChess,AngelLuque,1-0,C00,Rat Defense: Small Center Defense
AngelLuque,ConquerorChess,1/2-1/2,B20,Sicilian Defense
AngelLuque,kiachess_master90,0-1,C40,King's Pawn Game: Busch-Gass Gambit
Passion2Play,AngelLuque,0-1,A00,Van Geet : Reversed Nimzowitsch
AngelLuque,I-Saswata_01,1-0,A00,Van't Kruijs
Wunders,AngelLuque,1-0,C00,French Defense
zamogholi,AngelLuque,0-1,A01,Nimzo-Larsen Attack
AngelLuque,Isunshining,1-0,A00,Van't Kruijs
CheckaKhan,AngelLuque,0-1,C47,Four Knights Game: Scotch Variation
vladsuar,AngelLuque,1-0,A40,Queen's Pawn Game
AngelLuque,edwuinb1,0-1,-1,-1
Williams_Abreu78,AngelLuque,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
AngelLuque,vladsuar,0-1,B54,Sicilian Defense: Accelerated Dragon
jeffren10,AngelLuque,1-0,B00,King's Pawn
guadajg,AngelLuque,1-0,B00,King's Pawn
AngelLuque,Williams_Abreu78,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
AngelLuque,oscarhernadez,0-1,-1,-1
edwuinb1,AngelLuque,1-0,B00,King's Pawn
jeffren10,AngelLuque,1-0,C50,Italian Game: Giuoco Pianissimo
DeepZi,AngelLuque,1/2-1/2,D07,Queen's Gambit Declined: Chigorin Defense
AngelLuque,DeepZi,0-1,C57,"Italian Game: Two Knights Defense, Fritz Variation"
AngelLuque,jjejjejje,0-1,B01,Scandinavian Defense: Main Line
