Blancas,Negras,Result,ECO,Opening
Cacho22,cinder_bke,0-1,B50,Sicilian Defense: Delayed Alapin
DanielF14,Cacho22,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
bayhtwe81,Cacho22,1-0,A00,Van't Kruijs
Cacho22,Mohamed_mmmm,0-1,B50,Sicilian Defense: Delayed Alapin
mherize,Cacho22,1-0,A04,Zukertort : Sicilian Invitation
Cacho22,carlbc84,0-1,C23,Bishop's : Boi Variation
ReifersonX-X,Cacho22,1-0,A45,Indian Defense
Monchosky,Cacho22,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Cacho22,carlbc84,1-0,C50,Giuoco Piano
Monchosky,Cacho22,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
jeffren10,Cacho22,1-0,B20,Sicilian Defense: Lasker-Dunne Attack
Cacho22,mherize,1-0,B30,Sicilian Defense: Old Sicilian
mustafaengur,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Cacho22,B-Like12,0-1,C00,French Defense: Normal Variation
QxQx,Cacho22,1-0,E70,King's Indian Defense: Accelerated Averbakh Variation
Cacho22,Geraxx07,0-1,B00,Pirc Defense
mnmassari,Cacho22,1-0,A40,Slav Indian: Kudischewitsch Gambit
Cacho22,Geraxx07,0-1,A00,Gedult's
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Geraxx07,Cacho22,0-1,B22,Sicilian Defense: Alapin Variation
Cacho22,vladsuar,0-1,B28,"Sicilian Defense: O'Kelly Variation, Kieseritzky System"
jeffren10,Cacho22,1-0,B20,Sicilian Defense: Snyder Variation
Cacho22,vladsuar,0-1,B28,"Sicilian Defense: O'Kelly Variation, Venice System, Steiner Line"
jeffren10,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Cacho22,mnmassari,0-1,C50,Italian Game: Hungarian Defense
vladsuar,Cacho22,1-0,A45,Indian Defense
yudya_adji1969,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Cacho22,Carlos64_b,0-1,B10,Caro-Kann Defense: Two Knights Attack
spinozetto,Cacho22,0-1,B21,Sicilian Defense: McDonnell Attack
Cacho22,irfaan123,1-0,B10,Caro-Kann Defense
