Blancas,Negras,Result,ECO,Opening
hamlet1946,Chava08,1-0,D00,Queen's Pawn Game
Chava08,power_of_knight,0-1,C00,French Defense: King's Indian Attack
cjop1,Chava08,1-0,C45,Scotch Game: Blumenfeld Attack
Williams_Abreu78,Chava08,1-0,A01,Nimzo-Larsen Attack
Chava08,cabri007,1-0,B00,King's Pawn
Yasinhaydarusta,Chava08,0-1,C20,King's Pawn Game: Macleod Attack
Chava08,Mfundo_Mbewe,1-0,C01,French Defense: Exchange Variation
Chava08,vrogelov,0-1,C00,French Defense: Knight Variation
ebuzer1508,Chava08,0-1,D00,Queen's Pawn Game: Chigorin Variation
qwq373,Chava08,1-0,D00,Queen's Pawn Game: Mason Variation
Chava08,omarbajlan,1-0,B06,Modern Defense
Chava08,iba99,1-0,C40,King's Pawn Game: Gunderam Gambit
Narmaldakka,Chava08,0-1,C30,King's Gambit
Chava08,Bronenosec,0-1,C45,Scotch Game: Classical Variation
Chava08,lukenswormm,0-1,B94,Sicilian Defense: Najdorf Variation
Selqndur,Chava08,1-0,C50,Italian Game: Jerome Gambit
Chava08,Orennero1,1-0,C45,Scotch Game
rapidorkiarie,Chava08,0-1,C53,Italian Game: Classical Variation
goliardi,Chava08,1-0,C53,Italian Game: Classical Variation
Chava08,muhammedemet,0-1,B07,Modern Defense: Geller's System
hafensaengerx,Chava08,1-0,C30,King's Gambit
Chava08,habib-5,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Zeally,Chava08,0-1,C50,Four Knights Game: Italian Variation
M1ntaqZ,Chava08,1/2-1/2,C50,Four Knights Game: Italian Variation
Chava08,carlbc84,0-1,C44,Scotch Game
Chava08,douglasabreu,0-1,C45,Scotch Game: Classical Variation
Chava08,Williams_Abreu78,0-1,B46,Sicilian Defense: Taimanov Variation
DrPennywise,Chava08,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Chava08,douglasabreu,0-1,C47,Four Knights Game: Italian Variation
gilaryaraujo12,Chava08,0-1,C45,Scotch Game: Classical Variation
Wilsonpalencia,Chava08,1-0,D02,Queen's Pawn Game: Symmetrical Variation
Chava08,Abril_Espinoza,1-0,C50,Italian Game: Hungarian Defense
Doandris2004,Chava08,1-0,C79,"Ruy Lopez: Morphy Defense, Steinitz Deferred"
jeffren10,Chava08,1-0,C50,Italian Game: Giuoco Pianissimo
Chava08,carlbc84,0-1,C50,Giuoco Piano
Chava08,Franavila,0-1,B32,Sicilian Defense: Open
