Blancas,Negras,Result,ECO,Opening
Chewuar85,survivalzombie,1-0,B03,"Alekhine Defense: Four Pawns Attack, Trifunovic Variation"
Dominion4,Chewuar85,1-0,B01,Scandinavian Defense: Gubinsky-Melts Defense
Chewuar85,cuerosky,0-1,C40,Elephant Gambit
franjedrez,Chewuar85,1-0,A45,Indian Defense
cuerosky,Chewuar85,1-0,D00,Blackmar-Diemer Gambit: Gedult Gambit
Chewuar85,WURA8zg8,1-0,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
Loliki69,Chewuar85,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
WURA8zg8,Chewuar85,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Chewuar85,mhmiguel2000,0-1,B30,Sicilian Defense: Old Sicilian
Chewuar85,Dominion4,1-0,B30,Sicilian Defense: Old Sicilian
gaguez,Chewuar85,0-1,A48,Torre Attack
Chewuar85,flk2,1-0,B12,Caro-Kann Defense
Chewuar85,franjedrez,0-1,B06,Modern Defense: Standard Defense
HALion_222,Chewuar85,1/2-1/2,B01,Scandinavian Defense: Mieses-Kotroc Variation
Chewuar85,gcc0,1-0,B00,St. George Defense
hardmangold,Chewuar85,0-1,D94,"Grnfeld Defense: Three Knights Variation, Burille Variation"
Ajedrezpreciso,Chewuar85,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
Chewuar85,PlantiYlaMaceta,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Kevin_Hoegy,Chewuar85,1-0,B01,Scandinavian Defense
Bettulla,Chewuar85,1/2-1/2,C30,King's Gambit Declined: Queen's Knight Defense
Chewuar85,muzoadux,0-1,A00,Van't Kruijs
Chewuar85,g-u-i-l,1-0,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
Chewuar85,PrathameshM,0-1,B32,Sicilian Defense: Kalashnikov Variation
Jesus0541541,Chewuar85,0-1,C00,French Defense: Queen's Knight
Chewuar85,Sapsickle,0-1,B00,Owen Defense
theblindman1980,Chewuar85,1/2-1/2,B01,Scandinavian Defense: Gubinsky-Melts Defense
kamaio,Chewuar85,0-1,D00,Blackmar-Diemer Gambit: Euwe Defense
Chewuar85,nosoylukamodric,1-0,C11,"French Defense: Classical Variation, Steinitz Variation"
Talaat84,Chewuar85,0-1,A45,Indian Defense
Chewuar85,JaureguiBarinas,1-0,C47,Four Knights Game
