Blancas,Negras,Result,ECO,Opening
altol1669,DanielBarreto,0-1,B50,Sicilian Defense
DanielBarreto,Badmannelly,1-0,B06,Modern Defense
nutschess,DanielBarreto,0-1,A00,Van Geet
DanielBarreto,nice_am_been,1-0,C44,King's Knight : Normal Variation
changing,DanielBarreto,1-0,D05,Queen's Pawn Game: Colle System
DanielBarreto,nice_am_been,1-0,C20,King's Pawn Game: Leonardis Variation
dimkarr,DanielBarreto,0-1,B15,Caro-Kann Defense
DanielBarreto,Stronghold-X,1-0,A40,Modern Defense
jtc68,DanielBarreto,0-1,B20,Sicilian Defense
grossya,DanielBarreto,1-0,A08,King's Indian Attack: Sicilian Variation
DanielBarreto,odasso10,0-1,A40,Horwitz Defense
DanielBarreto,grossya,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Taspens,DanielBarreto,1-0,A00,Hungarian : Catalan Formation
DanielBarreto,Pavalamali10,1-0,A43,Benoni Defense: Old Benoni
GMshooter96,DanielBarreto,1-0,A07,King's Indian Attack
DanielBarreto,Madonina,0-1,C01,French Defense: Exchange Variation
mykelpagz,DanielBarreto,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
Boomshackalacka,DanielBarreto,0-1,A08,King's Indian Attack: Sicilian Variation
DanielBarreto,jcgm3,1-0,B50,Sicilian Defense: Modern Variations
fhytdf32,DanielBarreto,0-1,B50,Sicilian Defense
DanielBarreto,DrBulka,1-0,B06,Modern Defense: Mongredien Defense
DanielBarreto,piya2601200,0-1,B30,Sicilian Defense: Old Sicilian
JimmyMow,DanielBarreto,1-0,A07,King's Indian Attack
DanielBarreto,greg_sarg,0-1,B41,Sicilian Defense: Kan Variation
stamnouts,DanielBarreto,1-0,D43,Semi-Slav Defense
DanielBarreto,slavik666,0-1,A40,Queen's Pawn Game
DanielBarreto,bschaden268_lc1,0-1,A00,Van't Kruijs
DanielBarreto,ZionPureinHeart,0-1,A00,Van't Kruijs
Shvvder1982,DanielBarreto,1-0,A00,Van't Kruijs
DanielBarreto,Renagade,0-1,A00,Van't Kruijs
bschaden268_lc1,DanielBarreto,1-0,C00,Rat Defense: Small Center Defense
ZionPureinHeart,DanielBarreto,0-1,A45,Indian Defense
DanielBarreto,iplay4fun13,1-0,A00,Mieses
DanielBarreto,BlotterFan,1-0,A00,Van't Kruijs
Chessmagician009210,DanielBarreto,0-1,B02,Alekhine Defense
DanielBarreto,Trungdung070900,1/2-1/2,A00,Van't Kruijs
DanielBarreto,HolographicX,1-0,A00,Van't Kruijs
BlotterFan,DanielBarreto,0-1,A45,Indian Defense: Pawn Push Variation
DanielBarreto,ARMENI2021,1-0,A00,Van't Kruijs
DanielBarreto,TimyrPopov,1-0,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
bschaden268_lc1,DanielBarreto,1-0,C00,Rat Defense: Small Center Defense
DanielBarreto,Yoniboster,1-0,A00,Van't Kruijs
Abcdefu123,DanielBarreto,0-1,C00,French Defense: Mediterranean Defense
DanielBarreto,Johan19tkd,0-1,A00,Van't Kruijs
ROCKERCHESS11,DanielBarreto,1-0,B00,Pirc Defense
DanielBarreto,Trungdung070900,0-1,A00,Van't Kruijs
PopovArt,DanielBarreto,0-1,B02,Alekhine Defense: Krejcik Variation
Rudranshraj14,DanielBarreto,0-1,B02,Alekhine Defense: Krejcik Variation
DanielBarreto,remus131131,0-1,A00,Mieses
Suckouttt,DanielBarreto,1-0,C00,French Defense: Two Knights Variation
DanielBarreto,ssww94,0-1,A43,Benoni Defense: Old Benoni
DanielBarreto,STAS12,1-0,D05,Queen's Pawn Game: Colle System
CUBANOVSKY,DanielBarreto,0-1,A05,Zukertort : Lemberger Gambit
DanielBarreto,coop4uk,1-0,A00,Van't Kruijs
Atity,DanielBarreto,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
robe09,DanielBarreto,1/2-1/2,B50,Sicilian Defense: Modern Variations
DanielBarreto,TTNDoTrongKhanh-2012,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
DanielBarreto,Lyuteev_Saha,1-0,D00,Queen's Pawn Game
Halfturn,DanielBarreto,1-0,B23,Sicilian Defense: Closed
DanielBarreto,Trungdung070900,0-1,A01,Nimzo-Larsen Attack
FirePhoenix8,DanielBarreto,1-0,D43,Semi-Slav Defense
DanielBarreto,Obliviax,1-0,B02,"Alekhine Defense: Two Pawn Attack, Lasker Variation"
goooplus,DanielBarreto,0-1,D02,Queen's Pawn Game: Zukertort Variation
MI-GARREET,DanielBarreto,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Scheveningen Formation"
DanielBarreto,Gamufacu,1-0,A00,Mieses
DanielBarreto,rabesocke,1-0,A45,Indian Defense
Legendary_1988,DanielBarreto,1-0,E06,Catalan : Closed
pmlmail,DanielBarreto,0-1,D43,Semi-Slav Defense
DanielBarreto,Drfeelgood_death,1-0,A40,"Pterodactyl Defense: Queen Pterodactyl, Quiet Line"
DanielBarreto,Legendary_1988,0-1,B07,Modern Defense: Geller's System
DanielBarreto,bharathi20,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
A_L_E,DanielBarreto,1-0,A14,"English : Agincourt Defense, Neo-Catalan Declined"
DanielBarreto,hitsuji,1-0,A45,Indian Defense
