Blancas,Negras,Result,ECO,Opening
Doandris15marin,MuhKY,1-0,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense"
coar1,Doandris15marin,0-1,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Doandris15marin,PC210563,1-0,B32,Sicilian Defense: Accelerated Dragon
cayuca,Doandris15marin,1-0,A45,Indian Defense
Doandris15marin,AleksHard,1-0,C62,Ruy Lopez: Steinitz Defense
AleksHard,Doandris15marin,0-1,A05,Zukertort : Lemberger Gambit
Doandris15marin,AleksHard,1-0,C61,Ruy Lopez: Bird Variation
AleksHard,Doandris15marin,0-1,B01,Scandinavian Defense: Main Line
Doandris15marin,AleksHard,1-0,C61,Ruy Lopez: Bird Variation
AleksHard,Doandris15marin,1-0,B20,Sicilian Defense: Bowdler Attack
Doandris15marin,AleksHard,1-0,C61,Ruy Lopez: Bird Variation
AleksHard,Doandris15marin,0-1,A06,Zukertort : Tennison Gambit
Doandris15marin,leocamaron,0-1,C40,King's Pawn Game: Busch-Gass Gambit
cemocan12,Doandris15marin,0-1,A45,Indian Defense
Doandris15marin,Moncov,0-1,C00,French Defense: Normal Variation
Doandris15marin,ValeraBorisov1965,1-0,C00,French Defense: Knight Variation
Doandris15marin,TheBicameralMind,1/2-1/2,C69,"Ruy Lopez: Exchange Variation, Normal Variation"
Doandris15marin,GEO-R-GIA_Simon,1-0,C42,Russian Game: Stafford Gambit
GEO-R-GIA_Simon,Doandris15marin,0-1,C39,"King's Gambit Accepted: Kieseritzky Gambit, Kolisch Defense"
Camilo_Agreda,Doandris15marin,1-0,B00,King's Pawn
Doandris15marin,Jorgepablo2,0-1,-1,-1
hectorj,Doandris15marin,1-0,B00,King's Pawn
colocolino42,Doandris15marin,1-0,A40,Queen's Pawn Game
Doandris15marin,AdrianDeLaCruz23,0-1,-1,-1
HectorRodriguez55,Doandris15marin,0-1,C37,King's Gambit Accepted: Blachly Gambit
Doandris15marin,Sinanhoca,0-1,B01,"Scandinavian Defense: Main Line, Mieses Variation"
imad12,Doandris15marin,0-1,C00,French Defense: Steinitz Attack
Doandris15marin,Durijancek,1-0,B44,Sicilian Defense: Taimanov Variation
issanissa,Doandris15marin,1-0,C42,"Russian Game: Cochrane Gambit, Bishop Check Line"
roemerm,Doandris15marin,0-1,C10,French Defense: Paulsen Variation
Doandris15marin,roemerm,1-0,C00,French Defense: Knight Variation
Navarro16,Doandris15marin,1-0,B00,King's Pawn
chrissdulceyxd,Doandris15marin,1-0,D00,Queen's Pawn Game: Mason Variation
Doandris15marin,Momchi,1-0,C64,Ruy Lopez: Classical Variation
elprofesor1982,Doandris15marin,0-1,D02,Queen's Pawn Game: Symmetrical Variation
Doandris15marin,Scanor_32,0-1,B41,Sicilian Defense: Kan Variation
vlady88,Doandris15marin,1-0,C01,French Defense: Exchange Variation
Doandris15marin,Cunctator,1-0,B01,Scandinavian Defense: Portuguese Variation
mcdontknow,Doandris15marin,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
Doandris15marin,A_b_j,1-0,C64,Ruy Lopez: Classical Variation
DaleDaDestroya,Doandris15marin,1/2-1/2,C42,Russian Game: Cozio Attack
Doandris15marin,naffiahdwiiii,1-0,C65,Ruy Lopez: Berlin Defense
Wombatzzz,Doandris15marin,0-1,D35,Queen's Gambit Declined: Normal Defense
Doandris15marin,fede1313,0-1,C69,"Ruy Lopez: Exchange Variation, Normal Variation"
Juandom,Doandris15marin,1-0,D35,Queen's Gambit Declined: Normal Defense
vladsuar,Doandris15marin,1-0,D00,Queen's Pawn Game: Mason Variation
edwuinb1,Doandris15marin,1-0,B00,King's Pawn
E-c-i-l-a,Doandris15marin,1-0,B00,King's Pawn
ws9257,Doandris15marin,1-0,A02,Bird
Ingo70,Doandris15marin,0-1,D06,Queen's Gambit Declined: Marshall Defense
Doandris15marin,nemoku_losti,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
Doandris15marin,Peewie,0-1,B41,Sicilian Defense: Kan Variation
Doandris15marin,SOLTAN60,0-1,B01,Scandinavian Defense: Blackburne Gambit
scorpionking1119,Doandris15marin,1-0,A16,English : Anglo-Grnfeld Defense
FairyDrag0n,Doandris15marin,1-0,E12,Queen's Indian Defense
Angeluque,Doandris15marin,1-0,B33,Sicilian Defense: Open
Doandris15marin,Angeluque,0-1,C48,Four Knights Game: Spanish Variation
Angeluque,Doandris15marin,1/2-1/2,B33,Sicilian Defense: Open
Doandris15marin,Angeluque,1-0,D55,"Queen's Gambit Declined: Modern Variation, Normal Line"
Doandris15marin,Angeluque,1/2-1/2,C48,Four Knights Game: Spanish Variation
Doandris15marin,CesarMontes,1-0,B01,Scandinavian Defense: Gubinsky-Melts Defense
Javad51,Doandris15marin,0-1,B30,Sicilian Defense: Old Sicilian
Doandris15marin,thasd,1-0,A10,English
Jesuosb,Doandris15marin,1-0,A17,"English : Anglo-Indian Defense, Hedgehog System"
suryasurya16,Doandris15marin,0-1,D53,Queen's Gambit Declined
Doandris15marin,Blarry,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Doandris15marin,Febri77,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
welkywasek,Doandris15marin,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
YAROSLAV7883,Doandris15marin,1-0,A00,Saragossa
Doandris15marin,YAROSLAV7883,1-0,D15,Slav Defense: Three Knights Variation
liorforer,Doandris15marin,1/2-1/2,D06,Queen's Gambit Declined: Marshall Defense
Mariodp88,Doandris15marin,1-0,A00,Hungarian
Doandris15marin,xXLOLDAXx,1-0,A51,Indian Defense: Budapest Defense
Doandris15marin,svartoghvit,1-0,A40,Horwitz Defense
Ajmalz,Doandris15marin,0-1,A00,Hungarian : Reversed Modern Defense
Doandris15marin,ChessNorruck,1/2-1/2,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation"
Pasindu971,Doandris15marin,1-0,B22,Sicilian Defense: Alapin Variation
carlbc84,Doandris15marin,0-1,B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation"
Doandris15marin,oscarhernadez,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Doandris15marin,cjop1,1/2-1/2,D37,Queen's Gambit Declined: Barmen Variation
vladsuar,Doandris15marin,0-1,A45,Indian Defense
carlbc84,Doandris15marin,0-1,B01,Scandinavian Defense: Main Line
Doandris15marin,oscarhernadez,0-1,B32,Sicilian Defense: Lwenthal Variation
Doandris15marin,migherize,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
DrPennywise,Doandris15marin,0-1,A05,King's Indian Attack: Symmetrical Defense
Doandris15marin,Cacho22,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
alaakattan,Doandris15marin,0-1,B40,Sicilian Defense: Four Knights Variation
luis_valenzuela,Doandris15marin,0-1,A15,English : Anglo-Indian Defense
Caligula_666,Doandris15marin,0-1,D06,Queen's Gambit Declined: Marshall Defense
LodoTheKing,Doandris15marin,1-0,B30,Sicilian Defense: Old Sicilian
Doandris15marin,Captain_Brunch,1-0,E10,Indian Defense: Anti-Nimzo-Indian
Doandris15marin,gossa,1-0,C74,"Ruy Lopez: Morphy Defense, Modern Steinitz Defense"
Doandris15marin,sahand55,1-0,D24,Queen's Gambit Accepted: Showalter Variation
UtkuVrmzz,Doandris15marin,0-1,B40,Sicilian Defense: Four Knights Variation
andrestoteles,Doandris15marin,0-1,B40,Sicilian Defense: Four Knights Variation
sasha181100,Doandris15marin,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
Doandris15marin,ALEJIN,0-1,-1,-1
josegregorio,Doandris15marin,1-0,C11,"French Defense: Classical Variation, Delayed Exchange Variation"
Doandris15marin,ALEJIN,1-0,E92,King's Indian Defense: Orthodox Variation
Doandris15marin,metal16,0-1,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Javierjmc,Doandris15marin,1-0,B00,King's Pawn
DOUGLASMAITA,Doandris15marin,1-0,A36,"English : Symmetrical Variation, Fianchetto Variation"
Aprendiz77,Doandris15marin,1-0,B40,Sicilian Defense: Wing Gambit Deferred
Doandris15marin,Valerio_P,0-1,D30,Queen's Gambit Declined: Traditional Variation
Doandris15marin,carlbc84,0-1,C48,"Four Knights Game: Spanish Variation, Classical Variation"
Doandris15marin,edwuinb1,0-1,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense"
chessmissus,Doandris15marin,1/2-1/2,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Harsh2522,Doandris15marin,0-1,B20,Sicilian Defense: Bowdler Attack
Mb0110,Doandris15marin,1-0,D06,Queen's Gambit Declined: Marshall Defense
Doandris15marin,matiasanu,1-0,B33,Sicilian Defense: Lasker-Pelikan Variation
Doandris15marin,Parasshuram,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
jdc327,Doandris15marin,0-1,B21,Sicilian Defense: McDonnell Attack
Doandris15marin,MR1B4RR4,0-1,C69,"Ruy Lopez: Exchange Variation, King's Bishop Variation"
Doandris15marin,vatess,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
valera25,Doandris15marin,1-0,B57,"Sicilian Defense: Sozin, not Scheveningen"
Doandris15marin,Jacksi_guada,1-0,A20,English : King's English Variation
samuel22bastidas,Doandris15marin,1-0,B33,Sicilian Defense: Open
Doandris15marin,oswaldobalza,0-1,-1,-1
Jacksi_guada,Doandris15marin,0-1,-1,-1
Rjpc,Doandris15marin,1-0,B56,Sicilian Defense: Classical Variation
Doandris15marin,oswaldobalza,0-1,B01,Scandinavian Defense: Bronstein Variation
elmasca,Doandris15marin,1-0,D15,Slav Defense: Three Knights Variation
HTahsin,Doandris15marin,0-1,B56,Sicilian Defense: Classical Variation
Doandris15marin,abdelgha4,1-0,C69,"Ruy Lopez: Exchange Variation, King's Bishop Variation"
Fouad-el,Doandris15marin,1-0,C00,French Defense: Knight Variation
rustamrusam,Doandris15marin,0-1,D07,Queen's Gambit Declined: Chigorin Defense
Doandris15marin,wiltexa,1-0,A40,Modern Defense
Doandris15marin,s401py,1-0,B46,Sicilian Defense: Taimanov Variation
robindoc,Doandris15marin,1-0,B00,King's Pawn
DrPennywise,Doandris15marin,1-0,B40,"Sicilian Defense: Four Knights Variation, Exchange Variation"
Doandris15marin,Rjpc,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Reifer,Doandris15marin,1-0,B40,Sicilian Defense: Four Knights Variation
Doandris15marin,Reifer,0-1,-1,-1
Novichok4112,Doandris15marin,1-0,A46,Indian Defense: Knights Variation
pilipolio,Doandris15marin,0-1,D06,Queen's Gambit
Doandris15marin,Prabhat9,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Doandris15marin,santiagoER,1-0,B33,Sicilian Defense: Open
ShallowThought,Doandris15marin,0-1,D04,Queen's Pawn Game: Colle System
Doandris15marin,mnmassari,0-1,-1,-1
vladsuar,Doandris15marin,1-0,A40,Queen's Pawn Game
Doandris15marin,Shunned,0-1,A38,"English : Symmetrical Variation, Full Symmetry Line"
alefsantos49,Doandris15marin,0-1,D01,Rapport-Jobava System
Doandris15marin,TheTelf,1-0,A09,Rti
Maginus,Doandris15marin,0-1,B40,Sicilian Defense: Four Knights Variation
Doandris15marin,Givela,0-1,-1,-1
Doandris15marin,n9ite,0-1,-1,-1
manecasbasilio,Doandris15marin,1-0,B00,King's Pawn
moito33-t,Doandris15marin,1-0,B00,King's Pawn
Riosa0406,Doandris15marin,1-0,D06,Queen's Gambit Declined: Marshall Defense
Doandris15marin,colombig,1-0,B06,Modern Defense
L_Aleph,Doandris15marin,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Rirr2020,Doandris15marin,1-0,B00,King's Pawn
franov,Doandris15marin,1-0,A40,Queen's Pawn Game
Doandris15marin,Rjpc,0-1,-1,-1
Doandris15marin,oyvenst,0-1,C00,French Defense: Rti-Spielmann Attack
Doandris15marin,mohamed_sharif1999,1/2-1/2,C30,King's Gambit
