Blancas,Negras,Result,ECO,Opening
Doandris2004,Kresimir_32,1-0,D00,Queen's Pawn Game
grandmastervihang,Doandris2004,1-0,B13,Caro-Kann Defense: Exchange Variation
Doandris2004,Mamerson,0-1,D04,Queen's Pawn Game: Colle System
Moriski,Doandris2004,1/2-1/2,C02,French Defense: Advance Variation
jayson80,Doandris2004,0-1,C00,Rat Defense: Small Center Defense
Doandris2004,Judograndmaster,0-1,A00,Mieses
manin21,Doandris2004,0-1,C47,Four Knights Game: Scotch Variation Accepted
Doandris2004,Jeckris_Emar,1-0,D02,Queen's Pawn Game: Krause Variation
Doandris2004,miler,0-1,B17,"Caro-Kann Defense: Karpov Variation, Modern Variation, Kasparov Attack"
dreambeats,Doandris2004,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Diabinho-silencioso,Doandris2004,0-1,A45,Paleface Attack
Doandris2004,KATANA-7,1-0,B01,Scandinavian Defense: Main Line
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,C20,King's Pawn Game: Leonardis Variation
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,0-1,C31,King's Gambit Declined: Falkbeer Countergambit Accepted
leisner2004,Doandris2004,0-1,C00,French Defense: Rti-Spielmann Attack
Doandris2004,leisner2004,1-0,A41,King's Pawn Game: Marczy Defense
leisner2004,Doandris2004,0-1,C00,French Defense: Horwitz Attack
Doandris2004,leisner2004,1-0,A40,Modern Defense
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,BudaevChess,0-1,C00,French Defense: Knight Variation
rvn7,Doandris2004,0-1,C00,French Defense: Pelikan Variation
Fz4,Doandris2004,1-0,A01,Nimzo-Larsen Attack
JulioCesarTovar4,Doandris2004,0-1,B07,Pirc Defense: Kholmov System
Doandris2004,JulioCesarTovar4,1-0,A80,Dutch Defense
JulioCesarTovar4,Doandris2004,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
JulioCesarTovar4,Doandris2004,1-0,B30,Sicilian Defense: Old Sicilian
Doandris2004,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Classical Variation
leisner2004,Doandris2004,1-0,B20,Sicilian Defense: Snyder Variation
Doandris2004,leisner2004,0-1,A40,Englund Gambit Complex: Englund Gambit
leisner2004,Doandris2004,0-1,C00,French Defense: Horwitz Attack
Doandris2004,leisner2004,0-1,C31,King's Gambit Declined: Falkbeer Countergambit Accepted
leisner2004,Doandris2004,1-0,B20,Sicilian Defense: Snyder Variation
Doandris2004,leisner2004,0-1,A40,Englund Gambit Complex: Englund Gambit
leisner2004,Doandris2004,1-0,B00,Pirc Defense
Doandris2004,leisner2004,0-1,B06,Modern Defense
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,1-0,A40,Englund Gambit Complex: Englund Gambit
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Doandris2004,leisner2004,1-0,A40,Englund Gambit
leisner2004,Doandris2004,1-0,C00,French Defense: King's Indian Attack
Canopus7,Doandris2004,1-0,A40,Horwitz Defense
Dario009,Doandris2004,1/2-1/2,A46,Indian Defense: Knights Variation
