Blancas,Negras,Result,ECO,Opening
tamich2006,Elneneasesino,1-0,B22,Sicilian Defense: Alapin Variation
Elneneasesino,SokoZ,1-0,D00,Queen's Pawn Game: Mason Variation
Elneneasesino,mariolino002,0-1,E94,"King's Indian Defense: Orthodox Variation, Glek Defense"
Morgarten,Elneneasesino,0-1,A03,Bird : Dutch Variation
Hachmaninow,Elneneasesino,1-0,A41,Old Indian Defense
Elneneasesino,LonelyLost_Player,0-1,C11,"French Defense: Steinitz Variation, Boleslavsky Variation"
Elneneasesino,Sofa20092013,1-0,D43,Semi-Slav Defense
vasgen,Elneneasesino,0-1,B01,Scandinavian Defense: Bronstein Variation
mateinstyle,Elneneasesino,1-0,B44,Sicilian Defense: Taimanov Variation
Elneneasesino,chantrea,0-1,A84,Dutch Defense: Rubinstein Variation
Elneneasesino,Phedon24,0-1,A64,"Benoni Defense: Fianchetto Variation, Hastings Defense, Main Line"
Yemenking,Elneneasesino,1-0,D00,Blackmar Gambit
Elneneasesino,Nimzomaniac,0-1,D01,Richter-Veresov Attack
niazy,Elneneasesino,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
JackBauer,Elneneasesino,0-1,B01,Scandinavian Defense: Bronstein Variation
Elneneasesino,Muhammad-Waqar,0-1,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Elneneasesino,a7_a5,0-1,A45,Indian Defense: Reversed Chigorin Defense
Mauromanuel96,Elneneasesino,1-0,B01,Scandinavian Defense: Gubinsky-Melts Defense
Elneneasesino,I_am_the_JAZZ-man,1-0,A45,Indian Defense: Reversed Chigorin Defense
Elneneasesino,garciarosabal,1-0,C11,French Defense: Burn Variation
LOKITO77,Elneneasesino,0-1,C50,Italian Game: Hungarian Defense
Kelechess,Elneneasesino,1-0,D02,Queen's Pawn Game: Chigorin Variation
Brankoni,Elneneasesino,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Elneneasesino,jaxxedd,1-0,D00,Queen's Pawn Game: Chigorin Variation
Elneneasesino,Alwaysplay_f6,1-0,E11,Bogo-Indian Defense: Nimzowitsch Variation
Triconico,Elneneasesino,1-0,D02,Queen's Pawn Game: Chigorin Variation
Elneneasesino,PikeFanaticPro,1-0,A11,English : Caro-Kann Defensive System
antooonio97,Elneneasesino,0-1,B01,Scandinavian Defense: Bronstein Variation
ido_bourvine,Elneneasesino,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
Elneneasesino,flojosurferboy,0-1,B06,"Modern Defense: Two Knights Variation, Suttles Variation"
Elneneasesino,zlodey4uk,0-1,D31,Queen's Gambit Declined: Queen's Knight Variation
Elneneasesino,VanKofler,0-1,C11,"French Defense: Classical Variation, Burn Variation, Main Line"
solarisknight,Elneneasesino,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
fmgbera,Elneneasesino,0-1,B40,Sicilian Defense: French Variation
lopesren,Elneneasesino,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
Elneneasesino,Syzdykov_Sabir,1-0,C11,French Defense: Burn Variation
Igor_64,Elneneasesino,1/2-1/2,B01,Scandinavian Defense: Bronstein Variation
el_maton,Elneneasesino,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Elneneasesino,Chess4joy,0-1,A43,Indian Defense: Pseudo-Benko
Elneneasesino,BloodOnTheTracks28,0-1,D01,"Queen's Pawn Game: Veresov Attack, Boyce Defense"
