Blancas,Negras,Result,ECO,Opening
EmilyNaranjo,MasterCh1ef423,0-1,-1,-1
BurgosB2007,EmilyNaranjo,1-0,B00,King's Pawn
EmilyNaranjo,JuanGuara,0-1,-1,-1
hecvkz,EmilyNaranjo,1-0,B00,King's Pawn
EmilyNaranjo,nathbailey,0-1,A41,Queen's Pawn Game
EmilyNaranjo,AI18,1-0,A40,Englund Gambit Complex: Englund Gambit
ReyR,EmilyNaranjo,1-0,B32,Sicilian Defense: Franco-Sicilian Variation
EmilyNaranjo,Luisprocrak,0-1,-1,-1
Angel-GY,EmilyNaranjo,1-0,B30,Sicilian Defense: Old Sicilian
fernandomash19,EmilyNaranjo,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
EmilyNaranjo,ptqs2009,0-1,D00,Queen's Pawn Game: Mason Variation
EmilyNaranjo,Urano0503,0-1,A80,Dutch Defense
IA-FI-Geber,EmilyNaranjo,0-1,-1,-1
EmilyNaranjo,Udoh,0-1,D00,Queen's Pawn Game: Mason Variation
bonardo,EmilyNaranjo,0-1,B50,Sicilian Defense: Modern Variations
Sulthan_Kan,EmilyNaranjo,1-0,C69,"Ruy Lopez: Exchange Variation, Normal Variation"
EmilyNaranjo,Sulthan_Kan,1-0,D00,Queen's Pawn Game: Mason Variation
Sulthan_Kan,EmilyNaranjo,1-0,B00,King's Pawn
EmilyNaranjo,Sulthan_Kan,0-1,D00,Queen's Pawn Game: Mason Variation
Danielalegil2004,EmilyNaranjo,0-1,C78,"Ruy Lopez: Morphy Defense, Neo-Arkhangelsk Variation"
EmilyNaranjo,Danielalegil2004,1-0,D00,Queen's Pawn Game: Mason Variation
Danielalegil2004,EmilyNaranjo,1-0,C44,King's Knight : Konstantinopolsky
EmilyNaranjo,Torre1971,0-1,D00,Queen's Pawn Game: Mason Variation
Steven_Rojas,EmilyNaranjo,1-0,B23,Sicilian Defense: Closed
EmilyNaranjo,CSyanGomez,0-1,A45,Indian Defense
lalofelon,EmilyNaranjo,0-1,B50,Sicilian Defense: Modern Variations
EmilyNaranjo,NicolePiChillida,1-0,C00,French Defense: Normal Variation
