Blancas,Negras,Result,ECO,Opening
FJAG_e5,salam_muttom,1-0,-1,-1
evgeny1955,FJAG_e5,1-0,-1,-1
Estefani_Sanchez3006,FJAG_e5,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Estefani_Sanchez3006,FJAG_e5,0-1,C40,Elephant Gambit: Paulsen Countergambit
FJAG_e5,Estefani_Sanchez3006,1-0,C44,Scotch Game: Benima Defense
Estefani_Sanchez3006,FJAG_e5,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
FJAG_e5,Estefani_Sanchez3006,0-1,C43,Russian Game: Modern Attack
FJAG_e5,chessmaster_1102,0-1,C01,French Defense: Exchange Variation
chessmaster_1102,FJAG_e5,0-1,B20,Sicilian Defense: Bowdler Attack
FJAG_e5,Ignat_Yrjev,1-0,B02,"Alekhine Defense: Two Pawn Attack, Lasker Variation"
JulioCesarTovar4,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Richter Variation
FJAG_e5,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Marshall Variation
FJAG_e5,kokan59,0-1,B43,"Sicilian Defense: Kan Variation, Wing Attack"
DSDAPINO,FJAG_e5,1-0,A00,Mieses
ZGH111,FJAG_e5,1-0,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,iCardiologist,1-0,B06,Modern Defense: Three Pawns Attack
ZNIEH56,FJAG_e5,1-0,A95,"Dutch Defense: Classical Variation, Stonewall Variation"
FJAG_e5,ManuelNeves,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
OmasWurstfach,FJAG_e5,1-0,D02,Queen's Pawn Game: Zukertort Variation
FJAG_e5,getchessnowar,0-1,B09,"Pirc Defense: Austrian Attack, Weiss Variation"
FJAG_e5,wisperorw,1-0,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
afakbar,FJAG_e5,1-0,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
sertters,FJAG_e5,1/2-1/2,B95,Sicilian Defense: Najdorf Variation
FJAG_e5,tanaa,0-1,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation"
FJAG_e5,Threetens,0-1,B06,Modern Defense: Three Pawns Attack
Spaxxkey,FJAG_e5,0-1,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
Ameku,FJAG_e5,0-1,D02,Queen's Pawn Game: Zukertort Variation
TonioGM,FJAG_e5,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
FJAG_e5,Patriotti,0-1,B01,"Scandinavian Defense: Modern Variation, Gipslis Variation"
FJAG_e5,SelfishPlayer,1-0,C21,Center Game: Kieseritzky Variation
FJAG_e5,bengreenbury1,1-0,B41,Sicilian Defense: Kan Variation
ukrwin,FJAG_e5,1-0,A00,Saragossa
FJAG_e5,NEWPENGUIN2021,0-1,B01,Scandinavian Defense: Modern Variation
NEWPENGUIN2021,FJAG_e5,0-1,D02,Queen's Pawn Game: Zukertort Variation
FJAG_e5,alexfaustino,1-0,B15,Caro-Kann Defense: Main Line
gugabom,FJAG_e5,1-0,A41,Old Indian Defense
FJAG_e5,KARIMOVDZUDO,1-0,C02,French Defense: Advance Variation
FJAG_e5,rjml,0-1,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
Njaguljevic,FJAG_e5,0-1,B50,Sicilian Defense: Delayed Alapin
ash11223344,FJAG_e5,1-0,A80,"Queen's Pawn Game: Veresov Attack, Dutch System"
FJAG_e5,cris2er,1-0,B01,Scandinavian Defense: Marshall Variation
FJAG_e5,KonnorGwyn,1-0,C21,Center Game: Kieseritzky Variation
nilsonbt,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
Smalldoc,FJAG_e5,1-0,D31,Semi-Slav Defense: Accelerated Move Order
Cawa12,FJAG_e5,0-1,D30,Queen's Gambit Declined
FJAG_e5,SERACOVANU,0-1,B32,Sicilian Defense: Open
Alex_Mercy,FJAG_e5,1-0,A34,"English : Symmetrical Variation, Normal Variation"
FJAG_e5,Sammyonthemic,0-1,C02,"French Defense: Advance Variation, Euwe Variation"
jaurellanochess,FJAG_e5,0-1,B52,"Sicilian Defense: Canal Attack, Main Line"
FJAG_e5,Talhab45,0-1,B18,Caro-Kann Defense: Classical Variation
nagoba,FJAG_e5,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
duke1882,FJAG_e5,1-0,A02,Bird
FJAG_e5,marco-sala,0-1,B50,Sicilian Defense
FJAG_e5,abg_perutBoroii,0-1,B15,Caro-Kann Defense: Main Line
mbalong79,FJAG_e5,1-0,D10,Slav Defense
FJAG_e5,kbz,1-0,B27,Sicilian Defense
ymnhwa,FJAG_e5,1-0,B20,Sicilian Defense: Bowdler Attack
Gulkin_Alexey,FJAG_e5,1-0,A01,Nimzo-Larsen Attack: Classical Variation
FJAG_e5,WAHNG,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
FJAG_e5,Triangla,0-1,B01,Scandinavian Defense: Main Line
Gartenzaun,FJAG_e5,0-1,B23,Sicilian Defense: Closed
FJAG_e5,voprakjus,1/2-1/2,B15,Caro-Kann Defense: Main Line
FJAG_e5,kaczy,0-1,B33,Sicilian Defense: Lasker-Pelikan Variation
jefe5000,FJAG_e5,1-0,B98,Sicilian Defense: Najdorf Variation
FJAG_e5,kapasranka,1-0,B32,Sicilian Defense: Franco-Sicilian Variation
arsalan35,FJAG_e5,0-1,D30,Queen's Gambit Declined
FJAG_e5,milanista93,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
abbesyagoubizx,FJAG_e5,0-1,B80,Sicilian Defense: Scheveningen Variation
JchessNin10,FJAG_e5,0-1,B23,Sicilian Defense: Closed
FJAG_e5,Jlcabral,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
FJAG_e5,riquiricon,0-1,C02,French Defense: Advance Variation
riquiricon,FJAG_e5,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
FJAG_e5,dimien123,1-0,C20,Center Game
jamesIII,FJAG_e5,1-0,D30,Queen's Gambit Declined
FJAG_e5,vjdvjd,0-1,B02,"Alekhine Defense: Two Pawn Attack, Lasker Variation"
moito33-t,FJAG_e5,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Coccodrillo799,FJAG_e5,0-1,A30,English : Symmetrical Variation
FJAG_e5,ilsuor16,1-0,B28,"Sicilian Defense: O'Kelly Variation, Normal System"
Hannesi,FJAG_e5,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
FJAG_e5,alagosi,1-0,B17,Caro-Kann Defense: Karpov Variation
FJAG_e5,WithGinger,0-1,C44,Scotch Game: Haxo Gambit
exmark,FJAG_e5,0-1,A34,"English : Symmetrical Variation, Normal Variation"
dontayap,FJAG_e5,1-0,B20,Sicilian Defense: Staunton-Cochrane Variation
FJAG_e5,tegarchess,1-0,B40,Sicilian Defense: Marshall Counterattack
FJAG_e5,laskeriano2018,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
FJAG_e5,Investor_xD,0-1,B01,Scandinavian Defense: Marshall Variation
andremateo,FJAG_e5,1-0,C42,"Russian Game: Classical Attack, Closed Variation"
FJAG_e5,AFILEITOR,1-0,B00,King's Pawn
Manashev_Renat,FJAG_e5,0-1,C26,Vienna Game: Stanley Variation
FJAG_e5,AJP2006,1-0,C21,Center Game: Kieseritzky Variation
FJAG_e5,DavidVako,0-1,B41,Sicilian Defense: Kan Variation
passanguan1,FJAG_e5,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
FJAG_e5,MrFudgyWudgy,0-1,B46,Sicilian Defense: Taimanov Variation
JAFAR97,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
michu99v2,FJAG_e5,1-0,B80,"Sicilian Defense: Scheveningen Variation, English Attack"
FJAG_e5,stockfishdepute,0-1,C44,Scotch Game: Scotch Gambit
FJAG_e5,NickSnutz,1-0,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
Pateyro,FJAG_e5,0-1,B99,"Sicilian Defense: Najdorf Variation, Main Line"
jesususo,FJAG_e5,0-1,B20,Sicilian Defense: Lasker-Dunne Attack
FJAG_e5,jesususo,0-1,B17,Caro-Kann Defense: Karpov Variation
FJAG_e5,Elsaa-2006,1-0,C44,"Scotch Game: Scotch Gambit, London Defense"
Wobli,FJAG_e5,0-1,B50,"Sicilian Defense: Modern Variations, Tartakower"
TeddY02UJ,FJAG_e5,0-1,A02,Bird
FJAG_e5,geroca,1-0,C21,Center Game: Kieseritzky Variation
nersky,FJAG_e5,0-1,A00,Van't Kruijs
FJAG_e5,chalala,0-1,B40,Sicilian Defense: Four Knights Variation
ismail030373,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,tollik,1-0,C44,Scotch Game: Scotch Gambit
jawara-subang,FJAG_e5,0-1,-1,-1
ShreyasD,FJAG_e5,1-0,-1,-1
FJAG_e5,mamunurrashid95,1-0,-1,-1
Torato123,FJAG_e5,0-1,-1,-1
FJAG_e5,RonjaS,0-1,-1,-1
Denis_tsoy,FJAG_e5,0-1,-1,-1
FJAG_e5,aksalehovic,1-0,-1,-1
FJAG_e5,VRLINAC,0-1,C00,French Defense: Normal Variation
televisiontyrant,FJAG_e5,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
Josh_12345,FJAG_e5,0-1,B21,Sicilian Defense: Smith-Morra Gambit
FJAG_e5,amirali13607,1-0,B18,Caro-Kann Defense: Classical Variation
FJAG_e5,Gimter,1-0,B33,Sicilian Defense: Lasker-Pelikan Variation
SERGEY-1961,FJAG_e5,0-1,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
FJAG_e5,Adnanchessee,1-0,C21,Center Game: Kieseritzky Variation
AnatolijSholokhov,FJAG_e5,0-1,B22,Sicilian Defense: Alapin Variation
FJAG_e5,KnightBee,0-1,C02,French Defense: Advance Variation
pambelgah,FJAG_e5,1-0,A80,"Queen's Pawn Game: Veresov Attack, Dutch System"
FJAG_e5,Andrera72,0-1,B18,Caro-Kann Defense: Classical Variation
YUSS_512,FJAG_e5,0-1,B23,Sicilian Defense: Closed
FJAG_e5,hindimarunong,1-0,B00,Pirc Defense
Zhalgas_asylkhan,FJAG_e5,1-0,B82,"Sicilian Defense: Scheveningen Variation, Matanovic Attack"
FJAG_e5,ChessClock1235,0-1,B40,Sicilian Defense: Marshall Counterattack
lost-myself,FJAG_e5,1-0,D30,Queen's Gambit Declined
zulkiflidjafar,FJAG_e5,0-1,A00,Van't Kruijs
FJAG_e5,sammy143,0-1,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
bako189,FJAG_e5,0-1,D00,Queen's Pawn Game
FJAG_e5,Fonskar,0-1,C00,French Defense: Normal Variation
FJAG_e5,setterinkosmos17,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
stounstilqn,FJAG_e5,0-1,D31,Semi-Slav Defense: Accelerated Move Order
FJAG_e5,RapGod18,0-1,B23,Sicilian Defense: Closed
FJAG_e5,d4bestbytest,1/2-1/2,C02,"French Defense: Advance Variation, Paulsen Attack"
ckreativ,FJAG_e5,0-1,B94,Sicilian Defense: Najdorf Variation
FJAG_e5,kot63,1-0,A00,Van't Kruijs
brihaspati,FJAG_e5,0-1,B12,Caro-Kann Defense: Advance Variation
chanengti11,FJAG_e5,0-1,B23,Sicilian Defense: Closed
El_breve,FJAG_e5,1-0,D02,Queen's Pawn Game: Zukertort Variation
apostatlet,FJAG_e5,1-0,B20,Sicilian Defense: Wing Gambit
umbertobur,FJAG_e5,1-0,A80,Dutch Defense
snowboardingforever,FJAG_e5,1-0,A80,Dutch Defense: Raphael Variation
FJAG_e5,sajedghafari475757,1-0,B06,Modern Defense
FJAG_e5,mikbucho,1-0,B23,Sicilian Defense: Closed
FJAG_e5,milad70,1-0,C44,Scotch Game: Scotch Gambit
FJAG_e5,thesajim,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
FJAG_e5,sajambre,0-1,B17,Caro-Kann Defense: Karpov Variation
sajambre,FJAG_e5,1-0,A80,Dutch Defense: Hopton Attack
FJAG_e5,sajambre,1-0,B17,Caro-Kann Defense: Karpov Variation
sajambre,FJAG_e5,1-0,D00,Queen's Pawn Game: Levitsky Attack
ahmad87mustafa,FJAG_e5,0-1,B21,Sicilian Defense: McDonnell Attack
FJAG_e5,Rumenkarpatov1,0-1,C44,Scotch Game: Haxo Gambit
theedza,FJAG_e5,1/2-1/2,B23,Sicilian Defense: Closed
B_BISNAR,FJAG_e5,1-0,-1,-1
FJAG_e5,chess_blenz,1-0,-1,-1
tuquiquilulu1988,FJAG_e5,1-0,-1,-1
FJAG_e5,aleksgeorg,1-0,-1,-1
manosj,FJAG_e5,0-1,-1,-1
FJAG_e5,Silvynos,0-1,B41,Sicilian Defense: Kan Variation
Kulotzkie,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,TanayaTendulkar,1-0,C20,King's Pawn Game: Leonardis Variation
Chess_Dude2008,FJAG_e5,1-0,C44,Ponziani : Jaenisch Counterattack
Aidarik777,FJAG_e5,1-0,B90,Sicilian Defense: Najdorf Variation
osa1974,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,JosafatMondragon,1-0,B27,"Pterodactyl Defense: Western, Rhamphorhynchus"
Trabbie2001,FJAG_e5,0-1,C20,King's Pawn Game: Wayward Queen Attack
FJAG_e5,renegator,0-1,B33,Sicilian Defense: Open
NicoinHkg,FJAG_e5,1-0,B22,Sicilian Defense: Alapin Variation
FJAG_e5,nmkhalil,1-0,B00,Pirc Defense
FJAG_e5,SFranci,0-1,B32,Sicilian Defense: Lwenthal Variation
SFranci,FJAG_e5,0-1,B50,Sicilian Defense: Modern Variations
FJAG_e5,SFranci,0-1,C21,Center Game: Kieseritzky Variation
pallokala,FJAG_e5,0-1,D02,Queen's Pawn Game: Zukertort Variation
Druckmassage,FJAG_e5,0-1,B23,Sicilian Defense: Closed
FJAG_e5,ashish_paul,1-0,C45,Scotch Game: Classical Variation
SAHIN_GURAN56,FJAG_e5,1-0,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
FJAG_e5,rigatal,1-0,B32,Sicilian Defense: Kalashnikov Variation
chuvak1603,FJAG_e5,1-0,C11,French Defense: Burn Variation
FJAG_e5,elob,0-1,B44,Sicilian Defense: Taimanov Variation
FJAG_e5,IljinG,0-1,B01,Scandinavian Defense: Main Line
martia_loup,FJAG_e5,0-1,D15,Slav Defense: Three Knights Variation
NCByneveldt,FJAG_e5,1-0,D04,Queen's Pawn Game: Colle System
FJAG_e5,tacticballyr,1-0,B13,Caro-Kann Defense: Exchange Variation
PP0852,FJAG_e5,1-0,B98,Sicilian Defense: Najdorf Variation
SweetChinMusic_04,FJAG_e5,1-0,D10,Slav Defense
FJAG_e5,Breznsoizer,1-0,C50,Italian Game: Rosentreter Gambit
EndOfAbyss,FJAG_e5,1-0,A34,"English : Symmetrical Variation, Normal Variation"
FJAG_e5,IBRAHIM1309,0-1,B40,Sicilian Defense: Marshall Counterattack
FJAG_e5,ismailajlani,0-1,C41,Philidor Defense: Exchange Variation
FannyWalintukan,FJAG_e5,1-0,B23,Sicilian Defense: Closed
psam_06,FJAG_e5,0-1,B52,"Sicilian Defense: Canal Attack, Main Line"
JVillaceranJr,FJAG_e5,0-1,E10,Tarrasch Defense: Symmetrical Variation
FJAG_e5,MUDEE,1-0,C01,French Defense: Exchange Variation
FJAG_e5,AlbertoD,0-1,B50,Sicilian Defense
marjijek,FJAG_e5,0-1,D00,Queen's Pawn Game: Mason Variation
FJAG_e5,HANSSEL,0-1,B40,Sicilian Defense: Paulsen-Basman Defense
velustar11,FJAG_e5,0-1,D00,Queen's Pawn Game
Johnsylver,FJAG_e5,1-0,A40,Modern Defense
FJAG_e5,valy050469,0-1,B01,Scandinavian Defense: Modern Variation
westcampos,FJAG_e5,1/2-1/2,A10,English : Great Snake Variation
FJAG_e5,Dewa_Chamall,1-0,B01,Scandinavian Defense: Main Line
rooktoking8,FJAG_e5,0-1,B06,Modern Defense: Two Knights Variation
ejercito_rojo,FJAG_e5,1/2-1/2,A40,Modern Defense
FJAG_e5,MRaihanBatam,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
FJAG_e5,usosoftware,0-1,-1,-1
andhi_hiro,FJAG_e5,0-1,-1,-1
FJAG_e5,CharlieChess75,0-1,C45,Scotch Game
cley10,FJAG_e5,0-1,B50,Sicilian Defense: Delayed Alapin
ruvyruvy,FJAG_e5,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
FJAG_e5,islam_kazharov99,0-1,C65,Ruy Lopez: Berlin Defense
Rafa-rojas,FJAG_e5,0-1,A34,"English : Symmetrical Variation, Normal Variation"
FJAG_e5,j3ni,1-0,C47,Four Knights Game: Italian Variation
pedrozweygberg,FJAG_e5,1-0,D00,Queen's Pawn Game: Stonewall Attack
FJAG_e5,Bimo_chess,1-0,C00,Sicilian Defense: Drazic Variation
FJAG_e5,Perfectionisttt,1-0,B33,Sicilian Defense: Lasker-Pelikan Variation
rasmussenesq,FJAG_e5,1-0,D32,Tarrasch Defense
pawnskewer,FJAG_e5,1-0,A02,Bird
FJAG_e5,amer76551,1-0,B13,Caro-Kann Defense: Exchange Variation
Ravendar,FJAG_e5,0-1,B23,Sicilian Defense: Closed
FJAG_e5,Qwertyzxcasd,1-0,C50,Italian Game
FJAG_e5,Gennadiy83,1-0,B40,"Sicilian Defense: French Variation, Open"
KuzeyErol,FJAG_e5,1-0,A34,"English : Symmetrical Variation, Normal Variation"
Fawnpawn,FJAG_e5,1-0,D35,Queen's Gambit Declined: Normal Defense
FJAG_e5,Thirdgreekgod,1-0,B13,Caro-Kann Defense: Exchange Variation
ShadyLampPost,FJAG_e5,1-0,D35,Queen's Gambit Declined: Harrwitz Attack
Kulampong,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
chess1master,FJAG_e5,1-0,C33,King's Gambit Accepted: Tumbleweed
FJAG_e5,TIGER-BOY-C9,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
ankit_27I,FJAG_e5,1/2-1/2,B53,Sicilian Defense: Chekhover Variation
guessworkceo,FJAG_e5,0-1,-1,-1
Rehaahun,FJAG_e5,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
FJAG_e5,PMTalha,0-1,-1,-1
Sternchen,FJAG_e5,1-0,B95,Sicilian Defense: Najdorf Variation
FJAG_e5,Ijenarisbwi,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
PapaJohn212,FJAG_e5,1-0,B95,Sicilian Defense: Najdorf Variation
FJAG_e5,Elcyd01,0-1,B70,Sicilian Defense: Dragon Variation
izveniteesli-4to,FJAG_e5,0-1,B50,Sicilian Defense: Modern Variations
privetsalah11,FJAG_e5,1-0,B54,"Sicilian Defense: Modern Variations, Main Line"
FJAG_e5,sumantvania,1-0,B01,Scandinavian Defense: Main Line
FJAG_e5,ragrava,1-0,B00,Lion Defense: Lion's Jaw
ragrava,FJAG_e5,1-0,A10,English
FJAG_e5,UptownLoc81,0-1,C42,Russian Game: Damiano Variation
FJAG_e5,baagadde,0-1,C45,Scotch Game: Schmidt Variation
kudos25,FJAG_e5,1-0,B90,Sicilian Defense: Najdorf Variation
AlekcM,FJAG_e5,1-0,D02,Queen's Pawn Game: Zukertort Variation
FJAG_e5,Sandip_May,1/2-1/2,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
manoj73,FJAG_e5,0-1,A00,Mieses
FJAG_e5,rockcastle,1-0,C45,Scotch Game: Classical Variation
Aziza1804,FJAG_e5,1-0,B21,Sicilian Defense: McDonnell Attack
FJAG_e5,aleksschtin,1-0,C01,French Defense: Exchange Variation
Remo02,FJAG_e5,1-0,B21,Sicilian Defense: McDonnell Attack
dodikbatu,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,jeanpoolLeon,1-0,C00,French Defense: Normal Variation
FJAG_e5,amitrai112000,0-1,B13,Caro-Kann Defense: Exchange Variation
Kozyavkainmouth,FJAG_e5,0-1,D00,Queen's Pawn Game: Mason Variation
FJAG_e5,golpez,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
FJAG_e5,jacksilany,1-0,C23,Bishop's
jacksilany,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
jacksilany,FJAG_e5,1/2-1/2,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C28,"Vienna Game: Stanley Variation, Three Knights Variation"
jacksilany,FJAG_e5,1-0,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C42,Russian Game: Nimzowitsch Attack
jacksilany,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C42,Russian Game: Nimzowitsch Attack
FJAG_e5,poseidon12345,0-1,-1,-1
FJAG_e5,jonkite212,0-1,B01,Scandinavian Defense
UsainBolt123,FJAG_e5,1-0,A00,Mieses
FJAG_e5,PatchCord,0-1,B01,Scandinavian Defense
FJAG_e5,dmitry_80,0-1,C01,French Defense: Exchange Variation
FJAG_e5,waldemaro,0-1,B06,Modern Defense
anakin_skywalker19,FJAG_e5,0-1,B20,Sicilian Defense: Bowdler Attack
FJAG_e5,romalincoln,1-0,B41,Sicilian Defense: Kan Variation
roberhood,FJAG_e5,0-1,B95,Sicilian Defense: Najdorf Variation
Nabwalya,FJAG_e5,0-1,A00,Van't Kruijs
FJAG_e5,BARBOROSSA,1-0,B01,Scandinavian Defense: Modern Variation
madhesh24,FJAG_e5,0-1,B22,Sicilian Defense: Alapin Variation
FJAG_e5,Dieter,1-0,C45,Scotch Game
Bubba17,FJAG_e5,0-1,D00,Queen's Pawn Game: Mason Variation
ashes2076,FJAG_e5,1-0,A01,Nimzo-Larsen Attack: Modern Variation
FJAG_e5,rook_playa,0-1,A41,King's Pawn Game: Marczy Defense
FJAG_e5,Arabambi,1-0,B50,Sicilian Defense
Alesha1983,FJAG_e5,0-1,D02,Queen's Pawn Game: Zukertort Variation
FJAG_e5,Destroyer100,0-1,B32,Sicilian Defense: Open
milanasa,FJAG_e5,1-0,C21,Center Game
FJAG_e5,OwnWayGym,1-0,B01,Scandinavian Defense: Main Line
Mad70,FJAG_e5,0-1,D37,Queen's Gambit Declined: Three Knights Variation
FJAG_e5,Srijan25,0-1,A00,Van't Kruijs
lovetactic,FJAG_e5,1-0,A00,Gedult's
