Blancas,Negras,Result,ECO,Opening
GHkeiven,oscarhernadez,0-1,B01,Scandinavian Defense: Main Line
Alejo_santos18,GHkeiven,1-0,D20,Queen's Gambit Accepted: Old Variation
GHkeiven,franblu,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line"
GHkeiven,jchh,1-0,C01,"French Defense: Exchange Variation, Svenonius Variation"
oswaldobalza,GHkeiven,1-0,A45,Indian Defense
Alejo_santos18,GHkeiven,1-0,C44,Scotch Game: Scotch Gambit
GHkeiven,Angeluque,1-0,B00,King's Pawn
GHkeiven,franblu,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense, Modern Line"
oscarhernadez,GHkeiven,1-0,A43,"Benoni Defense: Benoni-Indian Defense, Kingside Move Order"
GHkeiven,franblu,0-1,B97,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation"
jorgehbrito,GHkeiven,0-1,C20,King's Pawn Game: Napoleon Attack
GHkeiven,senseimiguel,1-0,B44,Sicilian Defense: Taimanov Variation
Samurapidchess,GHkeiven,1-0,C70,"Ruy Lopez: Morphy Defense, Caro Variation"
GHkeiven,Jorgepablo2,0-1,-1,-1
GHkeiven,GritoDEguerra,0-1,B01,Scandinavian Defense: Modern Variation
Javier_Loccisano,GHkeiven,1-0,C50,Italian Game: Anti-Fried Liver Defense
Tavini,GHkeiven,0-1,A00,Polish
CEDOPUNTOS,GHkeiven,1-0,C41,Philidor Defense: Exchange Variation
GHkeiven,utyman,0-1,C01,"French Defense: Exchange Variation, Svenonius Variation"
GHkeiven,eliezer0427,1-0,B02,Alekhine Defense: Two Pawn Attack
GHkeiven,Eduardoluisgm,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
changoski,GHkeiven,1-0,C50,Italian Game
sunmoon19,GHkeiven,1-0,C50,Italian Game: Anti-Fried Liver Defense
duernhoefer,GHkeiven,1-0,C57,"Italian Game: Two Knights Defense, Fried Liver Attack"
Elnano,GHkeiven,1-0,C78,Ruy Lopez: Morphy Defense
GHkeiven,Lioni26,0-1,C63,"Ruy Lopez: Schliemann Defense, Jaenisch Gambit Accepted"
GHkeiven,lfjrr110205,1-0,C90,"Ruy Lopez: Closed, Pilnik Variation"
ChessMestre,GHkeiven,0-1,C55,"Italian Game: Scotch Gambit, Janowski Defense"
nulmaisdeter,GHkeiven,0-1,D00,Queen's Pawn Game: Chigorin Variation
GHkeiven,EvgenyiChu,0-1,C62,Ruy Lopez: Steinitz Defense
GHkeiven,XdP,1-0,C40,King's Knight
GHkeiven,Litchoufti,0-1,C41,Philidor Defense
GHkeiven,MeryAn_26,1-0,B54,"Sicilian Defense: Modern Variations, Main Line"
MeryAn_26,GHkeiven,1-0,C45,Scotch Game
GHkeiven,MeryAn_26,0-1,B90,Sicilian Defense: Najdorf Variation
MeryAn_26,GHkeiven,1-0,C50,Italian Game
GHkeiven,MeryAn_26,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
francisco82,GHkeiven,1-0,-1,-1
GHkeiven,NELBOX65,0-1,-1,-1
GHkeiven,francisco82,0-1,-1,-1
Guarico04,GHkeiven,1-0,-1,-1
kevin6765,GHkeiven,1-0,-1,-1
ARSS,GHkeiven,0-1,-1,-1
GHkeiven,Darrafmobla41,0-1,-1,-1
moito33-t,GHkeiven,1-0,-1,-1
GHkeiven,VENADORECARGADO,0-1,-1,-1
GHkeiven,ArmandoZanella16,0-1,-1,-1
Juliocesar38,GHkeiven,1/2-1/2,-1,-1
GHkeiven,angelcorrea,0-1,-1,-1
GHkeiven,Jacksi_guada,1/2-1/2,C42,Russian Game: Three Knights Game
