Blancas,Negras,Result,ECO,Opening
gadre_chinmay,Gian78,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Gian78,haqqchess,0-1,C65,Ruy Lopez: Berlin Defense
rehorxsamsa,Gian78,1-0,C02,French Defense: Advance Variation
Gian78,Alakran_Urango_Tango,0-1,B50,Sicilian Defense: Modern Variations
eicart,Gian78,1/2-1/2,B40,Sicilian Defense: French Variation
Gian78,MandrakZoro,0-1,B10,Caro-Kann Defense: Two Knights Attack
Dr_Bloodmoney,Gian78,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
Rodez,Gian78,1-0,B40,Sicilian Defense: Delayed Alapin Variation
Gian78,Padre2929,0-1,B01,Scandinavian Defense: Boehnke Gambit
UDCHESS,Gian78,1-0,B40,Sicilian Defense: French Variation
Gian78,megalid,1-0,C41,Philidor Defense
megalid,Gian78,0-1,B40,Sicilian Defense: French Variation
Gian78,megalid,1-0,C41,Philidor Defense
Gian78,sheecko,1-0,B06,Modern Defense: Standard Defense
pipo0629,Gian78,0-1,D00,Queen's Pawn Game: Mason Variation
EinsteinFranck,Gian78,1-0,D10,Slav Defense
Gian78,EinsteinFranck,0-1,B50,Sicilian Defense: Modern Variations
Gian78,grach62,0-1,B50,Sicilian Defense: Modern Variations
grach62,Gian78,1-0,B41,Sicilian Defense: Kan Variation
dmronis,Gian78,0-1,B22,Sicilian Defense: Alapin Variation
Gian78,Cardrid,1/2-1/2,B30,Sicilian Defense: Old Sicilian
Gian78,fahriarif,1-0,B30,Sicilian Defense: Old Sicilian
fahriarif,Gian78,0-1,B21,Sicilian Defense: McDonnell Attack
Gian78,fahriarif,0-1,B30,Sicilian Defense: Old Sicilian
fahriarif,Gian78,1-0,A06,Zukertort : Tennison Gambit
Gian78,fahriarif,1/2-1/2,B30,Sicilian Defense: Old Sicilian
kelhelali,Gian78,0-1,D15,Slav Defense: Chameleon Variation
Gian78,hanif_ghazvini,1-0,B50,Sicilian Defense: Modern Variations
Gian78,Dr_Yi13,0-1,C05,"French Defense: Tarrasch Variation, Pawn Center Variation"
John109,Gian78,1-0,B40,Sicilian Defense: French Variation
ramidrrr,Gian78,1-0,B40,Sicilian Defense: French Variation
Gian78,ahcorseyer,1-0,B30,Sicilian Defense: Old Sicilian
AlekhinesCat,Gian78,0-1,B20,Sicilian Defense
Gian78,Bogyman89,1-0,B07,Pirc Defense
Gian78,DrunkLasker,0-1,C68,Ruy Lopez: Exchange Variation
DrunkLasker,Gian78,1-0,B20,Sicilian Defense: Mengarini Variation
Jnaarding,Gian78,0-1,D11,Slav Defense: Modern Line
Gian78,asc81272,0-1,B30,Sicilian Defense: Old Sicilian
Gian78,dragan_prelo,1-0,C07,"French Defense: Tarrasch Variation, Open System"
basioo,Gian78,0-1,B21,Sicilian Defense: McDonnell Attack
Gian78,basioo,0-1,C42,Russian Game: Stafford Gambit
basioo,Gian78,0-1,B21,Sicilian Defense: McDonnell Attack
My_Wreck,Gian78,0-1,B21,Sicilian Defense: McDonnell Attack
Gian78,ClevioTosetto,1-0,C68,Ruy Lopez: Exchange Variation
Gian78,elninjo,1-0,C62,Ruy Lopez: Steinitz Defense
elninjo,Gian78,1-0,D00,Queen's Pawn Game: Mason Variation
Gian78,CalicoRock,0-1,B30,Sicilian Defense: Old Sicilian
Gian78,KeanuGNTG,0-1,C11,"French Defense: Steinitz Variation, Boleslavsky Variation"
NucleoCentral,Gian78,1-0,D00,Queen's Pawn Game
saulitoxcarlsen,Gian78,1-0,D00,Queen's Pawn Game
Gian78,Pape_Satan_Aleppe,0-1,B30,Sicilian Defense: Old Sicilian
CARLOPAP77,Gian78,0-1,B40,Sicilian Defense: Delayed Alapin Variation
Gian78,CARLOPAP77,0-1,C61,Ruy Lopez: Bird Variation
Kacbu,Gian78,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
ForkingNightmare,Gian78,0-1,B40,Sicilian Defense: French Variation
Gian78,martaspb,1-0,B30,Sicilian Defense: Old Sicilian
Gian78,e_mad69,1-0,B30,Sicilian Defense: Old Sicilian
Gian78,norlex2012,1-0,B01,Scandinavian Defense: Modern Variation
norlex2012,Gian78,1-0,B40,Sicilian Defense: Delayed Alapin Variation
jayjayzer,Gian78,0-1,B41,"Sicilian Defense: Kan Variation, Marczy Bind, Rti Variation"
Gian78,omarahmad2008,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Gian78,pipo0629,1-0,B10,Caro-Kann Defense
Gian78,LeeBrooks,1-0,B06,Modern Defense
patillas15,Gian78,0-1,D00,Queen's Pawn Game: Mason Variation
andtom,Gian78,0-1,A00,Hungarian
Gian78,andtom,1-0,C00,Rat Defense: Small Center Defense
andtom,Gian78,0-1,A00,Hungarian
Gian78,andtom,0-1,C00,Rat Defense: Small Center Defense
andtom,Gian78,0-1,A00,Hungarian
Gian78,Arte-Belico,0-1,B07,Pirc Defense
dcuello,Gian78,0-1,D10,Slav Defense
Gian78,sabinobh,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
millerso,Gian78,0-1,B22,Sicilian Defense: Alapin Variation
Sobelite,Gian78,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Gian78,QueenRipper,0-1,B32,Sicilian Defense: Lwenthal Variation
lossdol86,Gian78,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
Musarindill,Gian78,0-1,B41,Sicilian Defense: Kan Variation
Untegrator,Gian78,1-0,B21,Sicilian Defense: Smith-Morra Gambit
Gian78,ajay303,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Gian78,unsuccessful_life,0-1,B50,Sicilian Defense: Modern Variations
CalicoRock,Gian78,0-1,B41,Sicilian Defense: Kan Variation
Gian78,arso-aydin,1-0,C64,Ruy Lopez: Classical Variation
arso-aydin,Gian78,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Gian78,SilverStormer,0-1,B10,Caro-Kann Defense
CERO969,Gian78,1-0,B15,Caro-Kann Defense: Rasa-Studier Gambit
Gian78,IKhakimov77,0-1,B30,Sicilian Defense: Old Sicilian
firemaks,Gian78,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Gian78,Kamazo,1-0,B27,Sicilian Defense: Hyperaccelerated Dragon
Gian78,kgtkdo,0-1,C00,French Defense: Normal Variation
bcook3,Gian78,1/2-1/2,D00,Queen's Pawn Game
keatsig,Gian78,1/2-1/2,D10,Slav Defense
Gian78,ramin64,1-0,C53,Italian Game: Classical Variation
ATTRV122I,Gian78,1/2-1/2,D00,Blackmar-Diemer Gambit
Gian78,Champa86,0-1,C40,Elephant Gambit
Harvestime4,Gian78,1-0,B20,Sicilian Defense: Bowdler Attack
Gian78,washedup92,0-1,B30,Sicilian Defense: Old Sicilian
Gian78,kingsajjad1,1-0,C41,Philidor Defense: Boden Variation
CERBER61299,Gian78,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Gian78,Plussa,0-1,C63,"Ruy Lopez: Schliemann Defense, Exchange Variation"
Gian78,Plytrl,0-1,B50,Sicilian Defense: Modern Variations
YahRight,Gian78,0-1,A00,Clemenz
tafkamm,Gian78,1-0,D02,Queen's Pawn Game: Zukertort Variation
dfr07,Gian78,0-1,B40,Sicilian Defense: Delayed Alapin Variation
Gian78,wateenstuk,0-1,C63,"Ruy Lopez: Schliemann Defense, Exchange Variation"
MSARO888,Gian78,1-0,B40,Sicilian Defense: French Variation
Gian78,MrAlmaguin,0-1,B50,Sicilian Defense: Modern Variations
Randorian,Gian78,0-1,D02,Queen's Pawn Game: Zukertort Variation
Gian78,Djonkert,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
EMECEN,Gian78,1-0,B21,Sicilian Defense: McDonnell Attack
anwarmussar,Gian78,1-0,D15,Slav Defense: Three Knights Variation
Gian78,anwarmussar,0-1,C48,Four Knights Game: Spanish Variation
Gian78,tiosonsoner,1/2-1/2,B30,Sicilian Defense: Old Sicilian
Nalik,Gian78,0-1,B20,Sicilian Defense: Bowdler Attack
Ufuk2,Gian78,1-0,A11,English : Caro-Kann Defensive System
Gian78,melik044,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Gian78,diddi1,1-0,C03,French Defense: Tarrasch Variation
Oscar_Gomez,Gian78,1-0,B40,Sicilian Defense: Kramnik Variation
Gian78,Saint50,0-1,B01,Scandinavian Defense: Main Line
Untegrator,Gian78,1-0,B21,Sicilian Defense: Smith-Morra Gambit
sergserg13,Gian78,1-0,B20,Sicilian Defense: Bowdler Attack
Gian78,fearberg,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Gian78,xhelazz,1-0,C42,Russian Game: Nimzowitsch Attack
DillonHoracio,Gian78,1-0,D00,Queen's Pawn Game: Mason Variation
thugnificent44,Gian78,1-0,B40,Sicilian Defense: French Variation
Gian78,bdrahmed2020,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
JYCareras11_BUK,Gian78,0-1,D02,Queen's Pawn Game: Zukertort Variation
PaulRobeson,Gian78,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
Gian78,juju0408,0-1,B50,Sicilian Defense: Modern Variations
Gian78,Meky_2019,0-1,B01,Scandinavian Defense: Modern Variation
Gian78,Black2White71,1-0,C68,Ruy Lopez: Exchange Variation
Azmim,Gian78,1-0,B23,Sicilian Defense: Closed
Gian78,Ajeti,1-0,C42,Russian Game: Stafford Gambit
Gian78,Zmani50,0-1,C61,Ruy Lopez: Bird Variation
Zmani50,Gian78,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
DraggyStar,Gian78,1-0,D02,Queen's Pawn Game: Zukertort Variation
