Blancas,Negras,Result,ECO,Opening
gustavoprieu22,Gova479,1-0,E76,King's Indian Defense: Four Pawns Attack
Bee3stings,Gova479,1-0,A01,Nimzo-Larsen Attack
Bee3stings,Gova479,1-0,A01,Nimzo-Larsen Attack
Gova479,Sauriorraptor,0-1,D06,Queen's Gambit Declined: Austrian Defense
Vass_58,Gova479,1-0,E76,King's Indian Defense: Four Pawns Attack
Bee3stings,Gova479,0-1,A01,Nimzo-Larsen Attack
Gova479,nicolasdavid,1-0,A84,Dutch Defense: Normal Variation
nicolasdavid,Gova479,1-0,B08,"Pirc Defense: Classical Variation, Schlechter Variation"
Noah_Rodrigo,Gova479,1-0,B00,Pirc Defense
Gova479,Noah_Rodrigo,1-0,D08,Queen's Gambit Declined: Albin Countergambit
Gova479,iggyiggy,1-0,D11,"Slav Defense: Quiet Variation, Pin Defense"
iggyiggy,Gova479,1/2-1/2,E98,"King's Indian Defense: Orthodox Variation, Classical System"
Gova479,Gladki-3406,0-1,D45,Semi-Slav Defense: Main Line
sergej90881,Gova479,0-1,B07,Modern Defense: Geller's System
Gova479,sergej90881,0-1,D20,Queen's Gambit Accepted
sergej90881,Gova479,1-0,B07,Modern Defense: Geller's System
Krasniqi84,Gova479,1-0,A40,Queen's Pawn Game
Gova479,Krasniqi84,0-1,D20,Queen's Gambit Accepted
Krasniqi84,Gova479,0-1,B00,Pirc Defense
Gova479,Krasniqi84,0-1,A43,Benoni Defense: Old Benoni
Krasniqi84,Gova479,1-0,B00,Pirc Defense
Gova479,Krasniqi84,0-1,A43,Benoni Defense: Old Benoni
Krasniqi84,Gova479,1-0,A41,Modern Defense
Gova479,Krasniqi84,0-1,D11,"Slav Defense: Quiet Variation, Pin Defense"
Krasniqi84,Gova479,0-1,B00,Pirc Defense
Dmitriy69,Gova479,1-0,E66,"King's Indian Defense: Fianchetto Variation, Yugoslav Variation, Advance Line"
Gova479,Dmitriy69,0-1,A56,"Grnfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch"
Dmitriy69,Gova479,0-1,A00,Van't Kruijs
Gova479,Dmitriy69,0-1,A56,Benoni Defense
Gova479,BullTerrior,1-0,A40,Horwitz Defense
BullTerrior,Gova479,1-0,A41,Queen's Pawn Game
Gova479,StMari13,0-1,E60,"Indian Defense: King's Indian Variation, Fianchetto Variation"
StMari13,Gova479,0-1,A04,Zukertort : Pirc Invitation
Gova479,StMari13,1/2-1/2,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Soeyanda_aries,Gova479,1-0,B00,Pirc Defense
Gova479,Alexandr_Stetson,0-1,E11,Bogo-Indian Defense: Exchange Variation
Gova479,Vincence,0-1,A51,Indian Defense: Budapest Defense
