Blancas,Negras,Result,ECO,Opening
nevereverreally,jab17,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
jab17,Fer1,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Carlsuana,jab17,0-1,A57,Benko Gambit Accepted: Pawn Return Variation
Uli001,jab17,0-1,B25,"Sicilian Defense: Closed, Botvinnik Defense"
jab17,TimaStarMinsk123,1-0,D15,Slav Defense: Three Knights Variation
jab17,raskerino,0-1,A56,Benoni Defense: Czech Benoni Defense
T_axiDriver,jab17,0-1,B30,Sicilian Defense: Old Sicilian
Papapato,jab17,0-1,B30,Sicilian Defense: Old Sicilian
minumano,jab17,1/2-1/2,A45,Indian Defense: Reversed Chigorin Defense
jab17,LaBestiaParda,1/2-1/2,A65,Benoni Defense: King's Pawn Line
jab17,Surcouf69,1-0,A56,Benoni Defense
jesperc11,jab17,1-0,A45,Trompowsky Attack
jab17,Wear_Your_Seatbelt,0-1,E32,"Nimzo-Indian Defense: Classical Variation, Keres Defense"
jab17,STAS12,1-0,D34,"Tarrasch Defense: Classical Variation, Endgame Variation"
odasso10,jab17,0-1,B50,Sicilian Defense: Delayed Alapin
jab17,jacek27,1-0,A43,Benoni Defense: Old Benoni
AdrianRu,jab17,0-1,A45,Indian Defense: Reversed Chigorin Defense
jab17,dirtygardner,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
besok,jab17,0-1,A00,Mieses
jab17,GENCELI085,1-0,A45,Indian Defense
carless_carlsen,jab17,0-1,A00,Van't Kruijs
sombra03,jab17,1-0,A00,Hungarian : Catalan Formation
jab17,baneneba,0-1,A00,Mieses
jab17,toothbetold,0-1,D15,Slav Defense: Three Knights Variation
Raufleg0n,jab17,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
jab17,TheSolitaryKing,1-0,A43,Benoni Defense: Old Benoni
Charles_tony,jab17,0-1,E11,Bogo-Indian Defense: Nimzowitsch Variation
samuel22bastidas,jab17,0-1,A46,Yusupov-Rubinstein System
jab17,DanielBarreto,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
vladsuar,jab17,0-1,A45,Indian Defense
cjop1,jab17,1-0,B97,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation"
jab17,oscarhernadez,1-0,E32,Nimzo-Indian Defense: Classical Variation
jab17,ReifersonX-X,1-0,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
Elneneasesino,jab17,1-0,A45,Indian Defense: Tartakower Attack
jab17,Romg12,1-0,A40,Queen's Pawn Game
Alan_Abreu,jab17,0-1,B90,Sicilian Defense: Najdorf Variation
Zyros88,jab17,1-0,B21,Sicilian Defense: McDonnell Attack
jab17,Wilsonpalencia,0-1,B23,Sicilian Defense: Closed
jab17,edwuinb1,1-0,C41,Philidor Defense
cabri007,jab17,0-1,A30,English : Symmetrical Variation
jeffren10,jab17,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
jab17,Wilsonpalencia,0-1,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
cabri007,jab17,0-1,A10,English : Great Snake Variation
