Blancas,Negras,Result,ECO,Opening
Jaivismar123,pierrecabot2021,0-1,C00,French Defense: Knight Variation
AlexPet,Jaivismar123,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Jaivismar123,MisterJMK,0-1,D02,Queen's Pawn Game: Symmetrical Variation
esperantista1966,Jaivismar123,1-0,D20,Queen's Gambit Accepted: Old Variation
Jaivismar123,NotoriousBAK,1-0,B23,Sicilian Defense: Closed
HeyThere120,Jaivismar123,1-0,D00,Queen's Pawn Game: Mason Variation
Baseet_Fischer,Jaivismar123,1-0,D07,"Queen's Gambit Declined: Chigorin Defense, Modern Gambit"
Jaivismar123,Manjit_poet,0-1,C22,Center Game: Normal Variation
Jaivismar123,Narender21,0-1,C00,French Defense: Knight Variation
Mo_Gamal123,Jaivismar123,0-1,C50,Italian Game: Anti-Fried Liver Defense
RAVI1983,Jaivismar123,0-1,A80,Dutch Defense
Prod72,Jaivismar123,1/2-1/2,C47,"Four Knights Game: Scotch Variation, Belgrade Gambit"
Jaivismar123,mccali04,0-1,B30,Sicilian Defense: Old Sicilian
Jesus1999GM,Jaivismar123,1-0,C62,Ruy Lopez: Steinitz Defense
Jaivismar123,mherize,0-1,-1,-1
Jaivismar123,carlbc84,0-1,A46,Indian Defense: Knights Variation
mherize,Jaivismar123,1-0,B00,King's Pawn
Jaivismar123,Gova479,0-1,A41,Queen's Pawn Game
carlbc84,Jaivismar123,1-0,C46,Three Knights
Jaivismar123,kostric,1-0,B50,Sicilian Defense: Modern Variations
GiacomoGlassmann,Jaivismar123,0-1,D06,Queen's Gambit Declined: Marshall Defense
Jaivismar123,Anex1s,1-0,C20,Center Game
Jaivismar123,Dimastotata,0-1,C47,Four Knights Game: Italian Variation
JohannesLGK,Jaivismar123,0-1,D20,"Queen's Gambit Accepted: Central Variation, Modern Defense"
Jaivismar123,byronhall020,0-1,B08,Pirc Defense: Classical Variation
Jaivismar123,Rohamhaghi1,0-1,-1,-1
A73293604Miqueila,Jaivismar123,1-0,A80,Dutch Defense: Raphael Variation
Gabe_007,Jaivismar123,1-0,C50,Italian Game: Anti-Fried Liver Defense
NoGodOnlyGrob,Jaivismar123,1-0,C65,Ruy Lopez: Berlin Defense
Jaivismar123,EvilRuy,0-1,C47,Four Knights Game
karrar_fakhir,Jaivismar123,0-1,C62,Ruy Lopez: Steinitz Defense
Jaivismar123,lichess AI level 3,1-0,C45,Scotch Game
Jaivismar123,Suhail_india,1-0,C46,Three Knights
Jaivismar123,Chesster5656,1-0,C40,King's Knight
Gatti1995,Jaivismar123,1-0,C25,Vienna Game
JuMBrillantes,Jaivismar123,0-1,D00,Queen's Pawn Game
Jaivismar123,JesusChavez,0-1,C00,French Defense: Knight Variation
Jaivismar123,jeremyszeto,0-1,C40,King's Pawn Game: Busch-Gass Gambit
legatuslegionis_eray,Jaivismar123,1-0,C47,Four Knights Game: Gunsberg Variation
Jaivismar123,Ali4242,0-1,C46,Three Knights
Jaivismar123,giovanni_ricci,1-0,C42,Russian Game: Three Knights Game
iamPIEDAD,Jaivismar123,1-0,C21,Danish Gambit
Jaivismar123,magnutscarlsen420,0-1,C10,French Defense: Rubinstein Variation
Ahbubeniki,Jaivismar123,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
Enigmataas,Jaivismar123,0-1,C45,Scotch Game
Jaivismar123,keziae4,0-1,C50,Four Knights Game: Italian Variation
Jaivismar123,Gabumano,1-0,B23,"Sicilian Defense: Closed, Traditional"
Jaivismar123,rayotuctokelin2,0-1,B01,Scandinavian Defense
rayotuctokelin2,Jaivismar123,0-1,C25,Vienna Game: Vienna Gambit
Jaivismar123,DanNapier,1-0,C41,Philidor Defense: Hanham Variation
Nayuda,Jaivismar123,1-0,B22,Sicilian Defense: Alapin Variation
tommybahamiii,Jaivismar123,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Jaivismar123,DrizzyTheDrake,0-1,B06,Modern Defense
Arjuna91,Jaivismar123,1-0,C50,Italian Game: Anti-Fried Liver Defense
Jaivismar123,karaka,1-0,B30,Sicilian Defense: Old Sicilian
Jaivismar123,makita23,0-1,B30,Sicilian Defense: Old Sicilian
Jaivismar123,farkas12,1-0,C21,Center Game Accepted
