Blancas,Negras,Result,ECO,Opening
Jesus1999GM,princesa_carokann,0-1,B17,Caro-Kann Defense: Karpov Variation
apagontotal,Jesus1999GM,0-1,A45,Indian Defense
Jesus1999GM,Chinolo,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Aldo_terry1810,Jesus1999GM,1-0,A45,Indian Defense
Jesus1999GM,stalf,0-1,C20,King's Pawn Game
Puraspass,Jesus1999GM,1-0,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
Jesus1999GM,kokan59,1-0,B41,"Sicilian Defense: Kan Variation, Marczy Bind, Rti Variation"
MN2020,Jesus1999GM,0-1,E91,King's Indian Defense: Orthodox Variation
Jesus1999GM,vitaliy-poletaev50,1-0,A40,Modern Defense
infn000,Jesus1999GM,1-0,D06,Queen's Gambit Declined: Marshall Defense
Jesus1999GM,Rachmadsyarif,0-1,C40,Elephant Gambit: Paulsen Countergambit
Jesus1999GM,aqsyanputra,0-1,B07,Pirc Defense
IrshadB767,Jesus1999GM,0-1,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Jesus1999GM,mastersky1453,1-0,A40,Horwitz Defense
mastersky1453,Jesus1999GM,0-1,B32,Sicilian Defense: Lwenthal Variation
Jesus1999GM,lordchesshco,0-1,D43,Semi-Slav Defense
potatoscrub,Jesus1999GM,1-0,E60,Indian Defense: West Indian Defense
Jesus1999GM,hzavala,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Jesus1999GM,Sanabel2003,1-0,A10,English : Great Snake Variation
Alien_Project,Jesus1999GM,0-1,C41,Philidor Defense
Nikson01,Jesus1999GM,1/2-1/2,B30,Sicilian Defense: Old Sicilian
Jesus1999GM,Syahrul38Tbn,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Morphy Defense"
angerto,Jesus1999GM,1-0,D94,"Grnfeld Defense: Three Knights Variation, Burille Variation"
Jesus1999GM,angerto,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
angerto,Jesus1999GM,0-1,E61,King's Indian Defense: Semi-Classical Variation
MCH_10C01,Jesus1999GM,1-0,C39,King's Gambit Accepted: King Knight's Gambit
Jesus1999GM,miltonguzman,1-0,D85,Grnfeld Defense: Exchange Variation
rajaravisankarareddy,Jesus1999GM,1-0,B30,Sicilian Defense: Old Sicilian
Jesus1999GM,rajaravisankarareddy,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
rajaravisankarareddy,Jesus1999GM,0-1,C41,Philidor Defense
