Blancas,Negras,Result,ECO,Opening
Jhoseim_torres,Avetik_1,0-1,C46,Three Knights
Jhoseim_torres,radheyshyam,0-1,B01,Scandinavian Defense
SAYADYAN,Jhoseim_torres,1-0,A01,Nimzo-Larsen Attack: Modern Variation
RamonEduar2,Jhoseim_torres,1-0,-1,-1
Jhoseim_torres,Jhonnier,0-1,-1,-1
oscarhernadez,Jhoseim_torres,1-0,A46,Indian Defense: Knights Variation
Jhoseim_torres,Ronald_Linares02,0-1,-1,-1
Jhoseim_torres,Blackwell1,0-1,C42,Russian Game: Italian Variation
dber97,Jhoseim_torres,1-0,C57,"Italian Game: Two Knights Defense, Ponziani-Steinitz Gambit"
Jhoseim_torres,bhadrachessmaster,0-1,B27,Sicilian Defense: Hyperaccelerated Dragon
Tabzer,Jhoseim_torres,1-0,C57,"Italian Game: Two Knights Defense, Knight Attack"
Jhoseim_torres,ramirocruzlabrada,0-1,C48,"Four Knights Game: Spanish Variation, Classical Variation"
sinchan13795555,Jhoseim_torres,1-0,A01,Nimzo-Larsen Attack: Modern Variation
lfpnub,Jhoseim_torres,1-0,C26,Vienna Game: Falkbeer Variation
Jhoseim_torres,jolsson2,0-1,C49,Four Knights Game: Double Spanish
Jhoseim_torres,satayev,0-1,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation
hbathla16,Jhoseim_torres,1-0,D00,Queen's Pawn Game: Mason Variation
assosali,Jhoseim_torres,1/2-1/2,A20,English : King's English Variation
Jhoseim_torres,Bohdan_chornyi2003,0-1,B52,"Sicilian Defense: Canal Attack, Main Line"
Jhoseim_torres,pippodepippis,1-0,C48,"Four Knights Game: Rubinstein Countergambit, Henneberger Variation"
