Blancas,Negras,Result,ECO,Opening
Vetenn,JoseAlvarez07,1-0,D06,Queen's Gambit Declined: Marshall Defense
JoseAlvarez07,MarkHammer,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
JoseAlvarez07,Pitirre,0-1,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
johanelkraken,JoseAlvarez07,1-0,D00,Queen's Pawn Game
stormarc,JoseAlvarez07,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
JoseAlvarez07,stormarc,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
stormarc,JoseAlvarez07,1/2-1/2,B10,Caro-Kann Defense
JoseAlvarez07,stormarc,0-1,A35,"English : Symmetrical Variation, Two Knights Variation"
JoseAlvarez07,Lee_Shan,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
AngElom13,JoseAlvarez07,1-0,B10,Caro-Kann Defense: Hillbilly Attack
JoseAlvarez07,shubhanshukhare,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
shubhanshukhare,JoseAlvarez07,1-0,A17,"English : Anglo-Indian Defense, Hedgehog System"
ZamaLlamini,JoseAlvarez07,0-1,A04,Zukertort : Slav Invitation
JoseAlvarez07,ZamaLlamini,0-1,A10,"English : Anglo-Scandinavian Defense, Schulz Gambit"
ZamaLlamini,JoseAlvarez07,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
JoseAlvarez07,ZamaLlamini,0-1,A10,English : Anglo-Scandinavian Defense
ZamaLlamini,JoseAlvarez07,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
JoseAlvarez07,ZamaLlamini,0-1,B00,Pirc Defense
JoseAlvarez07,Ares1234,0-1,C47,Four Knights Game: Italian Variation
JoseAlvarez07,Tania422R,0-1,A15,"English : Anglo-Indian Defense, Anti-Anti-Grnfeld"
TeSLa2009,JoseAlvarez07,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
JoseAlvarez07,DiOrEu,0-1,A10,English : Great Snake Variation
JoseAlvarez07,BBisplaying,1-0,A28,"English : Four Knights System, Nimzowitsch Variation"
Sofia455,JoseAlvarez07,1-0,C50,"Italian Game: Giuoco Pianissimo, Canal Variation"
JoseAlvarez07,khaledbenalyemen,0-1,-1,-1
luferseji,JoseAlvarez07,0-1,A45,Indian Defense
Egypt-Champion,JoseAlvarez07,0-1,B12,Caro-Kann Defense: Advance Variation
JoseAlvarez07,Barbossa_7,1-0,E90,King's Indian Defense: Zinnowitz Variation
victorcoolworld,JoseAlvarez07,0-1,A00,Van't Kruijs
byderkan,JoseAlvarez07,1-0,B12,Caro-Kann Defense: Advance Variation
JoseAlvarez07,StefanJF,0-1,A85,Dutch Defense: Queen's Knight Variation
Kibreab12,JoseAlvarez07,0-1,A11,English : Caro-Kann Defensive System
JoseAlvarez07,amithchess,0-1,A22,"English : King's English Variation, Two Knights Variation"
JoseAlvarez07,litodeleon,1-0,A18,English : Mikenas-Carls Variation
Dart24,JoseAlvarez07,1-0,B00,King's Pawn
JoseAlvarez07,juliomederos,0-1,A13,English : Agincourt Defense
latenight_chess,JoseAlvarez07,0-1,-1,-1
Kanish1234567890,JoseAlvarez07,1-0,B10,Caro-Kann Defense
JoseAlvarez07,bksumukh12_chess,1-0,A10,English
damosis,JoseAlvarez07,1-0,A04,Zukertort : Slav Invitation
JoseAlvarez07,fenki,0-1,A18,English : Mikenas-Carls Variation
RodrigoCapa,JoseAlvarez07,1-0,B10,Caro-Kann Defense: Accelerated Panov Attack
crazy-theory,JoseAlvarez07,1-0,A03,Bird : Dutch Variation
JoseAlvarez07,Ionathan777,0-1,A22,"English : King's English Variation, Two Knights Variation"
El-Pal-2020,JoseAlvarez07,1-0,B10,Caro-Kann Defense: Two Knights Attack
JoseAlvarez07,aiiv,1-0,A21,"English : King's English Variation, Reversed Sicilian"
FireWorks,JoseAlvarez07,0-1,A05,Zukertort
JoseAlvarez07,fralsapu,0-1,-1,-1
JoseAlvarez07,tuoponente,0-1,A10,English
JoseAlvarez07,PaPaVaNi,0-1,A21,"English : King's English Variation, Reversed Sicilian"
prinzip,JoseAlvarez07,0-1,B12,Caro-Kann Defense: Advance Variation
Kimikov,JoseAlvarez07,0-1,B13,"Caro-Kann Defense: Panov Attack, Modern Defense"
Prajithunni,JoseAlvarez07,1-0,D10,Slav Defense: Exchange Variation
JoseAlvarez07,Prajithunni,0-1,D10,Slav Defense
Prajithunni,JoseAlvarez07,0-1,D20,Queen's Gambit Accepted: Old Variation
JoseAlvarez07,jpula,0-1,A00,Saragossa
JoseAlvarez07,Nestor1234,0-1,A22,"English : King's English Variation, Two Knights Variation"
JoseAlvarez07,abozaher202,1-0,A11,English : Caro-Kann Defensive System
bigbiff,JoseAlvarez07,0-1,B13,"Caro-Kann Defense: Exchange Variation, Rubinstein Variation"
hypotango,JoseAlvarez07,1-0,B10,Caro-Kann Defense
JoseAlvarez07,nikolai-19,1-0,A11,English : Caro-Kann Defensive System
pradeepkumargond,JoseAlvarez07,0-1,B10,Caro-Kann Defense: Hillbilly Attack
JoseAlvarez07,NZ40Tedds,0-1,A13,English : Agincourt Defense
benji20122013,JoseAlvarez07,0-1,B18,Caro-Kann Defense: Classical Variation
BrandonBrioso,JoseAlvarez07,0-1,C23,Bishop's
JoseAlvarez07,Hlodowig_Q,0-1,-1,-1
JoseAlvarez07,saldm,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
jenyav,JoseAlvarez07,0-1,B19,"Caro-Kann Defense: Classical Variation, Spassky Variation"
JoseAlvarez07,DenisBayow,0-1,A21,"English : King's English Variation, Kramnik-Shirov Counterattack"
JoseAlvarez07,spekover,0-1,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
JoseAlvarez07,CrancPelut,1-0,A10,English : Great Snake Variation
faiekg,JoseAlvarez07,0-1,D11,Slav Defense: Modern Line
bonyohr,JoseAlvarez07,0-1,B10,Caro-Kann Defense
TheMnanaukChess,JoseAlvarez07,0-1,D31,Semi-Slav Defense: Accelerated Move Order
JoseAlvarez07,Mixalaki2705,0-1,-1,-1
JoseAlvarez07,Sta97,0-1,C20,English : The Whale
JoseAlvarez07,alex_dr76,0-1,A13,English : Agincourt Defense
esizand,JoseAlvarez07,1-0,A00,Van't Kruijs
JoseAlvarez07,Jomzee,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Jomzee,JoseAlvarez07,1-0,B10,Caro-Kann Defense
creeperland,JoseAlvarez07,1-0,B12,"Caro-Kann Defense: Advance Variation, Tal Variation"
JoseAlvarez07,MomoBerlin,0-1,A21,"English : King's English Variation, Reversed Sicilian"
JoseAlvarez07,lucs_1,0-1,A31,"English : Symmetrical Variation, Anti-Benoni Variation"
bouss3ammo,JoseAlvarez07,0-1,B18,Caro-Kann Defense: Classical Variation
JoseAlvarez07,A_judy,1-0,A10,English : Anglo-Scandinavian Defense
nau7,JoseAlvarez07,1-0,D10,Slav Defense
JoseAlvarez07,Deyen94,0-1,A41,Modern Defense
Alex33334357,JoseAlvarez07,0-1,D10,Slav Defense: Exchange Variation
JoseAlvarez07,akosichessboxer,1-0,E61,King's Indian Defense
Cagdas09090909,JoseAlvarez07,1-0,C55,Italian Game: Two Knights Defense
JoseAlvarez07,ArnimGi,1-0,A85,Dutch Defense: Queen's Knight Variation
JoseAlvarez07,WhatCanIWriteHere,0-1,E73,King's Indian Defense: Semi-Averbakh System
TheChessB0t,JoseAlvarez07,0-1,B10,Caro-Kann Defense: Hillbilly Attack
JoseAlvarez07,ricardodosanjos,0-1,E61,King's Indian Defense: Smyslov Variation
Rus_Sky,JoseAlvarez07,0-1,C44,Scotch Game
ricuchi,JoseAlvarez07,1-0,B10,Caro-Kann Defense
JoseAlvarez07,raveek,0-1,A13,English : Agincourt Defense
JoseAlvarez07,s7alamen,1-0,A22,"English : King's English Variation, Two Knights Variation"
zz151,JoseAlvarez07,1-0,B10,Caro-Kann Defense
JoseAlvarez07,MendiPokeGhost,0-1,E91,King's Indian Defense: Orthodox Variation
JoseAlvarez07,habib-5,1-0,A10,English : Anglo-Scandinavian Defense
Timothynkole,JoseAlvarez07,1-0,D00,Queen's Pawn Game
cley10,JoseAlvarez07,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
IK_Martin,JoseAlvarez07,0-1,B18,Caro-Kann Defense: Classical Variation
JoseAlvarez07,emad1997,1/2-1/2,A10,English : Anglo-Scandinavian Defense
JoseAlvarez07,ponytailzor,1-0,A25,"English : King's English Variation, Reversed Closed Sicilian"
jalcarazvilla,JoseAlvarez07,0-1,B10,Caro-Kann Defense
hectore19,JoseAlvarez07,0-1,A40,Horwitz Defense
JoseAlvarez07,RCH123,1-0,A10,English : Anglo-Dutch Defense
iucdiucdi,JoseAlvarez07,1/2-1/2,B10,Caro-Kann Defense: Hillbilly Attack
JoseAlvarez07,timo1410,1/2-1/2,A18,English : Mikenas-Carls Variation
JoseAlvarez07,ubaidnoor,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
neoking3d,JoseAlvarez07,0-1,B10,Caro-Kann Defense: Accelerated Panov Attack
ShowmeNope,JoseAlvarez07,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
JoseAlvarez07,Herdik-B-CSI,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
JoseAlvarez07,jacekstan,1/2-1/2,A21,"English : King's English Variation, Reversed Sicilian"
dcalonga,JoseAlvarez07,0-1,B10,Caro-Kann Defense
neracp,JoseAlvarez07,1-0,C24,Bishop's : Berlin Defense
JoseAlvarez07,RJG1992,0-1,A11,English : Caro-Kann Defensive System
alexander_davila,JoseAlvarez07,1-0,C20,King's Pawn Game: Leonardis Variation
JoseAlvarez07,peterndnguyen,1-0,A10,English : Great Snake Variation
pavel7799,JoseAlvarez07,1-0,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation"
JoseAlvarez07,bishopjone,0-1,A21,"English : King's English Variation, Kramnik-Shirov Counterattack"
mostafaa31009980,JoseAlvarez07,0-1,B10,Caro-Kann Defense
JoseAlvarez07,IsmaelfajarD,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Ar1631,JoseAlvarez07,1-0,B10,Caro-Kann Defense: Hillbilly Attack
JoseAlvarez07,tanakadreamstikks,0-1,D31,Semi-Slav Defense: Accelerated Move Order
JoseAlvarez07,fanegol,1-0,A00,Saragossa
HyperMood,JoseAlvarez07,0-1,B10,Caro-Kann Defense
JoseAlvarez07,arhentinofeo,1-0,A18,English : Mikenas-Carls Variation
Findus3,JoseAlvarez07,1-0,B10,Caro-Kann Defense
JoseAlvarez07,Erick_Nyabota,1-0,A28,"English : Four Knights System, Nimzowitsch Variation"
emanuelassuncao,JoseAlvarez07,1-0,C44,Scotch Game: Haxo Gambit
JoseAlvarez07,yasirtuncer,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
Ivan-X,JoseAlvarez07,0-1,C44,Ponziani : Jaenisch Counterattack
JoseAlvarez07,KBSBR,1-0,A10,English
identidadandres,JoseAlvarez07,1-0,B10,Caro-Kann Defense: Two Knights Attack
donnelllair,JoseAlvarez07,1/2-1/2,B12,Caro-Kann Defense: Advance Variation
JoseAlvarez07,deeply_insane,1-0,C20,English : The Whale
Plazo1,JoseAlvarez07,0-1,A40,Queen's Pawn Game
