Blancas,Negras,Result,ECO,Opening
Juandv12,kmahesh,1-0,C00,French Defense: King's Indian Attack
kristian34555,Juandv12,1-0,A00,Mieses
Juandv12,Kurppa,1/2-1/2,A08,King's Indian Attack: Sicilian Variation
Najdoof,Juandv12,1-0,B20,Sicilian Defense
Juandv12,TicoLaMaquina,1/2-1/2,C45,Scotch Game: Schmidt Variation
esizand,Juandv12,1-0,B20,Sicilian Defense
Juandv12,oog30,1-0,C02,French Defense: Advance Variation
shiningpotato,Juandv12,1-0,B50,Sicilian Defense: Modern Variations
bem17,Juandv12,0-1,B50,Sicilian Defense: Delayed Alapin
Juandv12,alpha290,0-1,B10,Caro-Kann Defense
Tiscamanita,Juandv12,1-0,A34,"English : Symmetrical Variation, Normal Variation"
Juandv12,petrocore,1-0,B18,Caro-Kann Defense: Classical Variation
Juandv12,SlavkoSah,0-1,C45,Scotch Game
Juandv12,Shevaga_Igor2020,1-0,B30,Sicilian Defense: Old Sicilian
darkknightboy,Juandv12,1-0,A43,Benoni Defense: Benoni Gambit Accepted
MaxTsourov,Juandv12,1-0,B70,Sicilian Defense: Dragon Variation
Juandv12,MaxTsourov,1-0,C45,Scotch Game: Classical Variation
MaxTsourov,Juandv12,0-1,B70,Sicilian Defense: Dragon Variation
Juandv12,Ningel,1-0,B01,Scandinavian Defense: Modern Variation
Oreo_cookie37,Juandv12,0-1,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line"
Juandv12,losenvases,1-0,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
rubenrs17,Juandv12,0-1,B21,Sicilian Defense: McDonnell Attack
Juandv12,DuverGutierrez,1-0,C45,Scotch Game
Juandv12,BrunoDevens,0-1,B91,"Sicilian Defense: Najdorf Variation, Zagreb Variation"
samuel_letal,Juandv12,0-1,B20,Sicilian Defense
fotouhi58,Juandv12,0-1,A40,Horwitz Defense
Juandv12,natioa,0-1,B12,Caro-Kann Defense: Advance Variation
Ibragimov_Renat_1986,Juandv12,0-1,B20,Sicilian Defense: Bowdler Attack
Rajushilpi666,Juandv12,1-0,B20,Sicilian Defense: Bowdler Attack
Juandv12,mibra564,1-0,B32,Sicilian Defense: Open
Brian10301974,Juandv12,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Juandv12,UmidSh,1-0,B07,Modern Defense: Geller's System
Juandv12,RonginRW,1-0,B28,"Sicilian Defense: O'Kelly Variation, Normal System"
Yulian2009,Juandv12,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
dranwar,Juandv12,0-1,C00,Rat Defense: Small Center Defense
Juandv12,antaresargentona,0-1,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
RaMorphy,Juandv12,1-0,B70,Sicilian Defense: Dragon Variation
Juandv12,RaMorphy,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
RaMorphy,Juandv12,0-1,B53,Sicilian Defense: Chekhover Variation
ambracco,Juandv12,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Juandv12,lalelale,1-0,C00,French Defense: King's Indian Attack
Juandv12,KependaMena,0-1,C40,King's Pawn Game: Busch-Gass Gambit
FLEIM96,Juandv12,0-1,B70,Sicilian Defense: Dragon Variation
Juandv12,elektrooon49,1-0,B00,Nimzowitsch Defense: Breyer Variation
Arturo_Bandini1,Juandv12,1-0,B70,Sicilian Defense: Dragon Variation
Juandv12,Arturo_Bandini1,0-1,C45,Scotch Game
Arturo_Bandini1,Juandv12,0-1,B70,"Sicilian Defense: Dragon Variation, Fianchetto Variation"
Elnidodelcuco,Juandv12,1-0,A41,Queen's Pawn Game
Juandv12,sanjoybanerjee,0-1,B87,"Sicilian Defense: Sozin Attack, Flank Variation"
Juandv12,Chokriov,0-1,C00,Rat Defense: Small Center Defense
Chokriov,Juandv12,0-1,A40,Horwitz Defense
platondeatenas,Juandv12,1-0,B50,Sicilian Defense: Modern Variations
Juandv12,MarkovicStefan,0-1,C45,Scotch Game: Mieses Variation
Juandv12,mtewa1234,1-0,C44,Scotch Game
freitas_94,Juandv12,0-1,B21,Sicilian Defense: McDonnell Attack
Juandv12,Blackbird2,1-0,B56,Sicilian Defense: Classical Variation
Juandv12,singh_rohit1,1/2-1/2,B01,Scandinavian Defense: Mieses-Kotroc Variation
petos74,Juandv12,0-1,B50,Sicilian Defense: Delayed Alapin
RealyStrongPlayer,Juandv12,0-1,A43,Benoni Defense: Old Benoni
Juandv12,TheStuntmanMike,1-0,B50,Sicilian Defense: Modern Variations
Juandv12,Joko_k75,1-0,B28,"Sicilian Defense: O'Kelly Variation, Rti System"
Ferranlm007,Juandv12,1-0,B40,Sicilian Defense: Kramnik Variation
Juandv12,marbart,0-1,C00,French Defense: King's Indian Attack
adooo,Juandv12,1/2-1/2,A43,Benoni Defense: Benoni Gambit Accepted
Juandv12,pochizonasur,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Era_02-Kair,Juandv12,0-1,B70,Sicilian Defense: Dragon Variation
Argen_13,Juandv12,1-0,B23,Sicilian Defense: Closed
Juandv12,ArturoCar,1-0,B93,"Sicilian Defense: Najdorf Variation, Amsterdam Variation"
AjakWeng99,Juandv12,1-0,A56,Benoni Defense: Hromdka System
Juandv12,seekerman,0-1,B10,Caro-Kann Defense: Breyer Variation
Juandv12,Ventodaprile,0-1,C45,"Scotch Game: Classical Variation, Blackburne Attack"
Erick_M-B,Juandv12,1-0,B21,Sicilian Defense: McDonnell Attack
erlan67,Juandv12,0-1,B21,Sicilian Defense: McDonnell Attack
jeanguy007,Juandv12,1-0,A00,Polish
Juandv12,Chonbi,0-1,B06,Modern Defense
Max_volk_48,Juandv12,1/2-1/2,B21,Sicilian Defense: McDonnell Attack
ramiro2,Juandv12,1-0,B70,Sicilian Defense: Dragon Variation
Juandv12,KingsIndianKing,1-0,B00,King's Pawn Game: Nimzowitsch Defense
Juandv12,mahsumceylan,1-0,B40,Sicilian Defense: French Variation
Juandv12,ValentinC1,1-0,C00,French Defense: King's Indian Attack
hriata,Juandv12,0-1,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
LorenzoDavid,Juandv12,1-0,B22,Sicilian Defense: Alapin Variation
Juandv12,mmartel,0-1,B00,Pirc Defense
Boolean007,Juandv12,0-1,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Juandv12,Raajd,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Juandv12,mrromeo003,0-1,C44,Scotch Game: Lolli Variation
