Blancas,Negras,Result,ECO,Opening
Sadamku,JulioCesarTovar4,1-0,B00,"Nimzowitsch Defense: Scandinavian Variation, Exchange Variation, Marshall Gambit"
JulioCesarTovar4,prsguate,0-1,C26,"Vienna Game: Stanley Variation, Reversed Spanish"
BoganPubRock,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,akena,0-1,B86,Sicilian Defense: Sozin Attack
CKaviraj,JulioCesarTovar4,0-1,D02,Queen's Pawn Game: Zukertort Variation
Francisco_Scalise,JulioCesarTovar4,1-0,C01,French Defense: Exchange Variation
JulioCesarTovar4,FJAG_e5,1-0,B50,Sicilian Defense: Modern Variations
FJAG_e5,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Richter Variation
FJAG_e5,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Marshall Variation
JulioCesarTovar4,blunder_chief22,0-1,B30,Sicilian Defense: Old Sicilian
yasirtuncer,JulioCesarTovar4,1-0,D35,Queen's Gambit Declined: Harrwitz Attack
ZvoneS3010,JulioCesarTovar4,1-0,A22,"English : King's English Variation, Two Knights Variation"
JulioCesarTovar4,peter-1962,0-1,B30,Sicilian Defense: Old Sicilian
JulioCesarTovar4,alexsandrsereda,1-0,C23,Bishop's
JulioCesarTovar4,modalduality,0-1,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
Dummisel,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Marshall Variation
JulioCesarTovar4,florian-gc108,0-1,B07,Pirc Defense: Kholmov System
JulioCesarTovar4,faresovzch,1-0,C24,Bishop's : Vienna Hybrid
noofellini,JulioCesarTovar4,0-1,E76,King's Indian Defense: Four Pawns Attack
Joan_2022,JulioCesarTovar4,0-1,D30,Queen's Gambit Declined
JulioCesarTovar4,DopethroneEW,0-1,B06,Modern Defense: Norwegian Defense
parsajafari1389,JulioCesarTovar4,1-0,D39,"Queen's Gambit Declined: Ragozin Defense, Vienna Variation"
JulioCesarTovar4,Bogdanoff,0-1,B02,"Alekhine Defense: Scandinavian Variation, Geschev Gambit"
ziggyp0p,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Marshall Variation
JulioCesarTovar4,MobileOmega1,1-0,C26,"Bishop's : Vienna Hybrid, Spielmann Attack"
Leibo,JulioCesarTovar4,0-1,A85,Dutch Defense: Queen's Knight Variation
JulioCesarTovar4,WarioQNK,1-0,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
seekerman,JulioCesarTovar4,1-0,D38,Queen's Gambit Declined: Ragozin Defense
JulioCesarTovar4,urangap,0-1,C23,Bishop's
simkers,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,urangap,1-0,C23,Bishop's
JulioCesarTovar4,andrews810,1-0,B06,Modern Defense: Bishop Attack
JulioCesarTovar4,LaMoustache92,1-0,C23,Bishop's
JulioCesarTovar4,bzc2000,0-1,C24,Bishop's : Vienna Hybrid
agemil,JulioCesarTovar4,1-0,D38,Queen's Gambit Declined: Ragozin Defense
JulioCesarTovar4,LeonMika13,0-1,B50,Sicilian Defense: Modern Variations
Ranjan1235,JulioCesarTovar4,0-1,D31,Queen's Gambit Declined: Queen's Knight Variation
JulioCesarTovar4,kcanyehj,0-1,C26,"Bishop's : Vienna Hybrid, Spielmann Attack"
gusparov08,JulioCesarTovar4,1-0,A46,Torre Attack
Morphie2,JulioCesarTovar4,0-1,A40,Horwitz Defense
JulioCesarTovar4,raminmahmoodi,0-1,B30,Sicilian Defense: Old Sicilian
JulioCesarTovar4,VkiseleV,1-0,C26,Vienna Game: Stanley Variation
JulioCesarTovar4,mounaoui,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
JulioCesarTovar4,Doandris2004,0-1,B07,Pirc Defense: Kholmov System
Doandris2004,JulioCesarTovar4,1-0,A80,Dutch Defense
JulioCesarTovar4,Doandris2004,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
JulioCesarTovar4,Doandris2004,1-0,B30,Sicilian Defense: Old Sicilian
Doandris2004,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Classical Variation
eduarw,JulioCesarTovar4,1-0,C02,French Defense: Advance Variation
JulioCesarTovar4,Perovius,0-1,C23,Bishop's
valdesano,JulioCesarTovar4,1-0,A50,Indian Defense: Normal Variation
JulioCesarTovar4,ManelitoPirussas,0-1,B75,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line"
hwaynec,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,TheBoredJedi,1-0,B06,Modern Defense: Bishop Attack
JulioCesarTovar4,tonninhojb,1-0,C23,Bishop's
Oleksandr_K,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,casan0va,0-1,B02,Alekhine Defense: Brooklyn Variation
Renomaster,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Modern Variation
santos900,JulioCesarTovar4,1-0,D00,Queen's Pawn Game: Mason Attack
JulioCesarTovar4,blackhill2022,0-1,B00,Nimzowitsch Defense
msh3l,JulioCesarTovar4,1-0,A22,English : Carls-Bremen System
JulioCesarTovar4,Bashar_Iraq123,0-1,B00,Carr Defense
JulioCesarTovar4,Niiiiik08,0-1,C23,Bishop's
numbernyn,JulioCesarTovar4,1-0,B01,Scandinavian Defense
JulioCesarTovar4,poory600,1-0,B00,Owen Defense
bzc2000,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Icelandic-Palme Gambit
selectedHawk,JulioCesarTovar4,0-1,D35,Queen's Gambit Declined: Normal Defense
omairisemo,JulioCesarTovar4,1-0,C02,"French Defense: Advance Variation, Nimzowitsch System"
JulioCesarTovar4,Transfixer,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,andremassashi,0-1,C02,"French Defense: Advance Variation, Euwe Variation"
JulioCesarTovar4,petecampo,1-0,B50,Sicilian Defense: Modern Variations
damares,JulioCesarTovar4,1-0,B01,Scandinavian Defense
JulioCesarTovar4,EgorE,0-1,B01,Scandinavian Defense: Modern Variation
Norwenna,JulioCesarTovar4,0-1,A22,"English : King's English Variation, Two Knights Variation"
JulioCesarTovar4,Phiron_Hin,1-0,B40,Sicilian Defense: French Variation
JulioCesarTovar4,antonblue11,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
peacefulwarrior_14,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Modern Variation
dave252,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Icelandic-Palme Gambit
JulioCesarTovar4,Blueberry15,0-1,C23,Bishop's
vaxero,JulioCesarTovar4,0-1,A40,English Defense
JulioCesarTovar4,riteshANAYA,1-0,C24,Bishop's : Vienna Hybrid
JulioCesarTovar4,Tgn-29,0-1,B12,Caro-Kann Defense: Advance Variation
JulioCesarTovar4,Lyon-King,1-0,C24,Bishop's : Vienna Hybrid
Caryophyllaceae,JulioCesarTovar4,0-1,D00,Queen's Pawn Game
erikiren,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,MateoGal,1-0,B27,Sicilian Defense: Hyperaccelerated Pterodactyl
JulioCesarTovar4,Serg72,0-1,C26,"Bishop's : Vienna Hybrid, Spielmann Attack"
JulioCesarTovar4,dansa,0-1,C23,Bishop's
JulioCesarTovar4,AizaNakazaki,1-0,C23,Bishop's
coastalmango,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,Karpoker,0-1,C23,Bishop's : Boi Variation
GeorgePC99,JulioCesarTovar4,1-0,B01,Scandinavian Defense: Modern Variation
trancaxo,JulioCesarTovar4,0-1,E15,Queen's Indian Defense: Fianchetto Traditional
JulioCesarTovar4,asd1234asdf,0-1,C26,"Vienna Game: Stanley Variation, Reversed Spanish"
au7o,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,trenak,1-0,A43,Benoni Defense: French Benoni
DrChico,JulioCesarTovar4,1-0,A41,Old Indian Defense
JulioCesarTovar4,jamonyqueso,0-1,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
sossachess,JulioCesarTovar4,0-1,B01,Scandinavian Defense: Modern Variation
JulioCesarTovar4,LoSpaccone,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
