Blancas,Negras,Result,ECO,Opening
Junior28,rifel,1-0,A80,Dutch Defense
Jakobsen91,Junior28,0-1,B20,Sicilian Defense: Bowdler Attack
Junior28,yercko0,1-0,D00,Queen's Pawn Game: Mason Variation
arsenalsure,Junior28,0-1,A45,Indian Defense
Junior28,EraySir,1/2-1/2,A40,Horwitz Defense
isa17,Junior28,0-1,B50,Sicilian Defense: Modern Variations
vrogelov,Junior28,1-0,B20,Sicilian Defense: Bowdler Attack
Junior28,superxmax,0-1,A45,Indian Defense
Junior28,jussi,0-1,D00,Queen's Pawn Game: Mason Variation
bahadormardanii,Junior28,1-0,B50,Sicilian Defense: Modern Variations
Junior28,capablanca_pdr,0-1,A13,English : Agincourt Defense
Prashantjoshi1994,Junior28,0-1,B44,Sicilian Defense: Taimanov Variation
Junior28,ahsjfz,0-1,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Junior28,Champonn,1-0,A20,English : King's English Variation
AllanStillDoingChess,Junior28,0-1,A40,Borg Defense: Borg Gambit
perteachess,Junior28,1-0,B30,Sicilian Defense: Old Sicilian
belegug,Junior28,0-1,D02,Queen's Pawn Game: London System
Junior28,Drnoodle,1-0,D00,Queen's Pawn Game: Mason Variation
Junior28,TheGM3344,0-1,D06,Queen's Gambit Declined: Marshall Defense
Alecx_Luna,Junior28,1-0,B30,Sicilian Defense: Old Sicilian
Megahead,Junior28,1-0,B23,Sicilian Defense: Closed
Junior28,notabot321,0-1,A40,Queen's Pawn Game
TalentfreierSpieler,Junior28,1-0,B62,Sicilian Defense: Richter-Rauzer Variation
Junior28,Victor-win,1-0,D00,Queen's Pawn Game: Mason Variation
Junior28,borophi,0-1,D00,Queen's Pawn Game: Mason Variation
rnnsini,Junior28,0-1,B23,Sicilian Defense: Closed
Silmans_Lehrling,Junior28,1-0,D01,Richter-Veresov Attack
Junior28,crusader9999,1-0,A40,Englund Gambit
SNMadake,Junior28,0-1,B20,Sicilian Defense: Bowdler Attack
Gooneonone,Junior28,1-0,A39,"English : Symmetrical Variation, Mecking Variation"
Junior28,danciac,1-0,D00,Queen's Pawn Game: Mason Variation
Junior28,MCvoro,0-1,A43,Benoni Defense: Old Benoni
mestariisback,Junior28,1-0,B50,Sicilian Defense: Modern Variations
Junior28,squibs160,0-1,D00,Queen's Pawn Game: Mason Variation
Junior28,Empirialchess,1-0,A45,Indian Defense
Saymon0,Junior28,0-1,B10,Caro-Kann Defense: Euwe Attack
jviananeto,Junior28,0-1,B23,Sicilian Defense: Closed
Junior28,boybooy,0-1,A43,Benoni Defense: Old Benoni
Junior28,EFBAIDE,1-0,A40,Horwitz Defense
Greylo,Junior28,0-1,B90,Sicilian Defense: Najdorf Variation
wellhellotheree,Junior28,0-1,A48,Torre Attack
Junior28,born-to-lose,1/2-1/2,A45,Indian Defense
Junior28,rosa3756,1-0,A41,Queen's Pawn Game
Junior28,OdessaTeam,1-0,A40,Englund Gambit
X______________X,Junior28,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
MiraCalege,Junior28,1-0,D02,Queen's Pawn Game: Symmetrical Variation
pinstrup,Junior28,0-1,B30,Sicilian Defense: Old Sicilian
Junior28,slm1905,1-0,A45,Indian Defense
gavaju,Junior28,0-1,B20,Sicilian Defense: Bowdler Attack
Junior28,Zybekz,1-0,A40,Queen's Pawn Game
Junior28,tanso,0-1,C25,Vienna Game: Paulsen Variation
its_RSR,Junior28,1-0,B23,Sicilian Defense: Closed
Becobeh,Junior28,0-1,D02,Queen's Pawn Game: London System
Junior28,xochesh,0-1,A40,Horwitz Defense
Junior28,alistel,0-1,A45,Indian Defense
Jhonnyer1500,Junior28,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
Junior28,rafapov,1-0,A40,Englund Gambit
DiegoFitness92,Junior28,0-1,B50,Sicilian Defense: Modern Variations
