Blancas,Negras,Result,ECO,Opening
Lego77,SlivkaRu,1-0,D00,Queen's Pawn Game
Lego77,yogin1,1-0,A41,Queen's Pawn Game
Lego77,rlove,1-0,A45,Indian Defense
lefoudelavalleenoire,Lego77,1-0,B12,"Caro-Kann Defense: Advance Variation, Van der Wiel Attack"
Krasnasapacka,Lego77,1-0,B12,"Caro-Kann Defense: Marczy Variation, Marczy Gambit"
AGeeezy,Lego77,0-1,A40,Queen's Pawn Game
Lego77,Anirudh2020,0-1,D00,Queen's Pawn Game
chesrasim,Lego77,1-0,B17,Caro-Kann Defense: Karpov Variation
dreamsandwishes,Lego77,1-0,D31,Semi-Slav Defense: Marshall Gambit
Lego77,Natty80,0-1,A40,Modern Defense
Lego77,witaarlinahutabarat,0-1,A00,Mieses : Reversed Rat
Lego77,fandi88,1/2-1/2,A43,Benoni Defense: Old Benoni
Ikebana,Lego77,0-1,B12,Caro-Kann Defense: Marczy Variation
Lego77,Dim4iggggg,1-0,A40,Horwitz Defense
DemOleg,Lego77,0-1,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack"
Lego77,Adbo,0-1,D00,Queen's Pawn Game
Adbo,Lego77,1-0,B13,Caro-Kann Defense: Exchange Variation
Lego77,AfellayDemir,1-0,A45,Indian Defense
mijacho,Lego77,1-0,B10,Caro-Kann Defense
Lego77,Vikingord,1-0,D00,Queen's Pawn Game
joaohenriquer,Lego77,1-0,B10,Caro-Kann Defense: Accelerated Panov Attack
Lego77,fedejavi81,1/2-1/2,D00,Queen's Pawn Game
Lego77,Evolute,1-0,A43,Benoni Defense: Old Benoni
Azizzov,Lego77,0-1,B13,Caro-Kann Defense: Exchange Variation
Lego77,elyisaac,0-1,A40,Modern Defense
A98eWy25cc,Lego77,1-0,A01,Nimzo-Larsen Attack
karjanr,Lego77,1-0,A13,"English : Agincourt Defense, Kurajica Defense"
Skarthik,Lego77,0-1,B10,Caro-Kann Defense: Two Knights Attack
Lego77,instructor_Chess,1-0,D00,Queen's Pawn Game
Lego77,adelp,0-1,D00,Queen's Pawn Game
Lego77,paunburnn,1-0,A45,Indian Defense
Fox_city20,Lego77,0-1,B12,Caro-Kann Defense: Modern Variation
ShelbySL,Lego77,0-1,B13,Caro-Kann Defense: Exchange Variation
Lego77,Great-Maestro,1-0,D00,Queen's Pawn Game
Lego77,koryumskie,0-1,D00,Queen's Pawn Game
Deizou1,Lego77,0-1,D11,Slav Defense: Modern Line
Nato-gm,Lego77,0-1,B13,Caro-Kann Defense: Exchange Variation
Lego77,saedede,1-0,A40,Queen's Pawn Game
BradM123,Lego77,0-1,A40,Queen's Pawn Game
Lego77,salmaSo,1-0,A43,Benoni Defense: Old Benoni
joaohenriquer,Lego77,0-1,B12,"Caro-Kann Defense: Advance Variation, Prins Attack"
Lego77,Rusdin85,0-1,A00,Englund Gambit Declined: Reversed French
MaSh_0611,Lego77,1-0,B10,Caro-Kann Defense
Lego77,DmitriyLoginov,0-1,A00,Mieses
