Blancas,Negras,Result,ECO,Opening
MAESTRO1974,reypuesto,0-1,B00,St. George Defense
MAESTRO1974,p0k3rl0v3r94,0-1,-1,-1
MAESTRO1974,Eris_Ado,1-0,-1,-1
Ar-Ya,MAESTRO1974,0-1,-1,-1
MAESTRO1974,WalterKettle,0-1,B00,Pirc Defense
MAESTRO1974,BlackAero,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Luisa_chess,MAESTRO1974,0-1,C34,King's Gambit Accepted: MacLeod Defense
MAESTRO1974,Onorio99,0-1,-1,-1
MartinienK-G,MAESTRO1974,1-0,B00,King's Pawn
MAESTRO1974,Ivan041959,0-1,B28,"Sicilian Defense: O'Kelly Variation, Normal System, Zagorovsky Line"
MAESTRO1974,NACHO1960,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
MAESTRO1974,jackassmogali3,0-1,-1,-1
iaviantsoaa2,MAESTRO1974,1-0,-1,-1
MAESTRO1974,AbsolutelyPerfect,0-1,B32,Sicilian Defense: Open
MAESTRO1974,gregorovix,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
MAESTRO1974,Govind-Arun-CCS,0-1,-1,-1
rakeeshrmadnanni,MAESTRO1974,0-1,-1,-1
MAESTRO1974,B0st0nChess,0-1,B00,Barnes Defense
jlloret,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
SAHIN_GURAN56,MAESTRO1974,0-1,C23,Bishop's
MAESTRO1974,scu67,1-0,-1,-1
Snur,MAESTRO1974,1-0,-1,-1
MAESTRO1974,THE_BLACK_magic,0-1,B70,Sicilian Defense: Dragon Variation
pQ12,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,recapa,1-0,C50,Italian Game: Anti-Fried Liver Defense
StonewallerLu,MAESTRO1974,1-0,A45,Indian Defense
Butsha05,MAESTRO1974,0-1,C25,Vienna Game: Anderssen Defense
MAESTRO1974,Kaan4859,0-1,B10,Caro-Kann Defense
tondadaniel,MAESTRO1974,1-0,C46,Three Knights
MAESTRO1974,marin8542,0-1,C02,"French Defense: Advance Variation, Nimzowitsch System"
MAESTRO1974,SKHietzing,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
Tycobb64,MAESTRO1974,0-1,D04,Queen's Pawn Game: Colle System
MAESTRO1974,yufsa,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
serish,MAESTRO1974,0-1,-1,-1
MAESTRO1974,chessscientist,1/2-1/2,-1,-1
sarthoba,MAESTRO1974,0-1,-1,-1
MAESTRO1974,baris9562,1-0,B06,Modern Defense
MAESTRO1974,endruologist,1-0,B08,Pirc Defense: Classical Variation
sergioK3,MAESTRO1974,1-0,C62,Ruy Lopez: Steinitz Defense
LarissaCR,MAESTRO1974,0-1,C62,Ruy Lopez: Steinitz Defense
OsamaAbdo,MAESTRO1974,0-1,C25,Vienna Game: Anderssen Defense
MAESTRO1974,PAULO38,0-1,C50,Giuoco Piano
MAESTRO1974,ferupe,0-1,B01,Scandinavian Defense
Zenisson,MAESTRO1974,0-1,A20,English : King's English Variation
MAESTRO1974,semplicejack,0-1,-1,-1
MAESTRO1974,faruka,1-0,B50,Sicilian Defense: Modern Variations
MAESTRO1974,Mashiaj,0-1,C40,Latvian Gambit Accepted
MAESTRO1974,loger12,1-0,B40,"Sicilian Defense: French Variation, Open"
frejus05,MAESTRO1974,0-1,A00,Kdas
GfGORCHS,MAESTRO1974,1-0,A04,Zukertort : Black Mustang Defense
MAESTRO1974,yillong,0-1,B42,"Sicilian Defense: Kan Variation, Modern Variation"
lateknightpawn,MAESTRO1974,0-1,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
Malatji,MAESTRO1974,0-1,C36,King's Gambit Accepted: Modern Defense
MAESTRO1974,Nrmodi786,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
abborn91,MAESTRO1974,0-1,C34,King's Gambit Accepted: Fischer Defense
MAESTRO1974,Vit0-Br,1-0,C41,Philidor Defense
MAESTRO1974,SantiagoES,0-1,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
roger_300656-A,MAESTRO1974,0-1,C21,Danish Gambit Accepted
MAESTRO1974,felnix,0-1,B06,Modern Defense
bmcnulty908,MAESTRO1974,0-1,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,Aziz_Al_Ghozali,0-1,B32,Sicilian Defense: Open
yedrellow,MAESTRO1974,0-1,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
MAESTRO1974,Kadrichess,0-1,B01,Scandinavian Defense
CJF101,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,JDavid666,1-0,C50,Italian Game: Giuoco Pianissimo
MAESTRO1974,olgaassar2,0-1,C50,Italian Game: Schilling-Kostic Gambit
salcam17,MAESTRO1974,0-1,D02,Queen's Pawn Game: London System
MAESTRO1974,Eissner,0-1,C64,Ruy Lopez: Classical Variation
asl20,MAESTRO1974,1-0,C46,Three Knights
asteroidesubmarino,MAESTRO1974,1-0,B00,King's Pawn
MAESTRO1974,Taxono,1-0,B50,Sicilian Defense
Satrancci48,MAESTRO1974,1-0,C24,Bishop's : Vienna Hybrid
MAESTRO1974,ndias19,0-1,B10,Caro-Kann Defense
MAESTRO1974,YASHASVIBHAN,1-0,C50,Italian Game: Schilling-Kostic Gambit
Bluelightning15,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
hayham2006,MAESTRO1974,1-0,A45,Indian Defense
MAESTRO1974,jsabatke,0-1,B03,Alekhine Defense
MAESTRO1974,playbr,0-1,B10,Caro-Kann Defense
Alexsandr2esin,MAESTRO1974,0-1,C20,King's Pawn Game: Napoleon Attack
saidsaikotiko,MAESTRO1974,0-1,A22,"English : King's English Variation, Two Knights Variation, Reversed Dragon"
MAESTRO1974,ixthebestt,1-0,B10,Caro-Kann Defense
MarVAEY,MAESTRO1974,0-1,A00,Van't Kruijs
MAESTRO1974,mohamedelsh7rry,0-1,B01,"Scandinavian Defense: Main Line, Mieses Variation"
carbler,MAESTRO1974,1-0,C61,Ruy Lopez: Bird Variation
MAESTRO1974,RDShrivastava,0-1,B10,Caro-Kann Defense
SimonGWoerden,MAESTRO1974,1-0,B00,King's Pawn Game: Nimzowitsch Defense
MAESTRO1974,Gutes,0-1,C41,Philidor Defense
Toledanoribaroja,MAESTRO1974,1-0,C50,Italian Game: Schilling-Kostic Gambit
MAESTRO1974,wadie2002,0-1,C50,Italian Game: Giuoco Pianissimo
Alfredo2482,MAESTRO1974,0-1,A45,Trompowsky Attack
MAESTRO1974,Orguim,1/2-1/2,B20,Sicilian Defense: Bowdler Attack
E3-ED-81-D2,MAESTRO1974,0-1,C61,Ruy Lopez: Bird Variation
MAESTRO1974,yenar64,0-1,C50,Italian Game: Giuoco Pianissimo
sella,MAESTRO1974,0-1,C34,King's Gambit Accepted: MacLeod Defense
MAESTRO1974,Schnarchi,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
MAESTRO1974,alfilnegro-c,1-0,C50,Italian Game: Hungarian Defense
trivial_pursuit,MAESTRO1974,1-0,C34,King's Gambit Accepted: Fischer Defense
MAESTRO1974,FabrizioMoreira,1-0,B32,Sicilian Defense: Accelerated Dragon
orolf971,MAESTRO1974,1-0,A04,Zukertort
MAESTRO1974,proninov,1-0,-1,-1
China12_BA,MAESTRO1974,0-1,-1,-1
Ribochok,MAESTRO1974,1-0,D03,Queen's Pawn Game: Torre Attack
