Blancas,Negras,Result,ECO,Opening
Monchosky,Herli777,1-0,C42,Russian Game: Three Knights Game
manico45,Monchosky,0-1,E70,King's Indian Defense: Normal Variation
Monchosky,Musab_AbdulRAhMAN,0-1,B00,Pirc Defense
tdgs,Monchosky,1-0,E62,"King's Indian Defense: Fianchetto Variation, Larsen Defense"
PePPrisco,Monchosky,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
Monchosky,Vi_se,1-0,B07,Pirc Defense
ashu_1210,Monchosky,1-0,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
Monchosky,GutshotJimmy,0-1,B14,Caro-Kann Defense: Panov Attack
Monchosky,vlcm,0-1,B32,Sicilian Defense: Open
horst_ruebe,Monchosky,1-0,A48,London System
Monchosky,AbhishekSingh1,0-1,C43,"Russian Game: Modern Attack, Symmetrical Variation"
mastahroy01,Monchosky,0-1,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
Monchosky,uvor,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
eydivandimahmood,Monchosky,1-0,C00,French Defense
Monchosky,n4rziss,1-0,C42,Russian Game: Italian Variation
NLH-Abhishek,Monchosky,0-1,C00,French Defense: Knight Variation
Monchosky,milokhin,1/2-1/2,B12,"Caro-Kann Defense: Advance Variation, Bayonet Attack"
volovik,Monchosky,1-0,C00,French Defense: Knight Variation
Monchosky,OZORA-MEO,1-0,C41,Philidor Defense
popovskid,Monchosky,0-1,C00,French Defense: King's Indian Attack
moham46,Monchosky,1-0,A45,Indian Defense
Monchosky,Frankosky,1-0,C55,"Italian Game: Two Knights Defense, Open Variation"
Monchosky,pheizer,1-0,C00,Rat Defense: Small Center Defense
Monchosky,Ripiste,1-0,C41,Philidor Defense: Hanham Variation
GoodUmpire,Monchosky,0-1,A48,East Indian Defense
Monchosky,jeetu2022,1-0,B03,Alekhine Defense
veachek,Monchosky,0-1,A00,Saragossa
Monchosky,mahoorzan6364,1-0,B01,Scandinavian Defense
Tjsavi,Monchosky,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
aliakbari2020,Monchosky,1-0,C00,French Defense: La Bourdonnais Variation
Monchosky,gbltyree,0-1,B01,Scandinavian Defense
Monchosky,andrewilin,1-0,B00,Pirc Defense
Monchosky,FIDELIO9,0-1,B00,"Nimzowitsch Defense: Scandinavian Variation, Advance Variation"
FIDELIO9,Monchosky,0-1,C02,French Defense: Advance Variation
Monchosky,moroti,1-0,C44,Scotch Game: Scotch Gambit
uweleo,Monchosky,1-0,C01,French Defense: Exchange Variation
Kondybovich,Monchosky,1-0,D94,"Grnfeld Defense: Three Knights Variation, Burille Variation"
Abo_taleen,Monchosky,1-0,C01,French Defense: Exchange Variation
Monchosky,thescientistt,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
Monchosky,UM28,1-0,C44,Scotch Game: Scotch Gambit
Monchosky,stevenbag,1-0,C44,Scotch Game: Scotch Gambit
Kaspablanca69,Monchosky,0-1,A04,Zukertort : Queen's Gambit Invitation
EdLaro,Monchosky,1-0,C00,French Defense: Knight Variation
sinaceritoglu,Monchosky,1-0,C02,"French Defense: Advance Variation, Nimzowitsch System"
Eduarss23,Monchosky,1-0,A45,Indian Defense
Monchosky,Roneilson_Alves,0-1,C44,"Scotch Game: Scotch Gambit, Advance Variation"
Monchosky,principe007,1-0,B12,Caro-Kann Defense
Monchosky,crisruschel,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
Monchosky,Kamrah,0-1,C44,Scotch Game
kasmot,Monchosky,1-0,C00,French Defense: King's Indian Attack
Monchosky,NorseRider,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation"
manuzouk,Monchosky,0-1,C11,"French Defense: Classical Variation, Swiss Variation"
TealHippo,Monchosky,0-1,C02,French Defense: Advance Variation
fiko054,Monchosky,0-1,D80,Grnfeld Defense
Monchosky,Basman2104,0-1,C44,Scotch Game
Monchosky,wolwer,1-0,C02,"French Defense: Advance Variation, Main Line"
ManuelDE,Monchosky,1-0,C00,French Defense: Knight Variation
mcfir3,Monchosky,1-0,C00,French Defense: Knight Variation
Monchosky,anilicool,1-0,B50,"Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order"
Monchosky,noxy1991,0-1,C41,Philidor Defense
Monchosky,lord_habibobek,1-0,C44,Scotch Game
manuelmlb,Monchosky,0-1,C02,French Defense: Advance Variation
M3m3St3r,Monchosky,0-1,A48,London System
OlzhasUalikhanov,Monchosky,1-0,D94,Grnfeld Defense: Smyslov Defense
Monchosky,restrepocarlose,1-0,C00,Queen's Pawn Game: Franco-Sicilian Defense
Monchosky,IrohAzulon,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
IrohAzulon,Monchosky,0-1,E70,King's Indian Defense: Normal Variation
Ccarlos1985,Monchosky,1-0,C00,"French Defense: La Bourdonnais Variation, Reuter Gambit"
Monchosky,tallllllll,0-1,B00,Pirc Defense
Monchosky,sebestia543,1-0,B06,Modern Defense: Three Pawns Attack
Monchosky,Petelarge,1-0,C43,Bishop's : Urusov Gambit
