Blancas,Negras,Result,ECO,Opening
DrBoki,Ramonzambrano,1-0,E73,King's Indian Defense: Semi-Averbakh System
poker21,Ramonzambrano,0-1,C44,"Scotch Game: Scotch Gambit, Advance Variation"
AdamantiumSpiderman,Ramonzambrano,0-1,E75,"King's Indian Defense: Averbakh Variation, Main Line"
Ramonzambrano,goodvibez,1-0,D31,Semi-Slav Defense: Noteboom Variation
Ramonzambrano,TV-Song,1-0,D37,"Queen's Gambit Declined: Harrwitz Attack, Two Knights Defense, Blockade Line"
Ramonzambrano,Bogdaaann,1-0,A57,Benko Gambit: Zaitsev System
ALEXIN65,Ramonzambrano,0-1,C60,Ruy Lopez: Cozio Defense
Ramonzambrano,YeahWellDatIs,0-1,A52,"Indian Defense: Budapest Defense, Alekhine Variation, Abonyi Variation"
Ischbinsecurity,Ramonzambrano,1-0,E90,King's Indian Defense: Larsen Variation
Ramonzambrano,HermesTheKing2002Bol,1-0,D15,Slav Defense: Three Knights Variation
Ramonzambrano,StudyKeyser,1-0,D11,Slav Defense: Modern Line
StudyKeyser,Ramonzambrano,0-1,C56,"Italian Game: Scotch Gambit, Anderssen Attack"
Ramonzambrano,Intergalactic,1-0,A57,Benko Gambit: Zaitsev System
bobolito,Ramonzambrano,1-0,A49,Indian Defense: Przepiorka Variation
y2152002,Ramonzambrano,1-0,A01,Nimzo-Larsen Attack: Indian Variation
Tellerwascher,Ramonzambrano,0-1,E98,"King's Indian Defense: Orthodox Variation, Classical System"
Ramonzambrano,doctor_arsen,0-1,A40,English Defense
limaster2000,Ramonzambrano,1/2-1/2,C59,"Italian Game: Two Knights Defense, Polerio Defense, Suhle Defense"
Ramonzambrano,MrLazenby,1-0,A51,"Indian Defense: Budapest Defense, Fajarowicz Variation"
Ramonzambrano,gothmog54,0-1,A42,Modern Defense: Averbakh System
Forest_Barbarian,Ramonzambrano,0-1,A45,Indian Defense: Omega Gambit
Ramonzambrano,vmguerra,1-0,D08,"Queen's Gambit Declined: Albin Countergambit, Normal Line"
ABCajedrez,Ramonzambrano,0-1,D00,Queen's Pawn Game: Stonewall Attack
messiah_of_chess,Ramonzambrano,1-0,C56,"Italian Game: Scotch Gambit, Nakhmanson Gambit"
Ramonzambrano,leandrojj13,1-0,D37,Queen's Gambit Declined: Vienna Variation
abdullah-baniyasin20,Ramonzambrano,1/2-1/2,A45,Indian Defense
Ramonzambrano,akmenadimir,0-1,D24,Queen's Gambit Accepted: Showalter Variation
Ramonzambrano,sparta2005,0-1,D80,Grnfeld Defense: Stockholm Variation
Apsarasas,Ramonzambrano,0-1,E70,King's Indian Defense: Accelerated Averbakh Variation
Coach2020USA,Ramonzambrano,0-1,A48,London System
Ramonzambrano,mariomarshall,0-1,E76,"King's Indian Defense: Four Pawns Attack, Dynamic Attack"
Ramonzambrano,Ischbinsecurity,1-0,D45,"Semi-Slav Defense: Stoltz Variation, Shabalov Attack"
MadMaxPayne26,Ramonzambrano,1-0,E93,"King's Indian Defense: Petrosian Variation, Normal Defense"
rojogrob,Ramonzambrano,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Ramonzambrano,belloid,0-1,A52,"Indian Defense: Budapest Defense, Alekhine Variation"
Ramonzambrano,Karlov111,0-1,A42,Modern Defense: Kotov Variation
Ramonzambrano,BE9000,0-1,E24,"Nimzo-Indian Defense: Smisch Variation, Accelerated"
Parsk,Ramonzambrano,1-0,A45,Indian Defense
Larifari1,Ramonzambrano,1-0,C60,Ruy Lopez: Cozio Defense
Ramonzambrano,zokapenzioner,1-0,A57,"Benko Gambit: Zaitsev Variation, Nescafe Frappe Attack"
Ramonzambrano,ayvalik10,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
chepukaitis1966,Ramonzambrano,0-1,B09,Pirc Defense: Austrian Attack
academiabrxadrez,Ramonzambrano,1/2-1/2,A05,Zukertort : Nimzo-Larsen Variation
chesspyrate,Ramonzambrano,0-1,E75,"King's Indian Defense: Averbakh Variation, Main Line"
Ramonzambrano,chesspyrate,1-0,E26,Nimzo-Indian Defense: Smisch Variation
Ramonzambrano,C3PO58,0-1,D37,Queen's Gambit Declined: Vienna Variation
Havatiah,Ramonzambrano,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal"
Wittgensein,Ramonzambrano,0-1,A45,Trompowsky Attack
progamer777,Ramonzambrano,1-0,C47,Four Knights Game
Ramonzambrano,lignito,1-0,E91,King's Indian Defense: Orthodox Variation
Ramonzambrano,Portdawg,0-1,A50,Queen's Indian Accelerated
Ramonzambrano,barfco,1-0,D15,Slav Defense: Three Knights Variation
yeminimVar,Ramonzambrano,0-1,C45,Scotch Game: Modern Defense
Ramonzambrano,CHE55ROCK,0-1,A56,Benoni Defense
Ariel-Marks,Ramonzambrano,0-1,C60,Ruy Lopez: Cozio Defense
Ramonzambrano,EKolesnikBLR,1-0,D07,"Queen's Gambit Declined: Chigorin Defense, Lazard Gambit"
Ramonzambrano,forson66,0-1,A40,Queen's Pawn Game: Anglo-Slav
forson66,Ramonzambrano,0-1,A00,Gedult's
Ramonzambrano,carrot05,0-1,D80,Grnfeld Defense: Stockholm Variation
