Blancas,Negras,Result,ECO,Opening
Rirr2020,DrPennywise,0-1,-1,-1
Rirr2020,jUsTin390,0-1,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
vv1987,Rirr2020,0-1,B52,"Sicilian Defense: Canal Attack, Main Line"
Rirr2020,Carrerojilmer,0-1,-1,-1
Vickaar,Rirr2020,1-0,B00,King's Pawn
Rirr2020,carlos908,0-1,B32,Sicilian Defense: Open
sergiogelati,Rirr2020,1-0,A10,English
Rirr2020,strok10,1-0,B00,King's Pawn
Rirr2020,Diegoexequiel87,1-0,C20,King's Pawn Game: Napoleon Attack
Rirr2020,kamikase47,0-1,B01,Scandinavian Defense
Sari_Valle,Rirr2020,0-1,A01,Nimzo-Larsen Attack
Rirr2020,Toto_barca,0-1,C44,Scotch Game
marcossud185,Rirr2020,0-1,B00,Nimzowitsch Defense
TomiRod,Rirr2020,1-0,-1,-1
Kid_NAP,Rirr2020,1-0,A43,Benoni Defense: Old Benoni
Rirr2020,The_whip,0-1,B01,Scandinavian Defense: Modern Variation
ivanmans,Rirr2020,1-0,A04,Zukertort : Sicilian Invitation
Rirr2020,SlimWilliam,0-1,C44,Latvian Gambit: Clam Gambit
melvinm,Rirr2020,0-1,A00,Van't Kruijs
Rirr2020,stanley-kubrick,1-0,C41,Philidor Defense: Exchange Variation
Rirr2020,hugost,1-0,A06,Zukertort : Tennison Gambit
kartik2323,Rirr2020,1-0,B50,Sicilian Defense: Delayed Alapin
Rirr2020,Djaison,1-0,B10,Caro-Kann Defense
Rirr2020,MarcinBaaaj,1-0,B33,Sicilian Defense: Open
tan080600,Rirr2020,0-1,A01,Nimzo-Larsen Attack: Symmetrical Variation
Rirr2020,Rolle57,0-1,C44,Scotch Game
princepeNamor,Rirr2020,1-0,B21,Sicilian Defense: Smith-Morra Gambit
chloearia,Rirr2020,1-0,A43,Benoni Defense: Old Benoni
Rirr2020,danger23,0-1,B32,Sicilian Defense: Open
dshafe,Rirr2020,1-0,A43,Benoni Defense: Benoni Gambit Accepted
mtthwjns,Rirr2020,0-1,A43,Benoni Defense: Old Benoni
Rirr2020,Ctenophora_Cnidaria,0-1,C44,Scotch Game
Rirr2020,Ss_77,0-1,C00,French Defense: Knight Variation
Rirr2020,BatSoup19,1/2-1/2,C45,Scotch Game
Rirr2020,lobo03,1-0,C00,French Defense: Knight Variation
Nagibator2k17,Rirr2020,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation"
Abdullrahman17,Rirr2020,1-0,A40,English Defense
Rirr2020,kabuyeshack,1-0,B54,"Sicilian Defense: Modern Variations, Main Line"
EOblomoff,Rirr2020,1-0,B00,Owen Defense
Rirr2020,Bullen,0-1,C00,French Defense: Knight Variation
PartyZanIgoR,Rirr2020,0-1,A40,English Defense
Rirr2020,incognito2020,1-0,C41,Philidor Defense: Exchange Variation
Rirr2020,Taglancy10,1-0,C45,Scotch Game
OriPx85,Rirr2020,1-0,A10,English
Rirr2020,zuzammen,1-0,C45,Scotch Game
DR-ADO,Rirr2020,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Alapin Formation"
Yurri,Rirr2020,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Rirr2020,Chess_Noob800m,1-0,B06,Modern Defense
Rirr2020,Ednailton,1-0,B06,Modern Defense
ARD-999,Rirr2020,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Rirr2020,kratos82,1-0,C41,Philidor Defense: Nimzowitsch Variation
ehehehihihihi,Rirr2020,1-0,A00,Van't Kruijs
Rirr2020,cebollas66,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Rirr2020,jose-luis,0-1,B50,Sicilian Defense
jose-luis,Rirr2020,0-1,A00,Van't Kruijs
ford20,Rirr2020,1-0,A00,Van't Kruijs
Rirr2020,aswan22,0-1,B00,Owen Defense
Rirr2020,JorgePaez,0-1,B50,Sicilian Defense
Rirr2020,Slamchops,1-0,B70,Sicilian Defense: Dragon Variation
KarthIIIII,Rirr2020,0-1,A00,Hungarian : Sicilian Invitation
ElJuez,Rirr2020,0-1,B23,Sicilian Defense: Closed
loathableyetlovable,Rirr2020,0-1,B23,Sicilian Defense: Closed
Zehir10,Rirr2020,1-0,A01,Nimzo-Larsen Attack
Rirr2020,Zehir10,0-1,B06,Modern Defense
Zehir10,Rirr2020,1/2-1/2,A01,Nimzo-Larsen Attack
Rirr2020,Zehir10,1-0,B06,Modern Defense
Zehir10,Rirr2020,1-0,A01,Nimzo-Larsen Attack: Symmetrical Variation
Rirr2020,Zehir10,1-0,B06,Modern Defense
Rirr2020,Werneri,1-0,B00,Owen Defense: Smith Gambit
Rirr2020,Kenovski,0-1,C45,Scotch Game: Classical Variation
BF2000,Rirr2020,0-1,B23,Sicilian Defense: Closed
saivigneash,Rirr2020,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Rirr2020,servantofGOD001,1-0,A06,Zukertort : Tennison Gambit
Rirr2020,dajan2020,0-1,-1,-1
Hasonangan,Rirr2020,1-0,B00,King's Pawn
SidewaysPawn,Rirr2020,1-0,A00,Mieses
Rirr2020,patrick_m,0-1,B95,Sicilian Defense: Najdorf Variation
Rirr2020,analisador,0-1,B02,Alekhine Defense: Brooklyn Variation
Rirr2020,redzic,1-0,B01,Scandinavian Defense: Modern Variation
DR-ADO,Rirr2020,1-0,B54,"Sicilian Defense: Modern Variations, Main Line"
Merlins_Beard,Rirr2020,0-1,A40,English Defense
jindustyles,Rirr2020,0-1,B10,Caro-Kann Defense
Rirr2020,planka_DOC,0-1,C00,French Defense: Knight Variation
SamuelWisse,Rirr2020,1-0,B00,Owen Defense
Rirr2020,absyer-bihi,0-1,B27,Sicilian Defense: Hyperaccelerated Pterodactyl
tihony,Rirr2020,0-1,B50,"Sicilian Defense: Modern Variations, Tartakower"
Reimago,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
Rirr2020,bishnoi_bishop,0-1,C42,"Russian Game: Cochrane Gambit, Center Variation"
Rirr2020,nshegunov,1-0,B06,Modern Defense
DudarIgor,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
Rirr2020,SeNiKom,0-1,B10,Caro-Kann Defense
AndrejNomad,Rirr2020,0-1,A00,Van't Kruijs
Lijo12345,Rirr2020,1-0,B00,King's Pawn
Rirr2020,Amor54,0-1,B40,Sicilian Defense: Four Knights Variation
Rirr2020,A99Z,0-1,C41,Philidor Defense: Exchange Variation
Rirr2020,orionmite,1-0,B27,Sicilian Defense
yyghch,Rirr2020,1-0,A10,English
Rirr2020,R_Slisarenko,1-0,C45,Scotch Game
ANATOLYMAXIMOV,Rirr2020,0-1,A00,Mieses
PerfectKhan,Rirr2020,0-1,A01,Nimzo-Larsen Attack: Symmetrical Variation
vociferous,Rirr2020,1-0,B20,Sicilian Defense: Snyder Variation
Rirr2020,tarnival,1-0,B46,Sicilian Defense: Taimanov Variation
prasanth369,Rirr2020,1-0,B23,Sicilian Defense: Closed
tayknoureddine896,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
Rirr2020,tough_defender,0-1,A06,Zukertort : Tennison Gambit
RicBlase,Rirr2020,0-1,A43,Benoni Defense: Old Benoni
Rirr2020,MYusufGlc,1-0,C43,Russian Game: Modern Attack
Rirr2020,BishopKnight88,1-0,C40,Latvian Gambit: Mason Countergambit
Ujang_Kecot,Rirr2020,1-0,B90,Sicilian Defense: Najdorf Variation
Rirr2020,trynnamate,1-0,B40,"Sicilian Defense: French Variation, Open"
jfmechecs,Rirr2020,0-1,B20,Sicilian Defense: Bowdler Attack
Rirr2020,Enehthomas,1-0,C00,French Defense: Knight Variation
Rirr2020,Asosins333,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Rirr2020,prshntprw,0-1,C42,Russian Game: Three Knights Game
abhishekkarn007,Rirr2020,0-1,B95,Sicilian Defense: Najdorf Variation
Rirr2020,MisterPawn01,1-0,B33,Sicilian Defense: Lasker-Pelikan Variation
jaqueraul,Rirr2020,1-0,B20,Sicilian Defense: Staunton-Cochrane Variation
Rirr2020,theimeto,0-1,C45,Scotch Game: Classical Variation
Noel_Lucenio_0708,Rirr2020,0-1,A40,English Defense
pyatkovsky,Rirr2020,1-0,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Rirr2020,bengio,1-0,C44,Scotch Game
Rirr2020,Raha_Jalpaiguri,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Xzaar,Rirr2020,0-1,A40,English Defense
nilondon777,Rirr2020,0-1,A04,Zukertort : Queenside Fianchetto Variation
Rirr2020,jasonparas,0-1,B32,Sicilian Defense: Lwenthal Variation
Rirr2020,powersplay,1-0,B10,Caro-Kann Defense
Stephansss,Rirr2020,1-0,A04,Zukertort : Sicilian Invitation
Soorajsk,Rirr2020,1-0,B90,Sicilian Defense: Najdorf Variation
fabulous-advantage,Rirr2020,1-0,A34,"English : Symmetrical Variation, Normal Variation"
Rirr2020,Alphastein,0-1,C45,Scotch Game: Schmidt Variation
GianfrancoVice,Rirr2020,1-0,A43,Benoni Defense: Old Benoni
Rirr2020,fh1,1-0,A06,Zukertort : Tennison Gambit
Rirr2020,bohi,0-1,C02,French Defense: Advance Variation
Nicolas1989Hold,Rirr2020,1-0,A43,Benoni Defense: Benoni Gambit Accepted
Rirr2020,lourd00,1-0,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
starapisen,Rirr2020,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
pops70,Rirr2020,0-1,B95,Sicilian Defense: Najdorf Variation
Rirr2020,TheJWIlde,0-1,B32,Sicilian Defense: Franco-Sicilian Variation
Rirr2020,martinbigi,1-0,C45,Scotch Game
LuzinP,Rirr2020,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense"
martinbigi,Rirr2020,0-1,B50,Sicilian Defense: Modern Variations
Rirr2020,perkepon,1-0,A06,Zukertort : Tennison Gambit
Ganimede_77,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
sabermostafa,Rirr2020,1-0,B20,Sicilian Defense: Bowdler Attack
Rirr2020,samakos,0-1,-1,-1
Rirr2020,principiante333,1-0,C62,Ruy Lopez: Steinitz Defense
saltik,Rirr2020,1-0,A00,Saragossa
kilerwieza,Rirr2020,1-0,B50,Sicilian Defense
Rirr2020,nikosi9,0-1,B10,Caro-Kann Defense
UmmEd,Rirr2020,1-0,A00,Van't Kruijs
Rirr2020,SUBHOLANGO1,1-0,B10,Caro-Kann Defense
Rirr2020,fanboy1,1-0,B10,Caro-Kann Defense
Davidateca,Rirr2020,1-0,A00,Polish
Carlos_Jose_Mendoza,Rirr2020,1-0,B98,Sicilian Defense: Najdorf Variation
Rirr2020,j0rk0,1-0,C45,Scotch Game
hugosango,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
Rirr2020,juandiaz11,0-1,C45,Scotch Game: Modern Defense
Rirr2020,PAULMAR,0-1,C00,French Defense: Knight Variation
pebles027,Rirr2020,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Rirr2020,gvgual,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Eduardoluisgm,Rirr2020,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
dubier2062002,Rirr2020,1-0,B50,Sicilian Defense: Modern Variations
