Blancas,Negras,Result,ECO,Opening
Rjpc,SonicShaman,0-1,B00,Pirc Defense
hidermahmoud,Rjpc,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
Rjpc,Lundmerlin,0-1,C46,Three Knights
KAMPPI,Rjpc,1-0,B50,Sicilian Defense: Modern Variations
ZachariahSutton,Rjpc,1-0,B50,Sicilian Defense: Delayed Alapin
Rjpc,Springklinge,1-0,B10,Caro-Kann Defense
Sangredehielo,Rjpc,0-1,B70,Sicilian Defense: Dragon Variation
morgadog,Rjpc,1-0,A43,Benoni Defense: Benoni Gambit Accepted
Rjpc,rogeltigre,0-1,A02,Bird
angeljavier,Rjpc,0-1,B20,Sicilian Defense: Bowdler Attack
garciajosealexander,Rjpc,1-0,B00,King's Pawn
Rjpc,The_Matrix_Chess,1-0,B00,King's Pawn
KingChessPro,Rjpc,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack"
Rjpc,Fullnomar,0-1,B00,Pirc Defense
JAimeSandoval,Rjpc,1-0,B23,Sicilian Defense: Closed
Rjpc,Ulices_Moreno,1-0,B30,Sicilian Defense: Old Sicilian
moiseslopez,Rjpc,1-0,A56,Benoni Defense: Hromdka System
Rjpc,hanierlopez,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Rjpc,Ulices_Moreno,1-0,B30,Sicilian Defense: Old Sicilian
zenemij96,Rjpc,0-1,B20,Sicilian Defense: Bowdler Attack
Rjpc,Ulices_Moreno,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Retreat Variation"
Kervin_Nelo,Rjpc,1-0,A40,Queen's Pawn Game
Rjpc,douglasabreu,0-1,C49,Four Knights Game: Double Spanish
Rjpc,Ramonzambrano,0-1,C48,Four Knights Game: Spanish Variation
guadajg,Rjpc,1-0,B50,"Sicilian Defense: Modern Variations, Tartakower"
lisyender,Rjpc,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Rjpc,jeffren10,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Jose_Barreto,Rjpc,1-0,A56,Benoni Defense: Hromdka System
lisyender,Rjpc,0-1,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
Rjpc,Alan_Abreu,0-1,C48,Four Knights Game: Spanish Variation
Cacho22,Rjpc,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
Rjpc,lisyender,0-1,C49,Four Knights Game: Double Spanish
Rjpc,DanielBarreto,0-1,B95,Sicilian Defense: Najdorf Variation
moisesbastidas7822,Rjpc,0-1,A04,Zukertort : Sicilian Invitation
douglasabreu,Rjpc,1-0,B20,Sicilian Defense: Wing Gambit
Rjpc,Ramonzambrano,1-0,C48,Four Knights Game: Spanish Variation
Lego77,Rjpc,0-1,-1,-1
Rjpc,franblu,0-1,B95,Sicilian Defense: Najdorf Variation
lisyender,Rjpc,1-0,B00,King's Pawn Game: Nimzowitsch Defense
Rjpc,moisesbastidas7822,0-1,B13,Caro-Kann Defense: Exchange Variation
jeffren10,Rjpc,1-0,B53,Sicilian Defense: Chekhover Variation
Rjpc,guadajg,0-1,B56,Sicilian Defense: Classical Variation
Jose_Barreto,Rjpc,1-0,A01,Nimzo-Larsen Attack: English Variation
Rjpc,samuel22bastidas,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Ramonzambrano,Rjpc,1-0,A43,Benoni Defense: Old Benoni
Rjpc,franblu,0-1,B95,Sicilian Defense: Najdorf Variation
moisesbastidas7822,Rjpc,1-0,A04,Zukertort
Rjpc,DanielBarreto,0-1,B80,Sicilian Defense: Scheveningen Variation
Lego77,Rjpc,0-1,A43,Benoni Defense: Old Benoni
Rjpc,lisyender,0-1,C49,Four Knights Game: Double Spanish
Ramonzambrano,Rjpc,1-0,A43,Benoni Defense: Old Benoni
Rjpc,Jose_Barreto,1-0,B00,King's Pawn
Jesuspb,Rjpc,1-0,B00,King's Pawn
Rjpc,PisaniChess,1-0,C41,Philidor Defense
Alfredo2112m,Rjpc,1-0,B52,"Sicilian Defense: Canal Attack, Main Line"
Rjpc,CHESSROCKY,1-0,B27,Sicilian Defense
Wasdin1968,Rjpc,0-1,B70,Sicilian Defense: Dragon Variation
Rjpc,VenezuelanInNY,1/2-1/2,B60,"Sicilian Defense: Richter-Rauzer Variation, Modern Variation"
DjALMAS,Rjpc,1-0,A43,Benoni Defense: Benoni Gambit Accepted
Rjpc,satrianidiloreto,0-1,C01,French Defense: Exchange Variation
Koti_the_Indian,Rjpc,1-0,B21,Sicilian Defense: McDonnell Attack
Rjpc,may4black,0-1,-1,-1
PranjalBiswal,Rjpc,1-0,B50,Sicilian Defense: Modern Variations
Rjpc,prochess-44,0-1,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Rjpc,hasanahmad5178,0-1,C00,French Defense: Knight Variation
ssssssssss29012901,Rjpc,1-0,A56,Benoni Defense: Hromdka System
seskesici,Rjpc,1-0,A04,Zukertort : Sicilian Invitation
Rjpc,aamangeldiyev,1-0,A06,Zukertort : Tennison Gambit
Rjpc,Manukyan_Sargis,0-1,B00,Carr Defense
Gurbanov,Rjpc,1-0,B70,Sicilian Defense: Dragon Variation
Rjpc,cuerosky,0-1,C40,Elephant Gambit
Burhanudin,Rjpc,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
ThomaSsShelby,Rjpc,1-0,A43,Benoni Defense: Old Benoni
Rjpc,Maksat-94,0-1,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
kmilooo,Rjpc,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
