Blancas,Negras,Result,ECO,Opening
pegori,Romg12,1-0,B40,Sicilian Defense: French Variation
omid-2452,Romg12,1-0,D00,Queen's Pawn Game: Mason Variation
Romg12,BobbyFischer0324,0-1,C55,Italian Game: Two Knights Defense
reury,Romg12,1-0,B40,Sicilian Defense: Delayed Alapin Variation
Romg12,nashYK,1-0,C21,Danish Gambit
jophiel13,Romg12,0-1,B20,Sicilian Defense: Bowdler Attack
Romg12,rafeliarisaina,1-0,C00,French Defense: Queen's Knight
iyaguai,Romg12,0-1,D35,Queen's Gambit Declined: Normal Defense
Romg12,Grmblgrmbl,1-0,B00,Borg Defense
Romg12,PCorleone,0-1,A45,Indian Defense
PCorleone,Romg12,1-0,A01,Nimzo-Larsen Attack: Classical Variation
Romg12,PCorleone,0-1,A36,"English : Symmetrical Variation, Symmetrical Variation"
PCorleone,Romg12,0-1,A01,Nimzo-Larsen Attack: English Variation
Romg12,PCorleone,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
PCorleone,Romg12,0-1,A30,English : Symmetrical Variation
Romg12,turco00,0-1,B13,Caro-Kann Defense: Exchange Variation
Berserkx,Romg12,1/2-1/2,D15,Slav Defense: Three Knights Variation
Romg12,Soelis,1-0,B43,"Sicilian Defense: Kan Variation, Wing Attack"
Romg12,abayao,1-0,B50,Sicilian Defense: Modern Variations
Romg12,particleman,1-0,C00,French Defense: Schlechter Variation
Romg12,unaloon,0-1,B13,Caro-Kann Defense: Exchange Variation
jessicavr,Romg12,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
Romg12,Ozzychess,1-0,C63,Ruy Lopez: Schliemann Defense
arzun,Romg12,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Pendekar_Crbn_CSS,Romg12,0-1,B48,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Romg12,Taalibi,0-1,B20,Sicilian Defense: Bowdler Attack
Romg12,Cirilla-Riannon,0-1,C47,Four Knights Game: Italian Variation
DaddyDen135,Romg12,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Romg12,maikl_taunly,1-0,C00,French Defense: Schlechter Variation
maikl_taunly,Romg12,0-1,A01,Nimzo-Larsen Attack: English Variation
Chiterpro,Romg12,1-0,A30,English : Symmetrical Variation
Romg12,chesswithfelix,0-1,B01,Scandinavian Defense: Portuguese Variation
Romg12,mikindaone,1-0,C88,"Ruy Lopez: Closed, Anti-Marshall"
Parlandinchis,Romg12,1-0,B23,Sicilian Defense: Closed
ghonaime,Romg12,1/2-1/2,B23,Sicilian Defense: Closed
Romg12,ghonaime,0-1,B27,Sicilian Defense: Hyperaccelerated Dragon
Romg12,Admirov,0-1,B23,"Sicilian Defense: Closed, Traditional"
Romg12,ElRayyent,1-0,A13,English : Agincourt Defense
ElRayyent,Romg12,1-0,A00,Mieses
ghonaime,Romg12,0-1,B23,Sicilian Defense: Closed
Romg12,Jitra,1-0,B10,Caro-Kann Defense
skuwalaping,Romg12,1-0,D00,Queen's Pawn Game
Romg12,huseynasgar79,0-1,C01,French Defense: Exchange Variation
Romg12,carlos_magnusen,0-1,C68,"Ruy Lopez: Exchange Variation, Keres Variation"
H0M3R0,Romg12,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Romg12,Farnerud7,1-0,A11,English : Caro-Kann Defensive System
siddhantgrover,Romg12,0-1,A45,Indian Defense
Romg12,sw413,1-0,B23,"Sicilian Defense: Closed, Traditional"
Mario_Alexandre,Romg12,0-1,B44,Sicilian Defense: Taimanov Variation
Romg12,Schachsuchti64,0-1,C63,Ruy Lopez: Schliemann Defense
hussainy786,Romg12,0-1,D06,Queen's Gambit Declined: Marshall Defense
jalal20,Romg12,1-0,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
GermanRG,Romg12,1-0,D00,Queen's Pawn Game: Mason Variation
tonygjomemo,Romg12,1-0,B44,Sicilian Defense: Taimanov Variation
Romg12,zsoltcseszlai,1-0,B06,Modern Defense: Standard Defense
Romg12,jamerybates,0-1,A13,English : Agincourt Defense
Romg12,SergioT62,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, de Smet Gambit"
Jogi2o2o,Romg12,1-0,D02,Queen's Pawn Game: Zukertort Variation
Romg12,Jogi2o2o,0-1,D31,Semi-Slav Defense: Accelerated Move Order
Fide1827Maximo,Romg12,1-0,A43,Benoni Defense: Old Benoni
Varshko_O,Romg12,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Romg12,Haenrique,0-1,B54,"Sicilian Defense: Modern Variations, Main Line"
zaandong,Romg12,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
mpetrashev,Romg12,1-0,A02,Bird
Romg12,Blunout,0-1,B00,St. George Defense
Redcapa1963,Romg12,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Romg12,ASTAR77,1/2-1/2,C10,French Defense: Rubinstein Variation
nedimsivaz,Romg12,1/2-1/2,B46,Sicilian Defense: Taimanov Variation
Romg12,Persida,0-1,A10,English : Great Snake Variation
nedimsivaz,Romg12,0-1,D02,Queen's Pawn Game: Zukertort Variation
Romg12,AbdulhamitHan2,1-0,B01,Scandinavian Defense
SHIFTsalem,Romg12,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Stefanov7373,Romg12,1-0,D02,Queen's Pawn Game: Symmetrical Variation
Romg12,leontacna,1-0,C00,Rat Defense: Small Center Defense
digimoi2009,Romg12,1-0,A04,Zukertort : Sicilian Invitation
Romg12,sholathelion,1-0,A10,English : Jaenisch Gambit
Abrahamrv2020,Romg12,1-0,A08,King's Indian Attack: Sicilian Variation
Romg12,SHIFTsalem,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Romg12,kosciuk,1-0,A10,English : Anglo-Scandinavian Defense
isaacmonty,Romg12,0-1,A00,Hungarian : Sicilian Invitation
Romg12,juniorwestprog,1-0,B23,"Sicilian Defense: Closed, Traditional"
budel,Romg12,0-1,B46,Sicilian Defense: Taimanov Variation
Stoggi,Romg12,0-1,D02,Queen's Pawn Game: London System
Romg12,isaacmonty,0-1,-1,-1
Romg12,fhenix20,1-0,C21,Danish Gambit
Romg12,lf53,1-0,A03,Bird : Dutch Variation
mingoplus,Romg12,0-1,B40,Sicilian Defense: French Variation
Gabriel2800,Romg12,1-0,D53,Queen's Gambit Declined
Romg12,kosciuk,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Infinite-Warrior,Romg12,0-1,A04,Zukertort : Sicilian Invitation
Ishiwaki,Romg12,1-0,B22,Sicilian Defense: Alapin Variation
Romg12,Ishiwaki,1-0,C00,French Defense: Schlechter Variation
kosamu83,Romg12,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Romg12,BeGentleWithMyQueen,1-0,A00,Hungarian : Sicilian Invitation
Romg12,Mhaid,1-0,A00,Van't Kruijs
Romg12,FelixRD_0996,1-0,A11,English : Caro-Kann Defensive System
style123,Romg12,0-1,D24,Queen's Gambit Accepted: Showalter Variation
AdarshSingh1234,Romg12,1-0,A43,Benoni Defense: Old Benoni
Romg12,bekkkk,0-1,A11,English : Caro-Kann Defensive System
pizduck1,Romg12,0-1,B40,Sicilian Defense: French Variation
Derem78,Romg12,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Romg12,hasani1364,0-1,A10,English : Anglo-Scandinavian Defense
bestsalut_com,Romg12,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
Romg12,burns88,0-1,A13,English : Agincourt Defense
KWIN_RAV111,Romg12,0-1,A01,Nimzo-Larsen Attack: Classical Variation
ibroDonki,Romg12,0-1,B40,"Sicilian Defense: French Variation, Open"
Romg12,bekheit1,1-0,A10,English : Anglo-Lithuanian Variation
Nara_32,Romg12,0-1,A43,Benoni Defense: Old Benoni
Romg12,pensadorlatino,1-0,D00,Queen's Pawn Game
Romg12,Greatest_Mastermind,1/2-1/2,B00,Nimzowitsch Defense: Kennedy Variation
Trader9703,Romg12,1-0,D03,Queen's Pawn Game: Torre Attack
Romg12,Check_Your_Mate,0-1,C65,Ruy Lopez: Berlin Defense
LeonidSmirnov,Romg12,1-0,B21,Sicilian Defense: McDonnell Attack
Romg12,D0n0RL,1-0,C21,Danish Gambit
AR9479,Romg12,0-1,C00,Sicilian Defense: Drazic Variation
Romg12,tronixpms,1-0,C40,Gunderam Defense
Romg12,ARD-999,0-1,C00,French Defense
Santeraspa,Romg12,1/2-1/2,B23,Sicilian Defense: Closed
Romg12,weibfb,1-0,B00,Duras Gambit
Romg12,thefirst11,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
ogmygodness,Romg12,0-1,D02,Queen's Pawn Game: Zukertort Variation
A-Zaini234,Romg12,1-0,B41,Sicilian Defense: Kan Variation
Romg12,Raul67,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Raul67,Romg12,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
Romg12,Test_player,0-1,B00,Pirc Defense
Nikola623748,Romg12,1-0,D43,Semi-Slav Defense
Romg12,Meheril,0-1,A21,"English : King's English Variation, Reversed Sicilian"
Romg12,MAMAYOQUIERO,0-1,A00,Hungarian
pepe1993,Romg12,0-1,D11,Slav Defense: Modern Line
Romg12,Ex_El_Ye,0-1,B20,Sicilian Defense: Lasker-Dunne Attack
aastha334,Romg12,0-1,D02,Queen's Pawn Game: Zukertort Variation
Romg12,Chess-Lotos,1-0,A10,English
Romg12,klamnik07,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Ex_El_Ye,Romg12,1-0,D10,Slav Defense: Exchange Variation
Romg12,furrrr,0-1,C20,King's Pawn Game: Leonardis Variation
Romg12,lfb00,0-1,B23,"Sicilian Defense: Closed, Traditional"
kosamu83,Romg12,0-1,B46,Sicilian Defense: Taimanov Variation
alcatraz1017,Romg12,0-1,D00,Queen's Pawn Game: Mason Variation
Romg12,Mauricio_PF,0-1,B00,Rat Defense: Harmonist
johnnyfroaction,Romg12,0-1,A01,Nimzo-Larsen Attack: English Variation
Romg12,karlsenentotre,1-0,E61,King's Indian Defense
Romg12,peluncur05,0-1,B01,Scandinavian Defense: Modern Variation
Romg12,PlayMateKate,0-1,B21,Sicilian Defense: Smith-Morra Gambit
Makima45,Romg12,1-0,A08,King's Indian Attack: Sicilian Variation
NinoBP11,Romg12,1-0,B41,Sicilian Defense: Kan Variation
huseinnasser991,Romg12,1-0,B00,King's Pawn
Romg12,BassemAoun-13,0-1,B13,Caro-Kann Defense: Exchange Variation
Romg12,Schokolino,0-1,A10,English : Anglo-Scandinavian Defense
tinaseh18,Romg12,0-1,A30,English : Symmetrical Variation
Romg12,Test14041998,1-0,A00,Saragossa
Romg12,VSKP111,1-0,C62,Ruy Lopez: Steinitz Defense
tukau,Romg12,1-0,B21,Sicilian Defense: McDonnell Attack
Romg12,tukau,1-0,B12,Caro-Kann Defense
kaissaridet,Romg12,0-1,D02,Queen's Pawn Game: Zukertort Variation
Romg12,timlea50,1/2-1/2,C21,Danish Gambit
Romg12,BhaktiGD_PCTR,0-1,A13,English : Agincourt Defense
odranelc,Romg12,0-1,A30,English : Symmetrical Variation
Romg12,P3TRUK_OPG,0-1,A00,Hungarian : Indian Defense
Swarnendu,Romg12,1-0,C30,King's Gambit Declined: Queen's Knight Defense
VirtualFox,Romg12,0-1,D10,Slav Defense: Exchange Variation
Romg12,PebbleBike,1-0,C20,King's Pawn Game: Napoleon Attack
DKTrader,Romg12,0-1,A04,Zukertort : Sicilian Invitation
Romg12,walkmitch,0-1,A10,English : Anglo-Scandinavian Defense
Romg12,Yoniboster,1-0,A34,"English : Symmetrical Variation, Normal Variation"
Romg12,vichesss,0-1,B06,Modern Defense: Standard Defense
Romg12,desflorador,1-0,C44,Scotch Game
ivaldonsk,Romg12,0-1,B23,Sicilian Defense: Closed
DeerLakeTiger69,Romg12,1-0,A45,Indian Defense
bojanveber,Romg12,1-0,B23,Sicilian Defense: Closed
Romg12,Antonio_Butch,0-1,A10,English : Anglo-Scandinavian Defense
Romg12,vodkoley,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Romg12,Kawiri,0-1,B00,Pirc Defense
Romg12,NOSMAS_REV0523,1-0,C20,King's Pawn Game: Leonardis Variation
badarman,Romg12,0-1,C47,Four Knights Game: Scotch Variation Accepted
