Blancas,Negras,Result,ECO,Opening
artemato,Ronald_Linares02,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
Ronald_Linares02,oquintana007,1-0,B00,King's Pawn
Konon_Varvar,Ronald_Linares02,1-0,A01,Nimzo-Larsen Attack
Ronald_Linares02,leontacna,0-1,B00,Pirc Defense
lazzaretti,Ronald_Linares02,1-0,A13,English : Agincourt Defense
Ronald_Linares02,antonielson,0-1,C44,"Scotch Game: Scotch Gambit, Advance Variation"
Straubing97,Ronald_Linares02,1-0,A01,Nimzo-Larsen Attack
Ronald_Linares02,TheTurtleChief,1-0,B10,Caro-Kann Defense
KeithCar,Ronald_Linares02,1-0,C00,French Defense: La Bourdonnais Variation
Ronald_Linares02,Yohy,0-1,C00,French Defense: King's Indian Attack
Ronald_Linares02,Makaulung,0-1,B10,Caro-Kann Defense: Breyer Variation
ahad1223,Ronald_Linares02,0-1,C00,French Defense
Ronald_Linares02,TheChessKing999,0-1,C44,Scotch Game: Scotch Gambit
TheS07,Ronald_Linares02,0-1,C00,French Defense: Knight Variation
Ronald_Linares02,Leofuellas,0-1,-1,-1
Ronald_Linares02,blackclover1234,1-0,B01,Scandinavian Defense: Main Line
JohMei,Ronald_Linares02,1-0,C02,French Defense: Advance Variation
BC_Deneth_8B,Ronald_Linares02,1/2-1/2,D30,Queen's Gambit Declined
Ronald_Linares02,BM-Mayank-Hinge,1-0,B70,Sicilian Defense: Dragon Variation
PRANAVI143,Ronald_Linares02,0-1,C00,French Defense: Knight Variation
Kingloyiso,Ronald_Linares02,1-0,C01,French Defense: Exchange Variation
Ronald_Linares02,shuxratganiyev,0-1,C00,French Defense: King's Indian Attack
akinkz128,Ronald_Linares02,1-0,D38,Queen's Gambit Declined: Ragozin Defense
Ronald_Linares02,and12346789,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
scroca,Ronald_Linares02,0-1,A04,Zukertort : Queen's Gambit Invitation
Ronald_Linares02,dongakorlando,0-1,B32,Sicilian Defense: Open
EA2020,Ronald_Linares02,0-1,B40,Sicilian Defense: Marshall Counterattack
coucou747,Ronald_Linares02,0-1,A00,Hungarian : Catalan Formation
Ronald_Linares02,AlrabtiChessMaster,0-1,-1,-1
TightYorkshireman,Ronald_Linares02,1-0,C02,"French Defense: Advance Variation, Nimzowitsch System"
Ronald_Linares02,SkidBrow,0-1,B32,Sicilian Defense: Lwenthal Variation
AlvaroDowney,Ronald_Linares02,1-0,A40,Horwitz Defense
Ronald_Linares02,WillNi,1-0,C00,French Defense: King's Indian Attack
Renztio,Ronald_Linares02,1-0,C00,French Defense: Knight Variation
mmasoccer1,Ronald_Linares02,1-0,C01,French Defense: Exchange Variation
burma66,Ronald_Linares02,0-1,A40,Horwitz Defense
Ronald_Linares02,Antonioeantonella,0-1,B32,Sicilian Defense: Godiva Variation
ansfed,Ronald_Linares02,1/2-1/2,C00,French Defense: Knight Variation
kumaragurubaran,Ronald_Linares02,1-0,D30,Queen's Gambit Declined
Vitorog,Ronald_Linares02,1-0,A40,Horwitz Defense
Ronald_Linares02,ocasaa,0-1,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Dan-Ahan,Ronald_Linares02,1-0,C00,French Defense: Knight Variation
Ronald_Linares02,souusa,1-0,C41,Philidor Defense: Lion Variation
mergen_han,Ronald_Linares02,0-1,C00,French Defense: Steinitz Attack
Ronald_Linares02,Alberts13,1-0,B32,Sicilian Defense: Lwenthal Variation
Ronald_Linares02,Hanamaila,1-0,B08,Pirc Defense: Classical Variation
Hrishikesh_Raj,Ronald_Linares02,0-1,C00,French Defense: Knight Variation
kokweiyee,Ronald_Linares02,1/2-1/2,C00,French Defense: Schlechter Variation
Ronald_Linares02,Gizemlioyuncuoyunda,0-1,C47,Four Knights Game: Scotch Variation Accepted
Filip6,Ronald_Linares02,0-1,C00,French Defense: Rti-Spielmann Attack
Ronald_Linares02,ArmanManatovich,0-1,C44,Scotch Game: Scotch Gambit
JaidenS,Ronald_Linares02,0-1,C00,French Defense
Ronald_Linares02,Lincoln21,1-0,B06,Modern Defense
Ronald_Linares02,seri_killer,0-1,B10,Caro-Kann Defense: Breyer Variation
Ronald_Linares02,Vincinio,0-1,B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit
Cogemelacabilla-Hugo,Ronald_Linares02,1-0,E10,Tarrasch Defense: Symmetrical Variation
Ronald_Linares02,Zombyman,0-1,A00,Grob
ImadAliraqi,Ronald_Linares02,1-0,C00,French Defense: La Bourdonnais Variation
kabasob,Ronald_Linares02,0-1,C02,French Defense: Advance Variation
Ronald_Linares02,tom230,0-1,B10,Caro-Kann Defense
Ronald_Linares02,veneteanuc,1-0,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
aGrig,Ronald_Linares02,1-0,C15,"French Defense: Winawer Variation, Alekhine-Marczy Gambit"
farmergiles,Ronald_Linares02,0-1,C01,French Defense: Exchange Variation
Ronald_Linares02,Arsenix,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
NyDream,Ronald_Linares02,0-1,A00,Hungarian
Ronald_Linares02,seri_killer,1-0,B46,Sicilian Defense: Taimanov Variation
Facciamo_amore,Ronald_Linares02,1-0,A00,Hungarian : Catalan Formation
Luckacyrus,Ronald_Linares02,0-1,C02,"French Defense: Advance Variation, Nimzowitsch System"
Ronald_Linares02,monkeyflush,0-1,C42,Russian Game: Three Knights Game
martin_gales,Ronald_Linares02,1-0,A40,Queen's Pawn Game
Ronald_Linares02,NolDuZ,0-1,B48,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
MikeSam,Ronald_Linares02,1-0,C00,French Defense
Ronald_Linares02,BurakhanTuran,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Ronald_Linares02,Kresimirsimic,0-1,B32,Sicilian Defense: Lwenthal Variation
Love_Honor_Chess64,Ronald_Linares02,0-1,C00,French Defense: La Bourdonnais Variation
Ronald_Linares02,Mr_bilinmeyen2010,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Morgano76,Ronald_Linares02,0-1,C00,French Defense: Two Knights Variation
ALIMumarovNG,Ronald_Linares02,1-0,A01,Nimzo-Larsen Attack
Ronald_Linares02,aslanmanav,0-1,C00,French Defense: King's Indian Attack
karmak,Ronald_Linares02,0-1,A04,Zukertort : Queen's Gambit Invitation
Ronald_Linares02,Stentor2018,0-1,B00,Pirc Defense
Ronald_Linares02,FlyingInsect762,0-1,C47,Four Knights Game: Scotch Variation Accepted
NotGoodCh3ss,Ronald_Linares02,1-0,D30,Queen's Gambit Declined: Traditional Variation
Ronald_Linares02,Lfernando,1-0,B33,Sicilian Defense: Open
