Blancas,Negras,Result,ECO,Opening
selekt0r,Williams_Abreu78,1-0,C44,Scotch Game
Williams_Abreu78,vajisc,1-0,B10,Caro-Kann Defense: Two Knights Attack
gur4gurmeet,Williams_Abreu78,0-1,A47,Queen's Indian Defense
Williams_Abreu78,dipakchowhan02,1/2-1/2,B50,Sicilian Defense: Delayed Alapin
Williams_Abreu78,DaviJesus1,0-1,B02,Alekhine Defense: Two Pawn Attack
trueno87,Williams_Abreu78,1/2-1/2,A00,Hungarian
Williams_Abreu78,Pion-Harapan,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Clawd1kk,Williams_Abreu78,0-1,C20,King's Pawn Game: Mengarini's
Rio_Christian,Williams_Abreu78,0-1,C20,King's Pawn Game: Wayward Queen Attack
Williams_Abreu78,Sah3A,1-0,B00,King's Pawn Game: Nimzowitsch Defense
CCCP1,Williams_Abreu78,0-1,C55,Italian Game: Two Knights Defense
Williams_Abreu78,Timila,1-0,C40,Elephant Gambit
JuanJim63,Williams_Abreu78,0-1,B50,Sicilian Defense: Modern Variations
Williams_Abreu78,OldGuy67,1-0,B06,Modern Defense: Standard Defense
Williams_Abreu78,SH_I_R-rO,1-0,C50,Four Knights Game: Italian Variation
mustafakgul,Williams_Abreu78,1-0,C23,Bishop's
Williams_Abreu78,garmaew,1-0,C44,"Scotch Game: Scotch Gambit, London Defense"
Williams_Abreu78,Jazzman512,1-0,B32,Sicilian Defense: Open
Dimitry_Karpyvarus,Williams_Abreu78,1-0,A20,English : King's English Variation
Williams_Abreu78,tronixpms,0-1,C40,Gunderam Defense
ItaChi16,Williams_Abreu78,0-1,C50,Four Knights Game: Italian Variation
Williams_Abreu78,redhorse_init,1-0,B01,Scandinavian Defense: Panov Transfer
Fjbm1962,Williams_Abreu78,0-1,C30,King's Gambit Declined: Queen's Knight Defense
brunochemy,Williams_Abreu78,1-0,A45,Indian Defense
Williams_Abreu78,Tertius3,0-1,C41,Philidor Defense
Williams_Abreu78,LordRoy,1-0,B10,Caro-Kann Defense: Two Knights Attack
