Blancas,Negras,Result,ECO,Opening
Chessinteligent,Wilsonpalencia,1/2-1/2,A40,Polish Defense
iljag95,Wilsonpalencia,1-0,E00,Catalan
Wilsonpalencia,adnansendur,0-1,C42,Russian Game: Three Knights Game
vahid_ka,Wilsonpalencia,0-1,B50,"Sicilian Defense: Modern Variations, Tartakower"
Wilsonpalencia,anton16072001,1-0,C41,Philidor Defense
VizeDietze,Wilsonpalencia,1/2-1/2,A45,Indian Defense
Wilsonpalencia,Brix10,1-0,C14,"French Defense: Classical Variation, Rubinstein Variation"
Neco93,Wilsonpalencia,0-1,A05,Zukertort
Hietala85,Wilsonpalencia,1/2-1/2,B24,"Sicilian Defense: Closed, Fianchetto Variation"
Wilsonpalencia,DJaeggi,0-1,B40,Sicilian Defense: Delayed Alapin Variation
DJaeggi,Wilsonpalencia,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
Wilsonpalencia,DJaeggi,0-1,B48,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
Licenciadomate,Wilsonpalencia,0-1,B08,"Pirc Defense: Classical Variation, Schlechter Variation"
Alexazsvchess,Wilsonpalencia,0-1,B94,Sicilian Defense: Najdorf Variation
Wilsonpalencia,Alexazsvchess,1-0,A47,Queen's Indian Defense
Wilsonpalencia,TJ_93,0-1,B10,Caro-Kann Defense
Markiz02,Wilsonpalencia,0-1,B03,Alekhine Defense
MathiasArrua,Wilsonpalencia,0-1,B03,Alekhine Defense
Wilsonpalencia,ZHeMbA,1-0,C55,Italian Game: Two Knights Defense
Wilsonpalencia,nf1995,1-0,C00,French Defense: Knight Variation
Saitama-Karpov,Wilsonpalencia,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Wilsonpalencia,Radovanovic64,0-1,B55,"Sicilian Defense: Prins Variation, Venice Attack"
MisPrefes2,Wilsonpalencia,0-1,D02,Queen's Pawn Game: London System
Wilsonpalencia,Leonel_Escote,1-0,C68,Ruy Lopez: Exchange Variation
Markiz02,Wilsonpalencia,1/2-1/2,C50,Italian Game: Hungarian Defense
