Blancas,Negras,Result,ECO,Opening
ReifersonX-X,Yosecarrasco,1-0,A40,Queen's Pawn Game
Yosecarrasco,JhoanHidrogo,0-1,-1,-1
motadixon,Yosecarrasco,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
Yosecarrasco,Sihang,1-0,B00,Nimzowitsch Defense: Williams Variation
Yosecarrasco,Yojan2003,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
fisicomedico,Yosecarrasco,1-0,A13,English : Agincourt Defense
Yosecarrasco,jonathanpereira,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
WIWU200,Yosecarrasco,1-0,C07,"French Defense: Tarrasch Variation, Open System, Schting Line"
Yosecarrasco,PerozoA,0-1,C44,Scotch Game: Scotch Gambit
PerozoA,Yosecarrasco,1-0,D15,Slav Defense: Three Knights Variation
Yosecarrasco,PerozoA,0-1,C44,Scotch Game: Scotch Gambit
Vero2315,Yosecarrasco,1-0,D02,Queen's Pawn Game: Zukertort Variation
Yosecarrasco,Dayneris_Targaryen,0-1,B13,Caro-Kann Defense: Exchange Variation
rosmarly,Yosecarrasco,1-0,D02,Queen's Pawn Game: Zukertort Variation
Yosecarrasco,Sihang,1-0,B00,Pirc Defense
CarlosViur_UAH,Yosecarrasco,0-1,C00,French Defense: Two Knights Variation
Yosecarrasco,dr_samy_de_luke,0-1,B97,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation"
Edu88ALR,Yosecarrasco,1-0,D02,Queen's Pawn Game: Zukertort Variation
Yosecarrasco,tony1294,0-1,B72,"Sicilian Defense: Dragon Variation, Classical Variation, Grigoriev Variation"
cesarproxd,Yosecarrasco,0-1,-1,-1
ranansbrett,Yosecarrasco,1-0,D00,Queen's Pawn Game: Mason Variation
Yosecarrasco,sweetforeign,1-0,C44,King's Knight : Normal Variation
Yosecarrasco,jabsal121,1-0,C44,Scotch Game: Scotch Gambit
moisesssfg,Yosecarrasco,1-0,C01,French Defense: Exchange Variation
cibergym,Yosecarrasco,0-1,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
Yosecarrasco,hielodrag,0-1,B40,Sicilian Defense: Paulsen-Basman Defense
Ramos2020,Yosecarrasco,0-1,C01,French Defense: Exchange Variation
Yosecarrasco,SanFelix,1-0,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
ElsuperRODRI,Yosecarrasco,1-0,E10,Tarrasch Defense: Symmetrical Variation
mmayol,Yosecarrasco,0-1,A13,English : Agincourt Defense
Yosecarrasco,freddyven2020,0-1,B54,Sicilian Defense: Accelerated Dragon
Yosecarrasco,ALITA20,1-0,B13,Caro-Kann Defense: Exchange Variation
Macha202,Yosecarrasco,0-1,C00,French Defense: Knight Variation
Yosecarrasco,Echeto19,1-0,C00,Rat Defense: Small Center Defense
Pastran,Yosecarrasco,0-1,C01,French Defense: Exchange Variation
Yosecarrasco,Santiagomessi2010,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
Yosecarrasco,billiye,1-0,B32,Sicilian Defense: Open
JuanSebastianV,Yosecarrasco,1-0,C00,French Defense: Perseus Gambit
Diegoponciano,Yosecarrasco,1-0,C01,French Defense: Exchange Variation
Yosecarrasco,rajarajadeadly,1-0,B32,Sicilian Defense: Open
confined19,Yosecarrasco,0-1,C00,French Defense
ucamayankus,Yosecarrasco,1-0,C02,"French Defense: Advance Variation, Nimzowitsch System"
Yosecarrasco,Ares7,0-1,C40,Elephant Gambit
Yosecarrasco,LeonardoSantana10,1-0,C02,French Defense: Advance Variation
tonysyda,Yosecarrasco,1-0,C02,French Defense: Advance Variation
Yosecarrasco,Reza_motazeriyan,0-1,C44,Scotch Game: Haxo Gambit
Yosecarrasco,Dindo196884,1-0,B27,Sicilian Defense: Hyperaccelerated Pterodactyl
Rafaaaa,Yosecarrasco,0-1,D02,Queen's Pawn Game: Zukertort Variation
Yosecarrasco,AlexZmijewski,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
Yosecarrasco,Marcosito1,1-0,C00,French Defense: Normal Variation
Olivier_P1,Yosecarrasco,0-1,D00,Queen's Pawn Game: Mason Variation
Timbolino,Yosecarrasco,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Yosecarrasco,xTomer,1-0,B50,Sicilian Defense
XxKOxX,Yosecarrasco,0-1,C00,French Defense
chess006400,Yosecarrasco,1-0,A02,Bird
Yosecarrasco,mrdragev,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
Yosecarrasco,hotman_1,0-1,B13,Caro-Kann Defense: Exchange Variation
angelosecrets,Yosecarrasco,1-0,C18,"French Defense: Winawer Variation, Advance Variation"
Yosecarrasco,manishkumardthakur,1-0,C41,Philidor Defense
Yosecarrasco,jacksilany,1-0,B00,King's Pawn
AngelLuque,Yosecarrasco,1-0,C00,French Defense
Tayanc07,Yosecarrasco,0-1,C00,French Defense: Knight Variation
Yosecarrasco,j040lu45,1-0,B01,Scandinavian Defense: Marshall Variation
Frankparo,Yosecarrasco,1-0,A00,Hungarian : Catalan Formation
XtianXdel,Yosecarrasco,1-0,C00,French Defense: Knight Variation
Yosecarrasco,MarianoCGarcia,1-0,C44,King's Knight : Normal Variation
