Blancas,Negras,Result,ECO,Opening
cabri007,sonia_chelebezz88,1-0,C00,French Defense: Normal Variation
cabri007,baron2020,1-0,E90,King's Indian Defense: Zinnowitz Variation
baron2020,cabri007,1-0,D55,"Queen's Gambit Declined: Modern Variation, Normal Line"
cabri007,baron2020,0-1,C02,French Defense: Advance Variation
baron2020,cabri007,1-0,A40,Horwitz Defense
cabri007,baron2020,0-1,C01,French Defense: Exchange Variation
baron2020,cabri007,1-0,C00,French Defense: Pelikan Variation
cabri007,bacana,0-1,B32,Sicilian Defense: Open
bacana,cabri007,1-0,C11,"French Defense: Classical Variation, Steinitz Variation"
cabri007,bacana,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal"
bacana,cabri007,1-0,B44,Sicilian Defense: Taimanov Variation
cabri007,bacana,0-1,A47,Queen's Indian Defense
bacana,cabri007,1-0,A84,Dutch Defense: Rubinstein Variation
Boitumelow,cabri007,0-1,B20,Sicilian Defense
cabri007,GermanRG,1-0,B97,"Sicilian Defense: Najdorf Variation, Poisoned Pawn Variation"
cow123,cabri007,1-0,E00,Indian Defense: Seirawan Attack
cabri007,Juergen717,1-0,C02,French Defense: Advance Variation
cabri007,porfeo,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
mochambo,cabri007,1-0,B40,Sicilian Defense: Delayed Alapin Variation
thegreatkasparov2020,cabri007,1/2-1/2,C01,French Defense: Exchange Variation
cabri007,ya7yo712345,0-1,-1,-1
cabri007,VAILSONMACILIO,0-1,B06,Modern Defense
NikB2,cabri007,0-1,B01,Scandinavian Defense: Panov Transfer
cabri007,NikB2,0-1,C00,French Defense: Steiner Variation
NikB2,cabri007,0-1,B01,Scandinavian Defense: Panov Transfer
cabri007,NikB2,1/2-1/2,A00,Van Geet
cabri007,Shinke,0-1,B99,"Sicilian Defense: Najdorf Variation, Main Line"
cabri007,Fayzulla76,1-0,B06,Modern Defense: Bishop Attack
Erkebulann,cabri007,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
cabri007,Erkebulann,0-1,E67,"King's Indian Defense: Fianchetto Variation, Classical Fianchetto"
Erkebulann,cabri007,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
timur1960,cabri007,1-0,A13,English : Agincourt Defense
cabri007,SalmonSpirit,0-1,B10,Caro-Kann Defense
TonMorcus,cabri007,0-1,C00,French Defense: Two Knights Variation
cabri007,TonMorcus,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
TonMorcus,cabri007,0-1,C00,French Defense: Two Knights Variation
cabri007,TonMorcus,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
cabri007,germanz,1-0,B12,Caro-Kann Defense
cabri007,ElChito,0-1,C00,Rat Defense: Small Center Defense
ElChito,cabri007,1-0,C02,French Defense: Advance Variation
cabri007,Lorenzato89,1-0,C00,Queen's Pawn Game: Franco-Sicilian Defense
Lorenzato89,cabri007,1-0,B01,Scandinavian Defense: Modern Variation
cabri007,ferhuizar,0-1,D23,Queen's Gambit Accepted
cabri007,scion2k12,1-0,A28,"English : King's English Variation, Four Knights Variation"
TheKingWalker,cabri007,0-1,A04,Zukertort : Sicilian Invitation
cabri007,TheKingWalker,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
TheKingWalker,cabri007,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
cabri007,TheKingWalker,1-0,C00,French Defense: Normal Variation
TheKingWalker,cabri007,1-0,A35,"English : Symmetrical Variation, Two Knights Variation"
chanzan61,cabri007,0-1,D31,Semi-Slav Defense: Accelerated Move Order
cabri007,chanzan61,1-0,A30,English : Symmetrical Variation
chanzan61,cabri007,1-0,A45,Indian Defense
cabri007,chanzan61,1-0,B06,Modern Defense: Bishop Attack
chanzan61,cabri007,0-1,A56,Benoni Defense: Hromdka System
cabri007,chanzan61,0-1,A50,Slav Indian
chanzan61,cabri007,1-0,A40,Horwitz Defense
cabri007,chanzan61,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
chanzan61,cabri007,1-0,A45,Indian Defense
cabri007,chanzan61,1-0,B22,Sicilian Defense: Alapin Variation
ProfessorOfDefense,cabri007,0-1,B40,"Sicilian Defense: Four Knights Variation, Exchange Variation"
MikhailTalz,cabri007,1-0,B40,Sicilian Defense: Delayed Alapin Variation
cabri007,pelanaranjas,1-0,B09,Pirc Defense: Austrian Attack
cabri007,GrafKV,0-1,B13,Caro-Kann Defense: Panov Attack
Vincenzoalvarez,cabri007,0-1,B01,Scandinavian Defense: Marshall Variation
logforjames,cabri007,1-0,B32,Sicilian Defense: Kalashnikov Variation
gladiatormario,cabri007,0-1,C26,Vienna Game: Mieses Variation
cabri007,Alexander8_2,0-1,D43,Semi-Slav Defense
cabri007,SufrimientoPerpetuo,1-0,B46,Sicilian Defense: Taimanov Variation
cabri007,Jackbungart,1-0,C44,Scotch Game
steady802,cabri007,0-1,A43,Benoni Defense: Old Benoni
siegfried2020,cabri007,1-0,D55,"Queen's Gambit Declined: Modern Variation, Normal Line"
StarQuaid2021,cabri007,0-1,C00,French Defense: Knight Variation
cabri007,Readbob,1-0,A22,"English : King's English Variation, Two Knights Variation"
Readbob,cabri007,1-0,B50,Sicilian Defense: Modern Variations
cabri007,NucleoCentral,1-0,B00,Pirc Defense
cabri007,carlosase,1-0,C00,French Defense: Normal Variation
cabri007,fcuenca,1-0,C44,Scotch Game: Gring Gambit
cabri007,knutdeijsbeer,1-0,C43,"Russian Game: Modern Attack, Symmetrical Variation"
cabri007,maido7,1-0,B32,Sicilian Defense: Open
maido7,cabri007,0-1,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
Mo3isa,cabri007,0-1,C00,French Defense: Knight Variation
cabri007,Mo3isa,0-1,B12,Caro-Kann Defense: Advance Variation
Mo3isa,cabri007,0-1,C00,French Defense: Knight Variation
cabri007,Selinker,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation"
cabri007,Anures05,1-0,A40,Queen's Pawn Game
Donaldtrampa,cabri007,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Obitouchija2020,cabri007,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
cabri007,kongsi,1-0,A49,Indian Defense: Przepiorka Variation
facundin,cabri007,0-1,B40,Sicilian Defense: French Variation
cabri007,facundin,1-0,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
facundin,cabri007,0-1,B50,Sicilian Defense: Modern Variations
