Blancas,Negras,Result,ECO,Opening
Leogranma84,carlbc84,1-0,A40,Queen's Pawn Game
carlbc84,Isegrim-52,0-1,B40,Sicilian Defense: Paulsen-Basman Defense
carlbc84,MaxStranger7,1-0,C00,French Defense: Knight Variation
tturtle,carlbc84,0-1,C52,"Italian Game: Evans Gambit, Slow Variation"
carlbc84,Kazakh1985,1-0,C45,Scotch Game: Classical Variation
nickjelly109,carlbc84,0-1,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
pedrono,carlbc84,1-0,A00,Hungarian
carlbc84,RO44ARIO2020,0-1,B01,Scandinavian Defense: Main Line
Pegasus_O,carlbc84,1-0,A52,"Indian Defense: Budapest Defense, Rubinstein Variation"
carlbc84,Kuidate,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
carlbc84,JBLAL,1-0,B72,"Sicilian Defense: Dragon Variation, Classical Variation"
rahimi5377,carlbc84,1-0,A51,Indian Defense: Budapest Defense
AlexTur,carlbc84,1-0,A47,Queen's Indian Defense
gmmiza,carlbc84,1-0,A45,Trompowsky Attack: Classical Defense
carlbc84,skif_2020,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
carlbc84,sawma,1/2-1/2,B01,Scandinavian Defense: Modern Variation
Ahmedtahasayed,carlbc84,0-1,A51,Indian Defense: Budapest Defense
carlbc84,moroshirov97,0-1,B02,Alekhine Defense: Scandinavian Variation
sieczyslove,carlbc84,1-0,A04,Zukertort : Dutch Variation
DaysWithoutSugar,carlbc84,0-1,C53,Italian Game: Classical Variation
carlbc84,elliottX,0-1,C47,Four Knights Game: Scotch Variation Accepted
LeGangster,carlbc84,0-1,A15,"English : Anglo-Indian Defense, Queen's Indian Formation"
carlbc84,CintaBlanca-76,1-0,B30,Sicilian Defense: Old Sicilian
carlbc84,altunyurt,0-1,B50,Sicilian Defense: Modern Variations
Z__chess,carlbc84,1-0,C64,Ruy Lopez: Classical Variation
carlbc84,gerardoors,1-0,C00,French Defense: Knight Variation
abelhw,carlbc84,0-1,C64,Ruy Lopez: Classical Variation
carlbc84,Jay_ChessMood,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Angresequi,carlbc84,0-1,A00,"Grob : Grob Gambit, Fritz Gambit"
carlbc84,PlaySoBad,0-1,B32,Sicilian Defense: Lwenthal Variation
carlbc84,Habyl81,1-0,B30,Sicilian Defense: Old Sicilian
Adost,carlbc84,1-0,A00,Anderssen's
RO44ARIO2020,carlbc84,1-0,A45,Indian Defense: Maddigan Gambit
carlbc84,pepe1000,1-0,B58,"Sicilian Defense: Boleslavsky Variation, Louma Variation"
kildin,carlbc84,0-1,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
carlbc84,Loester77,1-0,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
Rashad-Chess,carlbc84,0-1,A52,"Indian Defense: Budapest Defense, Adler Variation"
carlbc84,BozhepravyOfficial,0-1,C00,French Defense: Knight Variation
carlbc84,chessi25,1/2-1/2,B01,Scandinavian Defense: Gubinsky-Melts Defense
nonoy1985,carlbc84,1/2-1/2,C44,"Scotch Game: Gring Gambit, Double Pawn Sacrifice"
carlbc84,MalteMarconi,0-1,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
Nurad23,carlbc84,0-1,C52,"Italian Game: Evans Gambit, Pierce Defense"
carlbc84,FernandoMorAZ,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
carlbc84,freedomfighter61,1-0,B30,Sicilian Defense: Old Sicilian
Artichoke96,carlbc84,0-1,C64,"Ruy Lopez: Classical Variation, Central Variation"
mkaljen,carlbc84,1-0,A51,Indian Defense: Budapest Defense
carlbc84,jambokampy,0-1,B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation"
Proyecto01,carlbc84,1-0,A51,Indian Defense: Budapest Defense
carlbc84,roquenov,0-1,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation"
carlbc84,Parijos71,1-0,B40,Sicilian Defense: Four Knights Variation
carlbc84,choloroca,1-0,B73,"Sicilian Defense: Dragon Variation, Classical Variation"
ArturockGlez,carlbc84,0-1,A22,English : Carls-Bremen System
carlbc84,evsponge,0-1,B20,"Sicilian Defense: Wing Gambit, Carlsbad Variation"
kravkos,carlbc84,1-0,C64,"Ruy Lopez: Classical Variation, Central Variation"
