Blancas,Negras,Result,ECO,Opening
ShoxFox,cjop1,1-0,B30,Sicilian Defense: Old Sicilian
tjdahsyat,cjop1,1-0,D00,Queen's Pawn Game: Mason Variation
cjop1,Anbhul,0-1,C45,Scotch Game: Blumenfeld Attack
cjop1,hugo80,1-0,B17,Caro-Kann Defense: Karpov Variation
Simonenko,cjop1,1-0,D02,Queen's Pawn Game: London System
EJaureguiUCH,cjop1,0-1,D25,Queen's Gambit Accepted: Normal Variation
catherine_zeta_jones,cjop1,1/2-1/2,B32,Sicilian Defense: Godiva Variation
cjop1,gipokiak,1-0,B40,"Sicilian Defense: French Variation, Normal"
cjop1,Storm_Chess_Knight,0-1,B32,Sicilian Defense: Lwenthal Variation
Alexander_Shokhy,cjop1,1-0,D00,Queen's Pawn Game: Mason Variation
cjop1,TheMainProtagonist89,0-1,B42,"Sicilian Defense: Kan Variation, Modern Variation"
cjop1,Szachmat82,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation"
Dan25,cjop1,0-1,D37,"Queen's Gambit Declined: Vienna Variation, Quiet Variation"
QuantumJoe,cjop1,0-1,A15,"English : Anglo-Indian Defense, Scandinavian Defense, Exchange Variation"
cjop1,Elpakisto57,0-1,B01,"Scandinavian Defense: Main Line, Mieses Variation"
MFCanary,cjop1,1-0,A04,Zukertort : Sicilian Invitation
Yacknfludl,cjop1,1-0,B30,Sicilian Defense: Old Sicilian
cjop1,LerikoTalikadze2014,1-0,B01,"Scandinavian Defense: Main Line, Mieses Variation"
cjop1,Gavurdudukleyen,0-1,B96,Sicilian Defense: Najdorf Variation
Hular_Simanek,cjop1,1/2-1/2,B33,Sicilian Defense: Open
DrakonAivan,cjop1,1-0,B32,Sicilian Defense: Open
cjop1,DrakonAivan,0-1,B02,Alekhine Defense: Scandinavian Variation
Meydek,cjop1,0-1,A20,English : King's English Variation
cjop1,sackitall,1-0,C30,King's Gambit Declined: Queen's Knight Defense
cjop1,UFC_AQTOBE,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Anthony201,cjop1,1-0,B33,Sicilian Defense: Open
frankdave01,cjop1,0-1,B32,Sicilian Defense: Godiva Variation
cjop1,Mipi,1-0,C45,Scotch Game: Blumenfeld Attack
cjop1,RePhenom,1-0,B98,Sicilian Defense: Najdorf Variation
D6704073,cjop1,1-0,D00,Blackmar-Diemer Gambit: Gedult Gambit
Dan25,cjop1,0-1,D04,Queen's Pawn Game: Colle System
cjop1,Anaswaraabhi,1-0,B99,"Sicilian Defense: Najdorf Variation, Main Line"
Temurbek2011,cjop1,1-0,D20,Queen's Gambit Accepted
cjop1,elmister555,1-0,C00,French Defense: Schlechter Variation
cjop1,Lanzo32,1-0,C45,Scotch Game
gabriele2000,cjop1,0-1,D20,Queen's Gambit Accepted
cjop1,parth_25zari,1-0,C00,French Defense: Schlechter Variation
chiriguano,cjop1,0-1,B20,Sicilian Defense: Mengarini Variation
raoufelhessadi2020,cjop1,0-1,B32,Sicilian Defense: Godiva Variation
cjop1,etheria97,1-0,C42,Russian Game: Three Knights Game
davkou,cjop1,0-1,B23,Sicilian Defense: Closed
cjop1,manukr,1-0,B98,Sicilian Defense: Najdorf Variation
cjop1,ghasemakhtarzadeh,1-0,B12,Caro-Kann Defense
ChessDragonN1,cjop1,0-1,D20,Queen's Gambit Accepted: Old Variation
A45A,cjop1,1-0,D00,Blackmar-Diemer Gambit: Teichmann Variation
cjop1,ProfRamBlack,1-0,C00,Queen's Pawn Game: Franco-Sicilian Defense
cjop1,rosamsakalam,1-0,C45,Scotch Game: Blumenfeld Attack
Kanga,cjop1,1-0,D26,"Queen's Gambit Accepted: Normal Variation, Traditional System"
cjop1,Mr_Zelensky,0-1,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
BetaOne,cjop1,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
AminCGchess,cjop1,0-1,D02,Queen's Pawn Game: London System
cjop1,MaC_AmiNN,1-0,B27,Sicilian Defense
ChessOptmusPrime,cjop1,0-1,D20,Queen's Gambit Accepted
cjop1,BOMJESUS,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
cjop1,BlitzDude71,0-1,B06,Modern Defense: Standard Line
Eisbaer1988,cjop1,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
kingvard99,cjop1,0-1,B32,Sicilian Defense: Lwenthal Variation
TfLichess,cjop1,0-1,B32,Sicilian Defense: Open
