Blancas,Negras,Result,ECO,Opening
Pavarotty,douglasabreu,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
mentholatumn,douglasabreu,1-0,A48,London System
douglasabreu,just4fun4321,1/2-1/2,B00,Owen Defense
badihavgjiu,douglasabreu,1-0,A05,Zukertort
douglasabreu,Kaan_chess97,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
douglasabreu,alaa-salama2020,0-1,B06,Modern Defense: Standard Line
LTH1,douglasabreu,1-0,C31,"King's Gambit Declined: Falkbeer Countergambit, Blackburne Attack"
douglasabreu,Migue10messi,0-1,B07,Pirc Defense
Kronos_7,douglasabreu,0-1,E61,King's Indian Defense
Migue10messi,douglasabreu,1-0,A48,London System
douglasabreu,Jorrss,1-0,B02,Alekhine Defense: Two Pawn Attack
Kronos_7,douglasabreu,0-1,E61,King's Indian Defense
douglasabreu,Jorrss,1-0,B06,Modern Defense: Standard Defense
onlytacts,douglasabreu,0-1,A48,Torre Attack
lonely_oreo,douglasabreu,1-0,C47,Four Knights Game: Italian Variation
douglasabreu,Felkovich,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
douglasabreu,UnionoftheGodless,0-1,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
Denis_88,douglasabreu,1-0,A15,"English : Anglo-Indian Defense, King's Indian Formation"
alexping,douglasabreu,1-0,A45,Trompowsky Attack: Edge Variation
douglasabreu,iPeeSittingDown,0-1,C52,"Italian Game: Evans Gambit, Mieses Defense"
Bille1924,douglasabreu,1-0,A45,Indian Defense
douglasabreu,Luancaushaj,1-0,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
douglasabreu,doctor_arsen,1-0,C00,French Defense: Normal Variation
Ali_Farah,douglasabreu,1-0,E61,King's Indian Defense
InfiniteFlash,douglasabreu,1-0,A15,"English : Anglo-Indian Defense, Anti-Anti-Grnfeld"
Jorge788,douglasabreu,1-0,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
douglasabreu,ennecerus,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
douglasabreu,LfAli,1-0,C03,French Defense: Tarrasch Variation
BorisRazov,douglasabreu,0-1,A00,Hungarian : Symmetrical Variation
douglasabreu,iminlove,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
podymov1986,douglasabreu,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
douglasabreu,Pressure77,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
douglasabreu,Saltnroll,0-1,B11,"Caro-Kann Defense: Two Knights Attack, Mindeno Variation"
Chessil,douglasabreu,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
douglasabreu,Usuariocruz,1-0,B77,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Main Line"
toulis,douglasabreu,1-0,A15,"English : Anglo-Indian Defense, King's Indian Formation"
AKvsQQ,douglasabreu,1-0,C20,King's Pawn Game: Wayward Queen Attack
douglasabreu,AndreDionizio,0-1,B10,Caro-Kann Defense: Two Knights Attack
Havefun3000,douglasabreu,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
douglasabreu,MaminSon,0-1,C52,"Italian Game: Evans Gambit, Pierce Defense"
Senologia,douglasabreu,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
douglasabreu,YoSoyTuSombra,1-0,C51,"Italian Game: Evans Gambit, Hein Countergambit"
douglasabreu,Testator,1-0,C03,"French Defense: Tarrasch Variation, Guimard Defense"
Buddy15,douglasabreu,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
faf1980,douglasabreu,1-0,C88,Ruy Lopez: Closed
Akashkryon,douglasabreu,1-0,A48,Torre Attack
douglasabreu,Hallopitch22,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
douglasabreu,Sauliyo20,0-1,B06,Modern Defense: Standard Defense
LockMaster,douglasabreu,1-0,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
douglasabreu,reuelcaleb,1-0,B10,Caro-Kann Defense: Two Knights Attack
SCBRNGY,douglasabreu,1-0,A01,Nimzo-Larsen Attack: Indian Variation
douglasabreu,ralamba,0-1,B01,Scandinavian Defense: Main Line
douglasabreu,florentmg,1-0,B01,Scandinavian Defense: Modern Variation
NATANAEL92,douglasabreu,1-0,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
LenGit,douglasabreu,0-1,E70,King's Indian Defense: Normal Variation
douglasabreu,DarkVeider,1-0,B00,Nimzowitsch Defense: Mikenas Variation
douglasabreu,HSH_bola,0-1,B07,Czech Defense
erik96,douglasabreu,0-1,C31,"King's Gambit Declined: Falkbeer Countergambit, Staunton Line"
douglasabreu,ReLchiKuanA,1-0,B90,"Sicilian Defense: Scheveningen Variation, Delayed Keres Attack, Perenyi Gambit"
AlexPawnold,douglasabreu,1-0,A45,Indian Defense
douglasabreu,flawless7,0-1,B90,"Sicilian Defense: Najdorf Variation, English Attack"
karakusk,douglasabreu,0-1,C55,Italian Game: Two Knights Defense
douglasabreu,FocusedCeer,1-0,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
ChristianAlcira,douglasabreu,1-0,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
douglasabreu,diegodon,1-0,C51,"Italian Game: Evans Gambit, Anderssen Variation, Cordel Line"
Samuel_jv,douglasabreu,0-1,C45,Scotch Game: Schmidt Variation
rfak,douglasabreu,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
douglasabreu,fishhook22,0-1,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
MiguelRazo,douglasabreu,0-1,C89,Ruy Lopez: Marshall Attack
ronaldbadua2021,douglasabreu,0-1,C44,Ponziani : Jaenisch Counterattack
douglasabreu,KiyotakaAyanokoji,1-0,C52,"Italian Game: Evans Gambit, Bronstein Defense"
douglasabreu,bigdog2121,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
josemoramoron,douglasabreu,1-0,A49,Indian Defense: Przepiorka Variation
douglasabreu,Ovidio-69,0-1,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
AdeRonie,douglasabreu,1-0,A45,Trompowsky Attack
douglasabreu,TheWren3,0-1,B01,Scandinavian Defense: Modern Variation
Konstantindus,douglasabreu,0-1,A45,Indian Defense
douglasabreu,Reiji37,0-1,B30,Sicilian Defense: Old Sicilian
chessnycdonaldu,douglasabreu,0-1,A00,Gedult's
Segatov,douglasabreu,0-1,C77,"Ruy Lopez: Morphy Defense, Tarrasch Variation"
douglasabreu,Harsheet_Sploosh,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
douglasabreu,xiaomirocks,0-1,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
mijailto7,douglasabreu,0-1,C44,"Scotch Game: Scotch Gambit, Gring Gambit Declined"
Luiz_GO,douglasabreu,1-0,C23,Bishop's : Stein Gambit
douglasabreu,Matias3,0-1,C05,"French Defense: Tarrasch Variation, Closed Variation"
douglasabreu,drazan74,0-1,C58,"Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line"
AquilesX,douglasabreu,0-1,A48,Torre Attack
FrankyBoiii,douglasabreu,1-0,C47,Four Knights Game: Italian Variation
douglasabreu,arsid,0-1,C10,"French Defense: Rubinstein Variation, Blackburne Defense"
douglasabreu,LUCKENSE-1,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
CaminantePlus,douglasabreu,0-1,A05,Zukertort : Quiet System
douglasabreu,ZeffirelliB,1-0,C42,Russian Game: Kaufmann Attack
douglasabreu,Frankisko,0-1,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
David_Spearman,douglasabreu,1-0,A45,Indian Defense
AquilesX,douglasabreu,1-0,E98,"King's Indian Defense: Orthodox Variation, Classical System"
douglasabreu,EduardoNikov,0-1,C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line"
jinbaitang,douglasabreu,1-0,C55,"Italian Game: Scotch Gambit, Janowski Defense"
douglasabreu,spilzzz,1-0,C07,"French Defense: Tarrasch Variation, Open System, Euwe-Keres Line"
leonidasMK,douglasabreu,1-0,E73,King's Indian Defense: Semi-Averbakh System
douglasabreu,Sidclay,1-0,C05,"French Defense: Tarrasch Variation, Closed Variation"
MagistrTortikov,douglasabreu,1-0,C22,Center Game: Berger Variation
douglasabreu,thenamesmarlowe,1-0,B40,"Sicilian Defense: French Variation, Westerinen Attack"
GustiloChess64,douglasabreu,1-0,C22,Center Game: Paulsen Attack Variation
