Blancas,Negras,Result,ECO,Opening
edwuinb1,codeineyes,0-1,B06,Modern Defense: Bishop Attack
rm8cg8,edwuinb1,0-1,A41,Queen's Pawn Game
edwuinb1,Shapingisa,0-1,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
adamrayyan_13,edwuinb1,0-1,C41,Philidor Defense
Adrianojosepereira,edwuinb1,0-1,B06,Modern Defense: Two Knights Variation
edwuinb1,jacbpyma,1-0,B32,Sicilian Defense: Open
edwuinb1,Rubinskiy,0-1,B10,Caro-Kann Defense: Two Knights Attack
ChristinaDAVYD,edwuinb1,1-0,A41,Queen's Pawn Game
edwuinb1,tdfq,0-1,B18,Caro-Kann Defense: Classical Variation
Vimex,edwuinb1,0-1,C26,Vienna Game: Vienna Gambit
azizlybrooh,edwuinb1,1-0,C00,Rat Defense: Small Center Defense
edwuinb1,smd_training,0-1,B02,Alekhine Defense: Scandinavian Variation
edwuinb1,Arsendonetsk,1-0,B01,Scandinavian Defense: Blackburne Gambit
yappattack,edwuinb1,0-1,A02,Bird
edwuinb1,stshsf,1-0,B32,Sicilian Defense: Nimzo-American Variation
abhishekg98,edwuinb1,1-0,A00,Hungarian
edwuinb1,loh-nomer-99,0-1,B00,Nimzowitsch Defense: Williams Variation
schachhase2,edwuinb1,0-1,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
edwuinb1,RUSCH1982,1-0,B00,Pirc Defense
Dr_chess_master,edwuinb1,1-0,A01,Nimzo-Larsen Attack: Classical Variation
edwuinb1,Skyyan,0-1,B27,Sicilian Defense: Hyperaccelerated Dragon
artemka101,edwuinb1,0-1,B08,"Pirc Defense: Classical Variation, Quiet System"
pliselonpli,edwuinb1,1-0,B06,Modern Defense: Standard Defense
edwuinb1,Scacchichepassione,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
LiMiAn,edwuinb1,0-1,B00,Pirc Defense
edwuinb1,SetiaHati,1-0,C00,French Defense: King's Indian Attack
metralleta,edwuinb1,1-0,B06,Modern Defense: Two Knights Variation
edwuinb1,orlandorochafilho,1-0,B50,Sicilian Defense: Modern Variations
Zakariasf,edwuinb1,1-0,B00,Pirc Defense
edwuinb1,Leonelsa33,0-1,A00,Anderssen's
Spilmanchess,edwuinb1,1-0,B07,Modern Defense: Geller's System
edwuinb1,MaodCabra,1-0,B30,Sicilian Defense: Old Sicilian
berlian38,edwuinb1,0-1,B00,Rat Defense: Harmonist
edwuinb1,Vintot,1-0,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted"
edeleon,edwuinb1,1-0,B00,Pirc Defense
edwuinb1,saman152,0-1,A82,Rat Defense: Balogh Defense
miki52,edwuinb1,1-0,A41,Rat Defense: English Rat
edwuinb1,geniusches,0-1,C78,Ruy Lopez: Morphy Defense
fulmetalll,edwuinb1,0-1,A41,Modern Defense
islandification,edwuinb1,1-0,A04,Zukertort : Pirc Invitation
awsimons,edwuinb1,1-0,A41,Queen's Pawn Game
edwuinb1,Marxelomarti3,1-0,C84,"Ruy Lopez: Closed, Martinez Variation"
