Blancas,Negras,Result,ECO,Opening
gilaryaraujo12,Kostas_Paps,0-1,B40,Sicilian Defense: Four Knights Variation
Mustafa_Haydar,gilaryaraujo12,1-0,C42,Russian Game
Gisellcontreras17,gilaryaraujo12,1-0,C44,Scotch Game: Scotch Gambit
gilaryaraujo12,cesarproxd,0-1,B57,"Sicilian Defense: Sozin, not Scheveningen"
cesarproxd,gilaryaraujo12,0-1,A00,Gedult's
gilaryaraujo12,cesarproxd,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
cesarproxd,gilaryaraujo12,1-0,A00,Hungarian
gilaryaraujo12,cesarproxd,1/2-1/2,C55,"Italian Game: Scotch Gambit, de Riviere Defense"
cesarproxd,gilaryaraujo12,1-0,D30,Queen's Gambit Declined
gilaryaraujo12,shepherdjay,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
gilaryaraujo12,RogerRod,1-0,B53,Sicilian Defense: Chekhover Variation
Fabrik81,gilaryaraujo12,0-1,C47,Four Knights Game: Scotch Variation Accepted
gilaryaraujo12,juancruzalvarez,1-0,C44,"Scotch Game: Scotch Gambit, Sarratt Variation"
Exzodus,gilaryaraujo12,0-1,D02,Queen's Pawn Game: Zukertort Variation
alamchess,gilaryaraujo12,0-1,C47,Four Knights Game
gilaryaraujo12,Ivan_01rus,1-0,B40,Sicilian Defense: French Variation
gilaryaraujo12,gardienflo,1-0,B32,Sicilian Defense: Lwenthal Variation
gilaryaraujo12,chessgeek90210,1-0,C20,Center Game
DrSaber,gilaryaraujo12,1-0,C50,Four Knights Game: Italian Variation
gilaryaraujo12,alipiobirulin460,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
deltaflyer,gilaryaraujo12,1-0,A07,King's Indian Attack
sigma_stu,gilaryaraujo12,1-0,D50,Queen's Gambit Declined: Modern Variation
gilaryaraujo12,Karbo99,1-0,C44,Scotch Game: Scotch Gambit
blazing_peace,gilaryaraujo12,1-0,C34,King's Gambit Accepted: MacLeod Defense
gilaryaraujo12,Toyl,1-0,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
ethanwe,gilaryaraujo12,1-0,C42,Russian Game: Cozio Attack
faust8888,gilaryaraujo12,0-1,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
gilaryaraujo12,alex236,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
tt214,gilaryaraujo12,0-1,D02,Queen's Pawn Game: Zukertort Variation
OreoCookie34,gilaryaraujo12,1-0,C42,Russian Game: Nimzowitsch Attack
gilaryaraujo12,abhishek008800,1-0,C55,Italian Game: Scotch Gambit
gilaryaraujo12,brianterman,0-1,B03,Alekhine Defense
gilaryaraujo12,fatih45,1-0,C20,Center Game
pukic,gilaryaraujo12,1-0,C42,"Russian Game: Cochrane Gambit, Center Variation"
gilaryaraujo12,Dishant_18,1-0,B53,Sicilian Defense: Chekhover Variation
StokrotkaPolna,gilaryaraujo12,1-0,D00,"Queen's Pawn Game: Chigorin Variation, Alburt Defense"
gilaryaraujo12,gderoull,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
gilaryaraujo12,La3eeb5,0-1,C21,Center Game: Kieseritzky Variation
TorsunovSergei,gilaryaraujo12,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
gilaryaraujo12,yoni136,1-0,C44,Scotch Game: Scotch Gambit
gilaryaraujo12,Grigoral,1-0,C21,Center Game: Kieseritzky Variation
eclet1co,gilaryaraujo12,1-0,C24,Bishop's : Vienna Hybrid
boogieba,gilaryaraujo12,1-0,D35,"Queen's Gambit Declined: Exchange Variation, Positional Variation"
Piatus10,gilaryaraujo12,1-0,D00,Queen's Pawn Game: Mason Variation
gilaryaraujo12,Hmeyd14011992,1-0,B53,Sicilian Defense: Chekhover Variation
gilaryaraujo12,SebUI,0-1,B53,Sicilian Defense: Chekhover Variation
gilaryaraujo12,Simonebela,1-0,C44,"Scotch Game: Scotch Gambit, Sarratt Variation"
gilaryaraujo12,Noanda112,0-1,B53,Sicilian Defense: Chekhover Variation
voldemorr,gilaryaraujo12,0-1,C43,Bishop's : Urusov Gambit
gilaryaraujo12,kicozaninetti,0-1,B53,Sicilian Defense: Chekhover Variation
Ferid_1234,gilaryaraujo12,1-0,C47,Four Knights Game
FBonur,gilaryaraujo12,1-0,D00,Queen's Pawn Game
verbm,gilaryaraujo12,1-0,D40,Queen's Gambit Declined: Semi-Tarrasch Defense
BloodHouse,gilaryaraujo12,0-1,C42,Russian Game: Cozio Attack
gilaryaraujo12,kwena1,1-0,C43,Russian Game: Modern Attack
mmalchow,gilaryaraujo12,1-0,D00,Queen's Pawn Game: Mason Attack
gilaryaraujo12,Tessalop,1-0,B13,Caro-Kann Defense: Exchange Variation
gilaryaraujo12,KDF50,1-0,B32,Sicilian Defense: Open
gilaryaraujo12,YersultanK,1-0,C44,Scotch Game: Scotch Gambit
Abdul_Ghaffar_Baloch,gilaryaraujo12,0-1,C47,Four Knights Game: Scotch Variation Accepted
Artem196718,gilaryaraujo12,1-0,D30,Queen's Gambit Declined
gilaryaraujo12,kalinic13,0-1,B32,Sicilian Defense: Lwenthal Variation
temir10,gilaryaraujo12,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
a2takan,gilaryaraujo12,0-1,C50,Four Knights Game: Italian Variation
Mitko1310,gilaryaraujo12,1/2-1/2,C57,"Italian Game: Two Knights Defense, Knight Attack, Normal Variation"
gilaryaraujo12,rajeshharane73,1-0,C41,Philidor Defense: Morphy Gambit
gilaryaraujo12,Lenaderl,1-0,C21,Center Game: Kieseritzky Variation
gagik_kirakosyan,gilaryaraujo12,1-0,D35,Queen's Gambit Declined: Normal Defense
rekin219,gilaryaraujo12,0-1,C34,King's Gambit Accepted: MacLeod Defense
gilaryaraujo12,jeisonJesus,1-0,B00,Pirc Defense
jeisonJesus,gilaryaraujo12,0-1,A00,Grob
gilaryaraujo12,Kishibay_Sabina,0-1,A41,King's Pawn Game: Marczy Defense
gilaryaraujo12,raf2503,0-1,C02,"French Defense: Advance Variation, Euwe Variation"
gilaryaraujo12,aslan51,0-1,C44,Scotch Game: Scotch Gambit
carlettonational,gilaryaraujo12,0-1,D50,Queen's Gambit Declined: Modern Variation
gilaryaraujo12,inimino,1-0,C21,Center Game: Kieseritzky Variation
gilaryaraujo12,johnnyboi27,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
Zeraddar,gilaryaraujo12,1-0,C40,Elephant Gambit: Paulsen Countergambit
mohamedkhaledalgohar,gilaryaraujo12,1-0,C48,Four Knights Game: Spanish Variation
gilaryaraujo12,cmnd41,0-1,C44,"Scotch Game: Scotch Gambit, Sarratt Variation"
cmnd41,gilaryaraujo12,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
VonAdam,gilaryaraujo12,1-0,C42,Russian Game
galassigoacomo,gilaryaraujo12,1-0,C43,Russian Game: Modern Attack
tzha,gilaryaraujo12,1/2-1/2,C48,Four Knights Game: Spanish Variation
