Blancas,Negras,Result,ECO,Opening
joseperezf,guadajg,1-0,B50,Sicilian Defense: Delayed Alapin
guadajg,alexsanchez,0-1,-1,-1
MAUTITUD,guadajg,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
guadajg,GIOVANNYhrithik7896,1-0,C44,"Scotch Game: Scotch Gambit, Kingside Variation"
carlbc84,guadajg,0-1,B80,Sicilian Defense: Scheveningen Variation
guadajg,jeffren10,1-0,B00,Owen Defense
guadajg,ShAbD_124,0-1,B00,Owen Defense
steventb,guadajg,0-1,A00,Van't Kruijs
guadajg,Yurapixterev,0-1,B21,Sicilian Defense: Morphy Gambit
N179,guadajg,1-0,B23,Sicilian Defense: Closed
guadajg,parveznipu,1-0,B01,Scandinavian Defense: Main Line
Spiridon,guadajg,1-0,B21,Sicilian Defense: Smith-Morra Gambit
guadajg,douglasabreu,0-1,C45,Scotch Game: Modern Defense
vladsuar,guadajg,0-1,D00,Queen's Pawn Game: Mason Variation
guadajg,Jose_Barreto,0-1,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
douglasabreu,guadajg,1-0,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
guadajg,Jose_Barreto,1-0,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
guadajg,oscarhernadez,1/2-1/2,B42,"Sicilian Defense: Kan Variation, Modern Variation"
douglasabreu,guadajg,0-1,-1,-1
jeffren10,guadajg,1-0,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
guadajg,vladsuar,0-1,B50,Sicilian Defense
carlbc84,guadajg,1/2-1/2,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
guadajg,jeffren10,1-0,B00,Owen Defense
Alan_Abreu,guadajg,0-1,B53,Sicilian Defense: Chekhover Variation
carlbc84,guadajg,1-0,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
guadajg,Abrilnathaly,1-0,C44,Scotch Game: Scotch Gambit
edwuinb1,guadajg,1-0,B00,King's Pawn
guadajg,jeffren10,0-1,B00,Owen Defense
Williams_Abreu78,guadajg,1-0,B23,Sicilian Defense: Closed
guadajg,oscarhernadez,1-0,B42,"Sicilian Defense: Kan Variation, Modern Variation"
guadajg,AngelLuque,1-0,B00,King's Pawn
oscarhernadez,guadajg,1-0,A04,Zukertort
guadajg,edwuinb1,0-1,-1,-1
vladsuar,guadajg,1-0,A40,Queen's Pawn Game
guadajg,Williams_Abreu78,0-1,-1,-1
MRNOR,guadajg,1-0,B50,Sicilian Defense: Modern Variations
guadajg,KRaSaV4yk,0-1,C01,French Defense: Exchange Variation
Morocho,guadajg,1-0,A04,Zukertort
guadajg,Testator,0-1,C00,French Defense: Knight Variation
guadajg,DkGuy,0-1,B10,Caro-Kann Defense
Chessisjustahobby,guadajg,0-1,A07,King's Indian Attack
guadajg,GriyaArmani,0-1,C00,French Defense: Knight Variation
pablo06,guadajg,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
guadajg,FilipeAdrielMedeiros,1-0,B10,Caro-Kann Defense
tha14,guadajg,1-0,B23,Sicilian Defense: Closed
guadajg,spurv,1-0,B50,"Sicilian Defense: Modern Variations, Tartakower"
Tonatico,guadajg,0-1,B20,Sicilian Defense: Staunton-Cochrane Variation
artsportscience,guadajg,0-1,D05,Queen's Pawn Game: Colle System
guadajg,ElViolentoATR,1-0,B00,Pirc Defense
WHO2003,guadajg,1-0,D37,Queen's Gambit Declined: Vienna Variation
guadajg,Houssein1977,0-1,C00,French Defense: Knight Variation
Luminosity,guadajg,1-0,B23,Sicilian Defense: Closed
guadajg,Edusanzna,0-1,C00,French Defense: Knight Variation
guadajg,simonOfEarth,0-1,C55,Italian Game: Scotch Gambit Declined
kastran,guadajg,0-1,A41,King's Pawn Game: Marczy Defense
nikosi9,guadajg,1-0,C00,French Defense: Rti-Spielmann Attack
guadajg,Buryatka,0-1,C44,Scotch Game: Scotch Gambit
Ayman78,guadajg,0-1,B20,Sicilian Defense: Lasker-Dunne Attack
guadajg,realehsan2000,0-1,C41,Philidor Defense
Edusanzna,guadajg,1-0,B06,Modern Defense
guadajg,nanjaninja,1-0,C01,French Defense: Exchange Variation
guadajg,Williams_Abreu78,0-1,-1,-1
douglasabreu,guadajg,1-0,D03,"Queen's Pawn Game: Torre Attack, Gossip Variation"
Ludovica09,guadajg,1-0,B00,King's Pawn
guadajg,masciuscarlaasen,1-0,C44,Scotch Game
guadajg,LIROVSKY,0-1,-1,-1
guadajg,Aryan_2929,1-0,B10,Caro-Kann Defense
guadajg,Iblesspopes,1-0,B00,Owen Defense
sloper42,guadajg,1-0,D00,Queen's Pawn Game
guadajg,nihitchitre_25,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
