Blancas,Negras,Result,ECO,Opening
jacksilany,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,jacksilany,1-0,D05,Queen's Pawn Game: Colle System
jacksilany,samuel22bastidas,1-0,B23,Sicilian Defense: Grand Prix Attack
jacksilany,briwri7,0-1,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation"
pawnpusher114,jacksilany,1-0,D00,Queen's Pawn Game: Mason Variation
jacksilany,erksous,0-1,C42,Russian Game: Three Knights Game
erksous,jacksilany,0-1,C24,Bishop's : Berlin Defense
jacksilany,erksous,1-0,C45,Scotch Game: Classical Variation
erksous,jacksilany,0-1,C24,Bishop's : Berlin Defense
jacksilany,erksous,1/2-1/2,C45,Scotch Game: Classical Variation
cxrloz2000,jacksilany,0-1,C33,"King's Gambit Accepted: Bishop's Gambit, Maurian Defense"
jacksilany,mcginleyreagan,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Schlechter Variation"
JulioCesarTovar4,jacksilany,0-1,C24,Bishop's : Vienna Hybrid
FJAG_e5,jacksilany,1-0,C23,Bishop's
jacksilany,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
jacksilany,FJAG_e5,1/2-1/2,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C28,"Vienna Game: Stanley Variation, Three Knights Variation"
jacksilany,FJAG_e5,1-0,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C42,Russian Game: Nimzowitsch Attack
jacksilany,FJAG_e5,0-1,B90,Sicilian Defense: Najdorf Variation
FJAG_e5,jacksilany,1-0,C42,Russian Game: Nimzowitsch Attack
Anonymous,jacksilany,0-1,C42,Russian Game: Three Knights Game
jacksilany,Anonymous,1-0,C45,Scotch Game
jchh,jacksilany,1-0,A00,Van Geet
OuchMyBackDADDY,jacksilany,1-0,C42,"Russian Game: Classical Attack, Staunton Variation"
jacksilany,OuchMyBackDADDY,1-0,C40,King's Knight
OuchMyBackDADDY,jacksilany,1-0,D53,Queen's Gambit Declined
jacksilany,OuchMyBackDADDY,1-0,C45,Scotch Game: Schmidt Variation
OuchMyBackDADDY,jacksilany,1-0,C42,"Russian Game: Classical Attack, Staunton Variation"
jeffren10,jacksilany,1-0,C42,Russian Game
jacksilany,cabri007,0-1,B70,"Sicilian Defense: Dragon Variation, Classical Variation"
jacksilany,jeffren10,0-1,B41,Sicilian Defense: Kan Variation
cabri007,jacksilany,1-0,D66,"Queen's Gambit Declined: Orthodox Defense, Fianchetto Variation"
jeffren10,jacksilany,1/2-1/2,C42,Russian Game
jacksilany,cabri007,1-0,B58,Sicilian Defense: Classical Variation
jacksilany,jeffren10,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
cabri007,jacksilany,1/2-1/2,C50,Four Knights Game: Italian Variation
jeffren10,jacksilany,1-0,C42,"Russian Game: Classical Attack, Marshall Variation"
jacksilany,ekalem,1-0,C42,Russian Game
Dristianto,jacksilany,1/2-1/2,C42,Russian Game: Three Knights Game
jacksilany,Dristianto,0-1,B12,Caro-Kann Defense: Advance Variation
janarus2021,jacksilany,0-1,D43,Semi-Slav Defense
gabby1958,jacksilany,0-1,D43,Semi-Slav Defense
jacksilany,hyper0perator,1-0,B00,Pirc Defense
jacksilany,Bipede,1-0,B01,Scandinavian Defense: Modern Variation
eltonio450,jacksilany,1-0,D06,Queen's Gambit Declined: Marshall Defense
jacksilany,tamagrout,1-0,C45,Scotch Game
krassy63,jacksilany,0-1,C21,Center Game: Kieseritzky Variation
RuneVsh,jacksilany,0-1,C24,Bishop's : Berlin Defense
jacksilany,matedani,0-1,C05,"French Defense: Tarrasch Variation, Closed Variation"
stevezhee,jacksilany,0-1,A10,English : Anglo-Scandinavian Defense
hamid40,jacksilany,0-1,C20,King's Pawn Game: Macleod Attack
jacksilany,peralta1979,1-0,C45,Scotch Game
jacksilany,mfs53,0-1,B00,Duras Gambit
Det1963,jacksilany,1-0,D05,Rubinstein
Georg-I,jacksilany,0-1,C57,"Italian Game: Two Knights Defense, Fried Liver Attack"
jacksilany,azardi,0-1,C41,Philidor Defense: Exchange Variation
jacksilany,Dandy020202,1-0,B07,Modern Defense: Geller's System
jacksilany,SytherVenom,1-0,C42,"Russian Game: Classical Attack, Marshall Variation"
IzaMairan,jacksilany,0-1,C42,Russian Game: Classical Attack
jacksilany,Makpev,1-0,C07,"French Defense: Tarrasch Variation, Open System, Schting Line"
Makpev,jacksilany,0-1,C42,Russian Game: Three Knights Game
jacksilany,PawnIntended90,0-1,B90,Sicilian Defense: Najdorf Variation
Jk2tepta1,jacksilany,0-1,C50,"Italian Game: Giuoco Pianissimo, Normal"
foreveri,jacksilany,0-1,D45,Semi-Slav Defense: Main Line
oscarhernadez,jacksilany,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
jacksilany,carlbc84,0-1,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
Gova479,jacksilany,1-0,D20,Queen's Gambit Accepted
oscarhernadez,jacksilany,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
jacksilany,moisesbastidas7822,0-1,B12,Caro-Kann Defense: Advance Variation
jacksilany,mherize,1-0,B40,Sicilian Defense: Four Knights Variation
ReifersonX-X,jacksilany,1-0,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
jacksilany,gilaryaraujo12,1-0,C42,"Russian Game: Classical Attack, Marshall Variation"
Williams_Abreu78,jacksilany,0-1,A01,Nimzo-Larsen Attack: Dutch Variation
jacksilany,ReifersonX-X,0-1,B01,Scandinavian Defense: Main Line
oscarhernadez,jacksilany,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
jacksilany,mnmassari,1-0,B50,Sicilian Defense
cabri007,jacksilany,0-1,-1,-1
jacksilany,gilaryaraujo12,0-1,-1,-1
jacksilany,vladsuar,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
vladsuar,jacksilany,1-0,D00,Queen's Pawn Game: Mason Variation
jacksilany,vladsuar,1-0,B50,Sicilian Defense
guadajg,jacksilany,1-0,C20,King's Pawn Game: King's Head
jacksilany,gilaryaraujo12,0-1,C42,"Russian Game: Classical Attack, Marshall Variation"
mherize,jacksilany,1-0,A00,Mieses
samuel22bastidas,jacksilany,1-0,D05,Queen's Pawn Game: Colle System
jacksilany,moisesbastidas7822,0-1,B15,Caro-Kann Defense: Tartakower Variation
jeffren10,jacksilany,1-0,C42,Russian Game: French Attack
mherize,jacksilany,1-0,A04,Zukertort : Dutch Variation
jacksilany,carlbc84,1-0,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
jacksilany,jeffren10,0-1,B00,Owen Defense
gilaryaraujo12,jacksilany,0-1,C42,"Russian Game: Classical Attack, Marshall Variation"
jacksilany,guadajg,1-0,B90,Sicilian Defense: Najdorf Variation
mherize,jacksilany,1-0,C20,King's Pawn Game: Leonardis Variation
jacksilany,mherize,0-1,C10,"French Defense: Rubinstein Variation, Blackburne Defense"
moisesbastidas7822,jacksilany,1-0,D05,Queen's Pawn Game: Colle System
jacksilany,guadajg,0-1,C00,Queen's Pawn Game: Franco-Sicilian Defense
mherize,jacksilany,1-0,A05,King's Indian Attack
jacksilany,ragrava,1-0,C41,Philidor Defense: Exchange Variation
samuel22bastidas,jacksilany,1-0,D05,Rubinstein
moisesbastidas7822,jacksilany,1-0,D05,Queen's Pawn Game: Colle System
jacksilany,mherize,0-1,C10,"French Defense: Rubinstein Variation, Blackburne Defense"
jacksilany,ragrava,1-0,B40,"Sicilian Defense: French Variation, Normal"
guadajg,jacksilany,1-0,C20,King's Pawn Game: Leonardis Variation
jacksilany,vladsuar,1-0,B27,"Pterodactyl Defense: Western, Rhamphorhynchus"
Alan_Abreu,jacksilany,1-0,C20,"King's Pawn Game: Wayward Queen Attack, Kiddie Countergambit"
DrPennywise,jacksilany,1-0,A00,Clemenz
jacksilany,vladsuar,1-0,B50,Sicilian Defense
DrPennywise,jacksilany,1-0,D02,Queen's Pawn Game: Symmetrical Variation
jacksilany,vladsuar,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
jacksilany,cjop1,0-1,-1,-1
carlbc84,jacksilany,1-0,C42,Russian Game: French Attack
vladsuar,jacksilany,1-0,D00,Queen's Pawn Game: Mason Variation
jacksilany,ReifersonX-X,0-1,B01,Scandinavian Defense: Modern Variation
Elneneasesino,jacksilany,1-0,C14,"French Defense: Classical Variation, Pollock Variation"
jacksilany,ReifersonX-X,0-1,B01,Scandinavian Defense: Main Line
edwuinb1,jacksilany,0-1,C24,Bishop's : Berlin Defense
DrPennywise,jacksilany,1-0,D02,Queen's Pawn Game: Symmetrical Variation
