Blancas,Negras,Result,ECO,Opening
marzochess7,jchh,0-1,C26,Vienna Game: Falkbeer Variation
jchh,jjpineda,1-0,C34,King's Gambit Accepted: MacLeod Defense
jchh,Ca6,1-0,C43,Russian Game: Modern Attack
Shishirperu,jchh,1-0,A04,Zukertort : Sicilian Invitation
juanmercado,jchh,0-1,A00,Mieses
jchh,Ca6,1-0,C34,King's Gambit Accepted: Fischer Defense
JuanMariaCoAragon,jchh,1-0,B40,Sicilian Defense: Marshall Counterattack
Claudio81,jchh,1-0,B23,Sicilian Defense: Closed
jchh,contragambitod5,1-0,C89,Ruy Lopez: Marshall Attack
jeimov,jchh,0-1,A00,Gedult's
jchh,jHonor,1-0,A21,"English : King's English Variation, Reversed Sicilian"
Eloycardenas,jchh,0-1,B21,Sicilian Defense: McDonnell Attack
jchh,SantiagoAyalaAyala,1-0,A10,"English : Anglo-Scandinavian Defense, Lhn Gambit"
Ca6,jchh,1-0,B23,Sicilian Defense: Closed
jchh,Claudio81,1-0,C30,King's Gambit Declined: Queen's Knight Defense
SantiagoAyalaAyala,jchh,0-1,B20,Sicilian Defense
dgomata,jchh,0-1,B40,Sicilian Defense: Delayed Alapin Variation
jchh,SantiagoAyalaAyala,1-0,C21,Center Game: Kieseritzky Variation
JorgeFerrari,jchh,1-0,B40,Sicilian Defense: French Variation
jchh,Eloycardenas,1-0,A21,"English : King's English Variation, Reversed Sicilian"
SantiagoAyalaAyala,jchh,1-0,A48,East Indian Defense
dgomata,jchh,0-1,B40,Sicilian Defense: Delayed Alapin Variation
jchh,juanmercado,1-0,B00,Owen Defense
lestrada30,jchh,1-0,A68,Benoni Defense: Four Pawns Attack
jchh,SANTANA_LUIS,0-1,B01,Scandinavian Defense: Panov Transfer
MachuPicchu_Cusco,jchh,1-0,B23,"Sicilian Defense: Closed, Traditional"
peperux,jchh,1-0,A01,Nimzo-Larsen Attack: Modern Variation
jchh,jandrec,0-1,B06,Modern Defense: Bishop Attack
jchh,ChiquilloMosca,0-1,A40,Modern Defense
JOEL_MARES,jchh,0-1,A00,Van Geet : Sicilian Two Knights
jchh,CoyoteMeister,0-1,A00,Grob : Keene Defense
marzochess7,jchh,1-0,B33,"Sicilian Defense: Lasker-Pelikan Variation, Exchange Variation"
jchh,tamtakos01,1-0,D43,Semi-Slav Defense
Echequien,jchh,0-1,D26,"Queen's Gambit Accepted: Normal Variation, Traditional System"
jchh,miss_pastafrola,0-1,A53,Old Indian Defense
elshan1985,jchh,1-0,A07,King's Indian Attack
jchh,lambologue,1-0,E61,King's Indian Defense
ogromariatorres,jchh,0-1,C00,French Defense
jchh,KromoRejo,1-0,A28,"English : King's English Variation, Four Knights Variation"
teruzor,jchh,0-1,A46,Indian Defense: London System
perpixel,jchh,0-1,B23,"Sicilian Defense: Closed, Traditional"
maksimuskin3,jchh,0-1,B32,Sicilian Defense: Franco-Sicilian Variation
jchh,saraguato,1-0,B07,Pirc Defense: Byrne Variation
CapitalGainsTax,jchh,0-1,A45,Indian Defense
jchh,Mikefreeman,0-1,A10,English : Great Snake Variation
