Blancas,Negras,Result,ECO,Opening
A_DYSTOPIAN,jeffren10,1-0,A01,Nimzo-Larsen Attack: Indian Variation
Margar88,jeffren10,1-0,B00,Owen Defense: Smith Gambit
jeffren10,getSwerved,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
jeffren10,ChenteInsane,0-1,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
iphunt,jeffren10,1-0,E32,Nimzo-Indian Defense: Classical Variation
jeffren10,FedePascua,1-0,B44,Sicilian Defense: Taimanov Variation
jeffren10,Guxtave,0-1,C41,Philidor Defense
Irina1968,jeffren10,1-0,B00,Owen Defense
jeffren10,madalini,0-1,B01,Scandinavian Defense
jeffren10,Noakanoi,0-1,C50,"Italian Game: Giuoco Pianissimo, Normal"
SunToken,jeffren10,1-0,B00,Owen Defense
giacomoscac,jeffren10,1-0,A18,English : Mikenas-Carls Variation
jeffren10,abdallah_altantawy,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation"
ano2003,jeffren10,1-0,B00,King's Pawn
jeffren10,Eminent_Seed,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
Eminent_Seed,jeffren10,0-1,B00,Owen Defense
jeffren10,coz8280,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
coz8280,jeffren10,1-0,B00,Owen Defense
jeffren10,coz8280,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
coz8280,jeffren10,1-0,B00,Owen Defense
jeffren10,coz8280,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
coz8280,jeffren10,1-0,B00,Owen Defense
jeffren10,coz8280,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
coz8280,jeffren10,1-0,C00,French Defense: Normal Variation
jeffren10,coz8280,0-1,B90,"Sicilian Defense: Scheveningen Variation, English Attack"
coz8280,jeffren10,1-0,B00,Owen Defense
udin_master,jeffren10,1-0,B00,Owen Defense
jeffren10,Jeraldvillarin,0-1,B32,Sicilian Defense: Lwenthal Variation
jeffren10,Ars77,1-0,B10,Caro-Kann Defense: Two Knights Attack
jeffren10,gaypeople,0-1,B06,Modern Defense
Harry456,jeffren10,0-1,B00,Owen Defense
karlosx123,jeffren10,1-0,E43,Nimzo-Indian Defense: St. Petersburg Variation
jeffren10,karlosx123,1-0,B10,Caro-Kann Defense: Two Knights Attack
Shivang_Singh,jeffren10,0-1,B00,Owen Defense
jeffren10,chesslori,0-1,C00,French Defense: Chigorin Variation
basjo,jeffren10,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
Irina1968,jeffren10,1-0,B00,Owen Defense
antazhi8,jeffren10,0-1,E20,Nimzo-Indian Defense
jeffren10,Maxwello_o,0-1,B00,Owen Defense
jeffren10,Zakutso_Nemesis,0-1,B01,Scandinavian Defense
jeffren10,Bella-Stella,1-0,B10,Caro-Kann Defense: Two Knights Attack
Old_Sicilian,jeffren10,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
sech001,jeffren10,1-0,A45,Indian Defense
jeffren10,mhikz124,1-0,B10,Caro-Kann Defense: Two Knights Attack
NikolayKZ,jeffren10,1-0,B00,Owen Defense
vsj007,jeffren10,0-1,B00,Owen Defense
jeffren10,Wissso,0-1,B10,Caro-Kann Defense: Two Knights Attack
jdonnistheman,jeffren10,1-0,B00,Owen Defense
jeffren10,VVV7,1-0,C00,French Defense: Chigorin Variation
jeffren10,Paul87,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
jeffren10,balance999,1-0,B06,"Modern Defense: Two Knights Variation, Suttles Variation"
TIMSONCHESSQZ,jeffren10,1-0,A00,Van't Kruijs
yozur,jeffren10,0-1,A47,Queen's Indian Defense
jeffren10,BBony75,0-1,B00,Ware Defense
BBony75,jeffren10,0-1,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation"
jeffren10,BBony75,1-0,B00,Ware Defense
BBony75,jeffren10,1-0,E12,"Queen's Indian Defense: Kasparov-Petrosian Variation, Andersson Variation"
jeffren10,BBony75,1-0,B00,Ware Defense
BBony75,jeffren10,0-1,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
jeffren10,AgusAppes,1-0,B00,Owen Defense
ArdaGenc,jeffren10,1-0,B00,Owen Defense
jeffren10,LoveAndDoWhatUWant,0-1,B00,Rat Defense: Antal Defense
Anujmgr,jeffren10,1-0,A46,Torre Attack
afterbkk,jeffren10,0-1,A00,Hungarian : Slav Formation
jeffren10,afterbkk,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
afterbkk,jeffren10,1-0,A04,Zukertort : Queenside Fianchetto Variation
jeffren10,afterbkk,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
Pawel7118,jeffren10,0-1,A04,Zukertort : Queenside Fianchetto Variation
d2-r2,jeffren10,0-1,A45,Indian Defense
SpacoRegina,jeffren10,1-0,A02,Bird
jeffren10,SpacoRegina,1-0,B00,Duras Gambit
JoWiDa,jeffren10,1-0,B00,Owen Defense
jeffren10,patricio120401,1-0,C20,King's Pawn Game: King's Head
Onur2008onur,jeffren10,1-0,A04,Zukertort : Queenside Fianchetto Variation
jeffren10,IONLYSELLYEAST,1-0,C50,"Italian Game: Giuoco Pianissimo, Normal"
jeffren10,vrugu,0-1,C50,"Italian Game: Giuoco Pianissimo, Normal"
mcgi2018,jeffren10,1-0,A00,Van't Kruijs
jeffren10,mcgi2018,0-1,C00,French Defense: Chigorin Variation
mcgi2018,jeffren10,1-0,A00,Van't Kruijs
jeffren10,mcgi2018,1-0,C00,French Defense: Chigorin Variation
mcgi2018,jeffren10,0-1,A00,Van't Kruijs
jeffren10,turk321,0-1,C00,French Defense: Chigorin Variation
turk321,jeffren10,1-0,A00,Van't Kruijs
jeffren10,HABACAPA,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack, Anti-English"
HABACAPA,jeffren10,0-1,B00,Owen Defense
jeffren10,dahen-soran,1-0,C00,French Defense: Chigorin Variation
jeffren10,A_Karthik,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
ChessTrimmer,jeffren10,0-1,B00,Owen Defense
jeffren10,ashakirov,0-1,C00,French Defense: Chigorin Variation
jeffren10,Semmelgreis,0-1,B07,Czech Defense
Elshad_64,jeffren10,1-0,A00,Saragossa
jeffren10,fabianro,1-0,B10,Caro-Kann Defense: Two Knights Attack
Lucky_Fun_Player,jeffren10,1-0,A45,Indian Defense
ikigai99,jeffren10,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
Fantamas,jeffren10,1-0,B00,Owen Defense
jeffren10,Gonk1976,0-1,B00,"Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted"
Ugur-ben,jeffren10,1-0,A00,Mieses
jeffren10,Ugur-ben,0-1,C40,Elephant Gambit: Paulsen Countergambit
Ugur-ben,jeffren10,1/2-1/2,A00,Mieses
jeffren10,krikant,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
stellachess1world,jeffren10,1/2-1/2,B00,Owen Defense
jeffren10,Kaspas9,0-1,B01,Scandinavian Defense: Main Line
jeffren10,BCEX_HAKPOEM,0-1,C00,French Defense: Chigorin Variation
Loperpaardje,jeffren10,0-1,B00,Owen Defense
jeffren10,FireTempest03,1-0,C20,King's Pawn Game
FireTempest03,jeffren10,0-1,A45,Indian Defense
FireTempest03,jeffren10,0-1,A45,Indian Defense
jeffren10,ad190,1-0,B01,Scandinavian Defense: Main Line
jeffren10,Nithieshchess52,1-0,B10,Caro-Kann Defense: Two Knights Attack
lonethinker,jeffren10,0-1,A01,Nimzo-Larsen Attack: Indian Variation
AlphaZero_02,jeffren10,1-0,B00,Owen Defense
DooMzd4y,jeffren10,0-1,A45,Indian Defense
Radowy,jeffren10,1-0,E40,Nimzo-Indian Defense: Normal Line
jeffren10,Radowy,1-0,C50,Italian Game: Giuoco Pianissimo
Radowy,jeffren10,0-1,E43,Nimzo-Indian Defense: St. Petersburg Variation
jeffren10,Radowy,0-1,C50,Italian Game: Giuoco Pianissimo
Radowy,jeffren10,0-1,E43,Nimzo-Indian Defense: St. Petersburg Variation
jeffren10,Radowy,1-0,C50,Italian Game: Giuoco Pianissimo
jeffren10,Juan2002,1-0,B56,Sicilian Defense: Classical Variation
Irina1968,jeffren10,0-1,B00,Owen Defense
jeffren10,magnusmessi,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
jeffren10,Qitty,0-1,C00,French Defense: Chigorin Variation
vt_tcagdas,jeffren10,0-1,B00,Owen Defense
jeffren10,LiefKK,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
BeQuantumChess,jeffren10,1/2-1/2,A00,Hungarian
Guest1000,jeffren10,1-0,A00,Mieses
jeffren10,Alfortaliza_30,0-1,B01,Scandinavian Defense: Modern Variation
Alfortaliza_30,jeffren10,0-1,E21,Nimzo-Indian Defense: Three Knights Variation
jeffren10,Show_No_Mercy,0-1,C50,"Italian Game: Giuoco Pianissimo, Lucchini Gambit"
kentuckian,jeffren10,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
jeffren10,pavel995,1-0,B10,Caro-Kann Defense: Two Knights Attack
mysavin,jeffren10,1-0,E40,Nimzo-Indian Defense: Normal Line
jeffren10,mysavin,1-0,B32,Sicilian Defense: Accelerated Dragon
mysavin,jeffren10,1-0,E40,Nimzo-Indian Defense: Normal Line
jeffren10,mysavin,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
jeffren10,GMSvenni,0-1,C50,"Italian Game: Giuoco Pianissimo, Normal"
BV-VS-P,jeffren10,0-1,B00,Owen Defense
CarlosEstevez,jeffren10,1-0,E20,Nimzo-Indian Defense
jeffren10,aliiranian,1-0,C00,French Defense: Chigorin Variation
Torbe,jeffren10,0-1,B00,Owen Defense
jeffren10,akidiva,0-1,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
chaoucheadel,jeffren10,1-0,B00,Owen Defense
jeffren10,satranckral77,0-1,B06,Modern Defense
jeffren10,jlmb,1-0,B32,Sicilian Defense: Lwenthal Variation
dnasap,jeffren10,1-0,B00,Owen Defense
salinasja8086,jeffren10,1-0,B00,Owen Defense
jeffren10,Adhar,0-1,B00,"Nimzowitsch Defense: Kennedy Variation, Linksspringer Variation"
jeffren10,sajzare,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
sandy_detoyato,jeffren10,0-1,A05,Zukertort
jeffren10,Caramba99,0-1,B32,Sicilian Defense: Accelerated Dragon
