Blancas,Negras,Result,ECO,Opening
JanF1N,lacreogd,1-0,C00,French Defense: Knight Variation
lacreogd,monpoeme,0-1,B00,Nimzowitsch Defense: Williams Variation
lacreogd,zweb,0-1,B30,Sicilian Defense: Old Sicilian
Evgenik1984,lacreogd,0-1,C00,French Defense: Knight Variation
lacreogd,Furqat0105,1-0,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
zweb,lacreogd,0-1,C10,"French Defense: Rubinstein Variation, Fort Knox Variation"
lacreogd,r41mu,1-0,C50,Italian Game
lacreogd,kian55,1-0,B15,Caro-Kann Defense
MARCOPOLODY,lacreogd,0-1,C00,French Defense: Knight Variation
A7767835532,lacreogd,0-1,A60,Benoni Defense: Modern Variation
lacreogd,Tks_Chapt,1-0,C01,French Defense: Exchange Variation
lacreogd,yoshae,0-1,B02,Alekhine Defense: Two Pawn Attack
iksanov66,lacreogd,0-1,C00,French Defense: Knight Variation
loboestepario40,lacreogd,0-1,C00,French Defense
lacreogd,SteveBevan,1-0,C53,"Italian Game: Classical Variation, Center Attack"
WeeBitHillAndGlen2,lacreogd,1-0,C00,French Defense: King's Indian Attack
lacreogd,argirios,1-0,B30,Sicilian Defense: Old Sicilian
lacreogd,Hoplaa,1-0,C00,French Defense: Knight Variation
ajajajaj,lacreogd,0-1,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
lacreogd,Bevve,0-1,B50,Sicilian Defense: Delayed Alapin
Aidemoi,lacreogd,1-0,C10,"French Defense: Rubinstein Variation, Fort Knox Variation"
FrancoisC,lacreogd,0-1,C00,French Defense: Steiner Variation
lacreogd,corndogs,0-1,B02,Alekhine Defense: Two Pawn Attack
sipkauros,lacreogd,0-1,C00,French Defense: Knight Variation
lacreogd,sipkauros,1/2-1/2,B30,Sicilian Defense: Old Sicilian
hjvhjvhjvhjvhj,lacreogd,0-1,A40,Horwitz Defense
lacreogd,Yakzi,0-1,C01,French Defense: Exchange Variation
Mahdiiovski,lacreogd,1-0,A45,Indian Defense
lacreogd,win62,0-1,C50,Italian Game: Hungarian Defense
