Blancas,Negras,Result,ECO,Opening
larreal,ludi_konj,0-1,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
emansino,larreal,0-1,C50,"Italian Game: Giuoco Pianissimo, Canal Variation"
larreal,Dalahast,1-0,B21,Sicilian Defense: Smith-Morra Gambit
DrAlvaroAgon,larreal,1-0,A52,Indian Defense: Budapest Defense
FutureDisorder,larreal,0-1,D05,Queen's Pawn Game: Colle System
larreal,Seth_Harmon,0-1,B01,Scandinavian Defense: Modern Variation
sasan1343,larreal,1-0,C42,Russian Game: Italian Variation
erlan67,larreal,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
mustaphasla,larreal,1-0,C44,"Scotch Game: Scotch Gambit, Advance Variation"
larreal,mustaphasla,1-0,C21,Center Game: Kieseritzky Variation
larreal,Tohidvarmaziary_1339,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
so4ev,larreal,1-0,C44,"Scotch Game: Gring Gambit, Double Pawn Sacrifice"
larreal,rayorama2,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Chicago Defense"
larreal,EddieM,1-0,C02,"French Defense: Advance Variation, Milner-Barry Gambit"
mauly,larreal,0-1,C44,Ponziani : Jaenisch Counterattack
larreal,dalmonn,1-0,C44,Scotch Game: Haxo Gambit
ibragimsulumov,larreal,0-1,C45,Scotch Game: Steinitz Variation
SuperSpreader22,larreal,1-0,A22,"English : King's English Variation, Two Knights Variation"
Hilde60,larreal,0-1,E18,"Queen's Indian Defense: Classical Variation, Traditional Variation"
larreal,Bobrikofff,0-1,B40,Sicilian Defense: Marshall Counterattack
larreal,Sasan73,1-0,C20,Center Game
MarkusCalatrava,larreal,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
larreal,kassandra11228,1-0,C44,Scotch Game: Haxo Gambit
Igorstepanovvvv,larreal,0-1,C57,"Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line"
larreal,Malinkus,1-0,C44,Scotch Game: Scotch Gambit
larreal,egortopor,1-0,C21,Center Game: Kieseritzky Variation
egortopor,larreal,0-1,C80,Ruy Lopez: Open
larreal,Mohammad400,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
