Blancas,Negras,Result,ECO,Opening
lisyender,lichess AI level 4,1-0,B10,Caro-Kann Defense
MarianoC79,lisyender,1/2-1/2,B06,Modern Defense
lisyender,wild3000,1-0,B00,Owen Defense
folita,lisyender,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
lisyender,Anonymous,1-0,C50,Italian Game
Anonymous,lisyender,1/2-1/2,C47,Four Knights Game: Scotch Variation Accepted
estaciopernambuco,lisyender,1-0,A00,Hungarian
lisyender,PerroLobo107,1/2-1/2,C26,"Bishop's : Vienna Hybrid, Spielmann Attack"
lisyender,folita,0-1,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
folita,lisyender,1/2-1/2,C47,Four Knights Game
lisyender,Titojoe,1-0,B20,Sicilian Defense
chessbia,lisyender,1-0,A00,Saragossa
lisyender,TheSnail007,1-0,B10,Caro-Kann Defense: Breyer Variation
juanjofigue97,lisyender,0-1,A48,East Indian Defense
lisyender,Qqwerty1234,1-0,C41,Philidor Defense: Lion Variation
Samhouri,lisyender,1-0,A22,"English : King's English Variation, Two Knights Variation"
lisyender,CoachJohn,0-1,B10,Caro-Kann Defense: Breyer Variation
GideonosKing,lisyender,1/2-1/2,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
camry28,lisyender,0-1,C44,King's Knight : Konstantinopolsky
lisyender,martostef,1-0,B07,Pirc Defense
martostef,lisyender,0-1,A45,Indian Defense
lisyender,lichess AI level 2,0-1,B10,Caro-Kann Defense: Two Knights Attack
lisyender,lichess AI level 1,1-0,C20,King's Pawn Game
plinio1979,lisyender,0-1,C60,Ruy Lopez: Cozio Defense
lisyender,plinio1979,1-0,B32,Sicilian Defense: Lwenthal Variation
plinio1979,lisyender,0-1,B30,Sicilian Defense: Old Sicilian
MarianoRG,lisyender,1-0,C53,"Italian Game: Classical Variation, La Bourdonnais Variation"
F4bri98-You-Tube,lisyender,0-1,A01,Nimzo-Larsen Attack: Modern Variation
lisyender,Yamin123456789,1-0,B01,Scandinavian Defense
lisyender,PawnDespair,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
LourChess2109,lisyender,1/2-1/2,D01,Rapport-Jobava System
lisyender,lichess AI level 3,1-0,B30,Sicilian Defense: Old Sicilian
lisyender,MrWalker,1-0,B02,Alekhine Defense: Marczy Variation
andersljon,lisyender,1/2-1/2,A00,Hungarian
leonunez82,lisyender,0-1,C02,French Defense: Advance Variation
lisyender,AbajoElELo,0-1,C41,Philidor Defense
lisyender,besfighter,1-0,B54,Sicilian Defense: Accelerated Dragon
chbmb,lisyender,0-1,A52,Indian Defense: Budapest Defense
lisyender,Wisserke,0-1,C53,"Italian Game: Classical Variation, Giuoco Pianissimo"
huayra36,lisyender,0-1,C26,Vienna Game: Falkbeer Variation
lisyender,fluxus2020,1-0,B02,Alekhine Defense: Marczy Variation
Mtalsac10,lisyender,1-0,A25,"English : King's English Variation, Reversed Closed Sicilian"
lisyender,Rebecajf_17,1-0,C00,French Defense: King's Indian Attack
kleinerSpinner,lisyender,0-1,C24,Bishop's : Vienna Hybrid
Nawazbaig,lisyender,0-1,A28,"English : King's English Variation, Four Knights Variation, Quiet Line"
lisyender,s_1704,1-0,C40,Elephant Gambit
lisyender,darkobalov,1-0,B10,Caro-Kann Defense: Breyer Variation
volodya09,lisyender,0-1,C47,Four Knights Game: Halloween Gambit
Sintropic,lisyender,0-1,A48,London System
lisyender,AndKul,1/2-1/2,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Castle_by_hand,lisyender,0-1,A05,Zukertort : Nimzo-Larsen Variation
lisyender,Moskva2117,1-0,B84,"Sicilian Defense: Scheveningen Variation, Classical Variation"
lisyender,AMS_MENORCA,1-0,B40,Sicilian Defense: Four Knights Variation
Sharkov,lisyender,1-0,C60,Ruy Lopez: Cozio Defense
lisyender,KHSt,1-0,C55,"Italian Game: Two Knights Defense, Modern Bishop's"
lisyender,christianscho,0-1,B06,Modern Defense: Standard Line
lisyender,Mirsad111,1-0,B10,Caro-Kann Defense: Breyer Variation
Dondoctor,lisyender,0-1,A05,King's Indian Attack: Symmetrical Defense
Kaisermantel-01,lisyender,1-0,A48,Torre Attack
lisyender,martostef,1/2-1/2,B07,Pirc Defense
lisyender,lichess AI level 4,1-0,B40,Sicilian Defense: French Variation
MarianoRG,lisyender,1/2-1/2,B30,Sicilian Defense: Old Sicilian
lisyender,lichess AI level 1,1-0,A48,East Indian Defense
leonunez82,lisyender,0-1,B01,Scandinavian Defense
carlosek,lisyender,1-0,B13,Caro-Kann Defense: Exchange Variation
martostef,lisyender,1/2-1/2,A45,Indian Defense
lichess AI level 4,lisyender,1-0,D00,Queen's Pawn Game: Mason Variation
leonunez82,lisyender,1/2-1/2,C45,Scotch Game: Mieses Variation
lichess AI level 4,lisyender,0-1,A13,English : Agincourt Defense
lisyender,lichess AI level 1,0-1,C20,King's Pawn Game
lisyender,martostef,1/2-1/2,B07,Pirc Defense
Wazzzzzup,lisyender,0-1,A05,King's Indian Attack: Symmetrical Defense
lisyender,poval,1-0,B40,Sicilian Defense: French Variation
VINAR1,lisyender,0-1,E91,King's Indian Defense: Orthodox Variation
lisyender,braulio66,1-0,B75,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Belezky Line"
lisyender,krivic,1-0,C53,Italian Game: Classical Variation
LeRoideFeu,lisyender,0-1,C20,King's Pawn Game: Macleod Attack
Sirforksalot,lisyender,1-0,E91,King's Indian Defense: Orthodox Variation
lisyender,dumau,0-1,B46,Sicilian Defense: Taimanov Variation
lisyender,Nickdina,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
ExpresoNocturno,lisyender,0-1,A05,King's Indian Attack: Symmetrical Defense
Gaby2013,lisyender,1-0,A49,Indian Defense: Przepiorka Variation
lisyender,Luca1110,0-1,B10,Caro-Kann Defense: Breyer Variation
lisyender,toffee2017,1-0,B15,Caro-Kann Defense: Gurgenidze System
lisyender,hat123em,1-0,B40,Sicilian Defense: French Variation
ReyxRey,lisyender,0-1,A48,East Indian Defense
Computercheat,lisyender,1-0,D01,"Queen's Pawn Game: Veresov Attack, Two Knights System"
