Blancas,Negras,Result,ECO,Opening
Paul_443_bill,luisangelbriceno,1-0,A46,Indian Defense: Knights Variation
vietnq,luisangelbriceno,1-0,C50,Italian Game
luisangelbriceno,saki3,0-1,C00,French Defense: Bird Invitation
AcidicEgo12,luisangelbriceno,1-0,D00,Blackmar-Diemer Gambit: Ryder Gambit
luisangelbriceno,VovaMigovitch,1/2-1/2,A45,Queen's Pawn Game: Chigorin Variation
FJAG_e4,luisangelbriceno,1-0,C50,"Italian Game: Giuoco Pianissimo, Italian Four Knights Variation"
Jacksi_guada,luisangelbriceno,1-0,C45,Scotch Game
luisangelbriceno,valentinaverdu,1-0,C41,Philidor Defense
gilaryaraujo12,luisangelbriceno,1-0,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
yuneiker,luisangelbriceno,1-0,C47,Four Knights Game: Italian Variation
FJAG_e4,luisangelbriceno,1-0,C53,"Italian Game: Classical Variation, Center Attack"
luisangelbriceno,yuneiker,1/2-1/2,C50,Italian Game: Anti-Fried Liver Defense
gilaryaraujo12,luisangelbriceno,1-0,C45,"Scotch Game: Classical Variation, Intermezzo Variation"
luisangelbriceno,valentinaverdu,1/2-1/2,C41,Philidor Defense
AbrilEspinoza,luisangelbriceno,0-1,-1,-1
Skyelight,luisangelbriceno,1-0,C00,French Defense: Normal Variation
luisangelbriceno,Reifer,0-1,B02,Alekhine Defense: Scandinavian Variation
yoeldaboin,luisangelbriceno,0-1,C65,Ruy Lopez: Berlin Defense
gilaryaraujo12,luisangelbriceno,1/2-1/2,C45,Scotch Game
luisangelbriceno,FJAG_e4,0-1,B23,Sicilian Defense: Closed
luisangelbriceno,Dulceluque,1-0,B01,Scandinavian Defense
gilaryaraujo12,luisangelbriceno,1-0,C45,Scotch Game
luisangelbriceno,Yenderson,0-1,C47,Four Knights Game: Italian Variation
luisangelbriceno,Christian03,1-0,B02,Alekhine Defense: Scandinavian Variation
FJAG_e4,luisangelbriceno,1-0,C42,Russian Game: Damiano Variation
Dariva7,luisangelbriceno,1-0,C26,Vienna Game: Vienna Gambit
luisangelbriceno,cakalan,0-1,A47,Queen's Indian Defense
