Blancas,Negras,Result,ECO,Opening
mariubaldo135,havermeyer,0-1,D02,Queen's Pawn Game: Chigorin Variation
syaiful1184,mariubaldo135,0-1,B30,Sicilian Defense: Old Sicilian
gunei1,mariubaldo135,1-0,D00,Queen's Pawn Game: Mason Variation
mariubaldo135,Roolando,0-1,D02,Queen's Pawn Game: London System
Usubkochoi,mariubaldo135,0-1,D02,Queen's Pawn Game: London System
mariubaldo135,rogerio_cxre,0-1,A43,Benoni Defense: Old Benoni
Berserk_91,mariubaldo135,0-1,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
i_play_to_lose,mariubaldo135,0-1,B26,Sicilian Defense: Closed
mariubaldo135,stanislaski,1-0,D02,Queen's Pawn Game: Chigorin Variation
mariubaldo135,tonyleouf,0-1,D02,Queen's Pawn Game: Zukertort Variation
mariubaldo135,Valber53,0-1,A40,Englund Gambit Complex Declined
Lichcassius,mariubaldo135,0-1,D64,"Queen's Gambit Declined: Orthodox Defense, Rubinstein Attack"
Khant1,mariubaldo135,1-0,D10,Slav Defense
mariubaldo135,edostyle,0-1,D02,Queen's Pawn Game: Zukertort Variation
mariubaldo135,EliecerGV,1-0,A57,Benko Gambit Accepted: Pawn Return Variation
bipioneer,mariubaldo135,1-0,B37,"Sicilian Defense: Accelerated Fianchetto, Marczy Bind"
mariubaldo135,CoachMcGuirk,0-1,D02,Queen's Pawn Game: Zukertort Variation
Jtg460289,mariubaldo135,1-0,D02,Queen's Pawn Game: Symmetrical Variation
fakir-123,mariubaldo135,0-1,D02,Queen's Pawn Game: London System
mariubaldo135,yqueseyo,1/2-1/2,D47,"Semi-Slav Defense: Meran Variation, Wade Variation"
guntur_10,mariubaldo135,0-1,A56,"Grnfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch"
mariubaldo135,marbo,0-1,A40,Mikenas Defense: Lithuanian Variation
ansorzakaria,mariubaldo135,0-1,B33,Sicilian Defense: Open
mariubaldo135,Emasculator,1-0,A73,"Benoni Defense: Classical Variation, Main Line"
mariubaldo135,Verypoorplayerrussia,0-1,E77,King's Indian Defense: Four Pawns Attack
Lam_Sumon,mariubaldo135,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
yeshka,mariubaldo135,1-0,D02,Queen's Pawn Game: Symmetrical Variation
mariubaldo135,happyface20,1-0,D02,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav"
Maricone,mariubaldo135,1-0,B17,Caro-Kann Defense: Karpov Variation
mariubaldo135,parjo,0-1,D94,"Grnfeld Defense: Three Knights Variation, Burille Variation"
mariubaldo135,barakan,1-0,D02,"Queen's Gambit Declined: Baltic Defense, Pseudo-Slav"
mariubaldo135,Ranger_Z,1-0,A51,Indian Defense: Budapest Defense
IvanVigo,mariubaldo135,0-1,B21,Sicilian Defense: McDonnell Attack
Mangus_Falsen,mariubaldo135,1-0,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
mariubaldo135,Yivanz64,1/2-1/2,D11,Slav Defense: Modern Line
sudawirat_opg,mariubaldo135,1-0,B30,Sicilian Defense: Old Sicilian
mariubaldo135,Hospitaletinfant,0-1,E98,"King's Indian Defense: Orthodox Variation, Classical System"
Cubrinchi,mariubaldo135,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
mariubaldo135,FCMC,1-0,D85,Grnfeld Defense: Exchange Variation
aderusmana,mariubaldo135,1-0,B32,Sicilian Defense: Accelerated Dragon
mariubaldo135,yarubhawa,1-0,D02,Queen's Pawn Game: Zukertort Variation
PROSPECTO2020,mariubaldo135,0-1,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
mariubaldo135,kahtan7676,0-1,D02,Queen's Pawn Game: Krause Variation
magnesium_calcium6,mariubaldo135,1-0,B33,Sicilian Defense: Open
arif_5,mariubaldo135,0-1,A10,English : Great Snake Variation
agrid1,mariubaldo135,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mariubaldo135,tukau,0-1,B12,Caro-Kann Defense
RafailBRS12345,mariubaldo135,0-1,B30,Sicilian Defense: Old Sicilian
mariubaldo135,rockaudrey,1-0,E10,Indian Defense: Anti-Nimzo-Indian
mariubaldo135,Vimakas-1956_7,0-1,D43,Semi-Slav Defense
Vegasman2,mariubaldo135,1-0,B22,Sicilian Defense: Alapin Variation
mariubaldo135,Stranger533,1-0,D37,Queen's Gambit Declined: Harrwitz Attack
mariubaldo135,ViktorPlayer63,1-0,A51,Indian Defense: Budapest Defense
mariubaldo135,Marcus666,1-0,A53,Old Indian Defense
Knurrhahn,mariubaldo135,1-0,D11,Slav Defense: Bonet Gambit
Sj_31,mariubaldo135,1-0,D06,Queen's Gambit Declined: Marshall Defense
mariubaldo135,aneg41_76,1-0,D10,Slav Defense: Exchange Variation
essammahmoud2017,mariubaldo135,0-1,A21,"English : King's English Variation, Reversed Sicilian"
mariubaldo135,Nobr2018,0-1,D02,Queen's Pawn Game: Zukertort Variation
bourinator,mariubaldo135,1-0,D15,Slav Defense: Geller Gambit
Radogor,mariubaldo135,1-0,D10,Slav Defense
mariubaldo135,cesaralexander,0-1,D15,Slav Defense: Alekhine Variation
chikotay,mariubaldo135,0-1,D01,"Queen's Pawn Game: Veresov Attack, Richter Variation"
mariubaldo135,tukau,1-0,A40,Queen's Pawn Game
mariubaldo135,nomad68,0-1,D02,Queen's Pawn Game: Zukertort Variation
Qvic0,mariubaldo135,1/2-1/2,B24,"Sicilian Defense: Closed, Fianchetto Variation"
fx53,mariubaldo135,0-1,B35,"Sicilian Defense: Accelerated Dragon, Modern Bc4 Variation"
mariubaldo135,Konstantin_Ier,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
mariubaldo135,BZH92,1-0,E12,"Nimzo-Indian Defense: Three Knights Variation, Duchamp Variation"
mariubaldo135,PatoPazz,1-0,E10,Indian Defense: Anti-Nimzo-Indian
jarobyte,mariubaldo135,1-0,B33,Sicilian Defense: Open
mariubaldo135,Rojitas2020,1-0,D06,Queen's Gambit Declined: Marshall Defense
mariubaldo135,Gsamy7,0-1,D31,Semi-Slav Defense: Marshall Gambit
Leo-Ruiz-Zenteno,mariubaldo135,1-0,B38,"Sicilian Defense: Accelerated Dragon, Marczy Bind"
MajorJohsson,mariubaldo135,0-1,D01,Rapport-Jobava System
mariubaldo135,fredinand,1/2-1/2,A40,Modern Defense
hadeed,mariubaldo135,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense"
Eaglesong,mariubaldo135,0-1,B32,Sicilian Defense: Accelerated Dragon
mariubaldo135,joaopaulomaceio,1-0,B12,"Caro-Kann Defense: Advance Variation, Short Variation"
PabloSanchez10,mariubaldo135,1-0,A10,English : Great Snake Variation
mariubaldo135,Alket-Bushi,0-1,D02,Queen's Pawn Game: Zukertort Variation
xxzzxx,mariubaldo135,0-1,D10,Slav Defense: Exchange Variation
junison07,mariubaldo135,1-0,D45,Semi-Slav Defense: Stoltz Variation
mariubaldo135,RAF2358,1-0,A58,Benko Gambit Accepted: Fully Accepted Variation
mariubaldo135,dobryi-1959,1-0,D02,Queen's Pawn Game: Symmetrical Variation
airulanwar499,mariubaldo135,0-1,D03,Queen's Pawn Game: Torre Attack
mariubaldo135,MDeeq,1-0,D02,Queen's Pawn Game: Zukertort Variation
SAMAT-QZ,mariubaldo135,1-0,D10,Slav Defense
mariubaldo135,patok,1/2-1/2,D02,Queen's Pawn Game: Symmetrical Variation
davertabaku,mariubaldo135,0-1,B25,Sicilian Defense: Closed
mariubaldo135,rayyan_baba57,1-0,D38,Queen's Gambit Declined: Ragozin Defense
mariubaldo135,DancingCastle,0-1,A56,"Grnfeld Defense: Three Knights Variation, Burille Variation, Reversed Tarrasch"
RedGangle,mariubaldo135,0-1,D02,Queen's Pawn Game: Symmetrical Variation
Raul67,mariubaldo135,1-0,D10,Slav Defense
mariubaldo135,santiep,0-1,D02,Queen's Pawn Game: Chigorin Variation
khailinh,mariubaldo135,0-1,B33,Sicilian Defense: Open
mariubaldo135,RobertoMiguel1970,1-0,A43,Benoni Defense: Old Benoni
mariubaldo135,sudawirat_opg,1-0,D02,Queen's Pawn Game: London System
sudawirat_opg,mariubaldo135,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mariubaldo135,Massilia1970,1-0,D02,Queen's Pawn Game: London System
AndreasWurzer,mariubaldo135,1-0,B30,Sicilian Defense: Old Sicilian
mariubaldo135,Bugakov,1-0,A40,English Defense
zerub520,mariubaldo135,0-1,D02,Queen's Pawn Game: Symmetrical Variation
mariubaldo135,onoborde,1-0,E98,"King's Indian Defense: Orthodox Variation, Classical System"
mariubaldo135,TherealKingRalf,1/2-1/2,E94,"King's Indian Defense: Orthodox Variation, Positional Defense"
lxna_e,mariubaldo135,0-1,B78,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Old Line"
mariubaldo135,Davedad,0-1,D02,Queen's Pawn Game: Krause Variation
mariubaldo135,OJOQ24,1-0,D15,Slav Defense: Three Knights Variation
BKam,mariubaldo135,0-1,D02,Queen's Pawn Game: London System
mokhir2008,mariubaldo135,1-0,B33,Sicilian Defense: Open
mariubaldo135,OnkelOtto,0-1,E91,King's Indian Defense: Orthodox Variation
mrundersun,mariubaldo135,0-1,D13,Slav Defense: Exchange Variation
mariubaldo135,Tamrin_MCC,1-0,D02,Queen's Pawn Game: Chigorin Variation
mariubaldo135,Lumsdon,1-0,A57,Benko Gambit Accepted: Pawn Return Variation
umb74,mariubaldo135,1-0,D18,"Slav Defense: Czech Variation, Classical System"
mariubaldo135,bontso,1-0,E10,Tarrasch Defense: Symmetrical Variation
mariubaldo135,cris_iian,1/2-1/2,A40,Englund Gambit
Toneek,mariubaldo135,1-0,D03,Queen's Pawn Game: Torre Attack
mariubaldo135,Victor_1945,1-0,A40,Horwitz Defense
giafe,mariubaldo135,0-1,B20,"Sicilian Defense: Wing Gambit, Marshall Variation"
tfgoktas,mariubaldo135,1-0,B30,Sicilian Defense: Old Sicilian
mariubaldo135,AbhisekHere,0-1,A52,"Indian Defense: Budapest Defense, Adler Variation"
Kukac,mariubaldo135,1-0,B22,Sicilian Defense: Alapin Variation
mariubaldo135,raul_hr,1-0,E94,"King's Indian Defense: Orthodox Variation, Positional Defense"
mariubaldo135,budi69,1-0,A56,Benoni Defense
AgentWashington,mariubaldo135,1-0,B32,Sicilian Defense: Open
mariubaldo135,budii_artoo,1-0,D02,Queen's Pawn Game: London System
mutaz1212,mariubaldo135,1-0,A00,Mieses
mariubaldo135,crnobelo,1-0,A40,Modern Defense
RJA1978,mariubaldo135,1/2-1/2,B20,Sicilian Defense
mariubaldo135,StephanBurger,0-1,A57,Benko Gambit: Zaitsev System
kahrimao,mariubaldo135,0-1,A37,"English : Symmetrical Variation, Two Knights Line"
mariubaldo135,fasaabbas2000,1-0,A43,Benoni Defense: Old Benoni
mariubaldo135,Jono_KBPL,1-0,D02,Queen's Pawn Game: Zukertort Variation
any81,mariubaldo135,1-0,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
meedofoad,mariubaldo135,0-1,B32,Sicilian Defense: Open
mariubaldo135,semerikov_y,0-1,A41,Old Indian Defense
mariubaldo135,OrganicMate,1-0,E10,Tarrasch Defense: Symmetrical Variation
cvikla,mariubaldo135,0-1,D45,Semi-Slav Defense: Main Line
izido54,mariubaldo135,1-0,D00,Queen's Pawn Game: Mason Variation
mariubaldo135,izido54,1-0,D02,Queen's Pawn Game: Zukertort Variation
sibudug,mariubaldo135,0-1,A03,Bird : Dutch Variation
mariubaldo135,Ulyanovsk73,1/2-1/2,D15,Slav Defense: Three Knights Variation
mariubaldo135,mostafa2ghanem11,0-1,E94,"King's Indian Defense: Orthodox Variation, Positional Defense"
mariubaldo135,endi25,0-1,D02,Queen's Pawn Game: Zukertort Variation
Kukac,mariubaldo135,1-0,D15,Slav Defense: Three Knights Variation
miguel4175p,mariubaldo135,1-0,B20,Sicilian Defense
ycasas,mariubaldo135,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
mariubaldo135,samyzakzook,0-1,A40,Modern Defense
edilsoncimitarra,mariubaldo135,1-0,B20,Sicilian Defense
ombonk,mariubaldo135,0-1,A20,English : King's English Variation
mariubaldo135,BayesRuler,1-0,A56,Benoni Defense: Hromdka System
mariubaldo135,Rankstein,1-0,A40,Horwitz Defense
mariubaldo135,TheAlexandre,1-0,D37,Queen's Gambit Declined: Barmen Variation
mahendran_dhoni,mariubaldo135,0-1,B20,Sicilian Defense: Staunton-Cochrane Variation
machacan,mariubaldo135,1/2-1/2,D00,Queen's Pawn Game: Mason Attack
mariubaldo135,TheFoldingChessBoard,1/2-1/2,A40,Englund Gambit Complex: Soller Gambit Deferred
budi69,mariubaldo135,1-0,B32,Sicilian Defense: Open
Leonov99,mariubaldo135,1-0,B20,Sicilian Defense: Mengarini Variation
mariubaldo135,CohortCommander,1-0,E60,Neo-Grnfeld Defense: Non- or Delayed Fianchetto
A456A,mariubaldo135,0-1,B21,Sicilian Defense: McDonnell Attack
mariubaldo135,NoYonGa,0-1,B12,Caro-Kann Defense
tpadhee,mariubaldo135,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mariubaldo135,Laputeraa,1-0,A50,Slav Indian
mariubaldo135,pinkupenXD,0-1,E12,Queen's Indian Defense: Kasparov Variation
Herdiansyahyyn6,mariubaldo135,0-1,D10,Slav Defense
mariubaldo135,saiprasad,0-1,A40,Modern Defense
mariubaldo135,Matias_Artigue-2020,1-0,D02,Queen's Pawn Game: London System
altaerbird,mariubaldo135,0-1,D00,Queen's Pawn Game
mariubaldo135,PNWFish,0-1,D37,Queen's Gambit Declined: Three Knights Variation
khailinh,mariubaldo135,1/2-1/2,B34,"Sicilian Defense: Accelerated Dragon, Exchange Variation"
BigLose,mariubaldo135,0-1,A00,Polish : Baltic Defense
MaxLan,mariubaldo135,0-1,A08,King's Indian Attack: French Variation
alexevt,mariubaldo135,0-1,D13,Slav Defense: Exchange Variation
masih695,mariubaldo135,0-1,B20,Sicilian Defense: Staunton-Cochrane Variation
