Blancas,Negras,Result,ECO,Opening
mnmassari,ffred1301,0-1,A40,Mikenas Defense
hacknsac,mnmassari,1-0,B23,Sicilian Defense: Closed
mnmassari,Qverzer,0-1,D04,Queen's Pawn Game: Colle System
Dr_Hase,mnmassari,1-0,D00,Queen's Pawn Game
mnmassari,EskilS,0-1,D45,Semi-Slav Defense: Main Line
krimostafa,mnmassari,1-0,D10,Slav Defense
mnmassari,Deizou1,0-1,D02,Queen's Pawn Game: Chigorin Variation
ValerioBrusamolin,mnmassari,1-0,A02,Bird
mnmassari,mars2021,0-1,A40,Horwitz Defense
DinaAhmed,mnmassari,1-0,A34,"English : Symmetrical Variation, Fianchetto Variation"
DadLifeChess,mnmassari,0-1,D00,Queen's Pawn Game: Mason Variation
mnmassari,pijol,1/2-1/2,A43,Benoni Defense: Old Benoni
mnmassari,chesswithfelix,0-1,A46,Indian Defense: Spielmann-Indian
chinobarrientos,mnmassari,0-1,C30,King's Gambit
Autenticmen99,mnmassari,1-0,D11,Slav Defense: Quiet Variation
mnmassari,shmatoff,1-0,D38,Queen's Gambit Declined: Ragozin Defense
Pavelid,mnmassari,1-0,B23,Sicilian Defense: Closed
mnmassari,chessfriendship,1-0,A42,Modern Defense: Averbakh System
mnmassari,chipupino,0-1,E10,Tarrasch Defense: Symmetrical Variation
mnmassari,unwanted_pawns,1-0,D45,Semi-Slav Defense: Main Line
grad1234,mnmassari,0-1,B13,Caro-Kann Defense: Exchange Variation
krishi999,mnmassari,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
mnmassari,dridihoussine,0-1,A40,Modern Defense
EnglundJ,mnmassari,1/2-1/2,B90,"Sicilian Defense: Najdorf Variation, Adams Attack"
mnmassari,fabgonza,0-1,D45,Semi-Slav Defense: Main Line
mnmassari,mobh313,1-0,D38,Queen's Gambit Declined: Ragozin Defense
joonbug,mnmassari,1/2-1/2,C44,Scotch Game: Gring Gambit
KilerBung_TCC,mnmassari,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
mnmassari,xxxMiguelxxx,1-0,C20,King's Pawn Game: Leonardis Variation
LanarizdeAldebaran,mnmassari,1-0,A00,Hungarian : Reversed Modern Defense
Malhotra_HSU,mnmassari,1-0,D75,Neo-Grnfeld Defense: Delayed Exchange Variation
mnmassari,Karpov2099,0-1,E10,Tarrasch Defense: Symmetrical Variation
Schnarchow,mnmassari,0-1,A00,Van Geet
