Blancas,Negras,Result,ECO,Opening
Taassu,moisesbastidas7822,0-1,D00,Queen's Pawn Game
moisesbastidas7822,Taassu,0-1,D02,Queen's Pawn Game: Zukertort Variation
moisesbastidas7822,Sothondose,0-1,A04,Zukertort : Queen's Gambit Invitation
moisesbastidas7822,sphamandla,0-1,A04,Zukertort : Kingside Fianchetto
Melipulli,moisesbastidas7822,1-0,D15,Slav Defense: Schlechter Variation
moisesbastidas7822,pacman6172,0-1,A04,Zukertort : Sicilian Invitation
Jaymule,moisesbastidas7822,1-0,D00,Queen's Pawn Game: Mason Variation
moisesbastidas7822,argenisp16,0-1,A04,Zukertort : Queen's Gambit Invitation
moisesbastidas7822,Damn_mx,1/2-1/2,A04,Zukertort : Sicilian Invitation
Damn_mx,moisesbastidas7822,0-1,B22,Sicilian Defense: Alapin Variation
pellemyk,moisesbastidas7822,1-0,D00,Queen's Pawn Game: Mason Variation
moisesbastidas7822,PerEisele,0-1,A04,Zukertort : Kingside Fianchetto
LyricalGeppetto,moisesbastidas7822,1-0,B50,Sicilian Defense: Delayed Alapin
moisesbastidas7822,Dubna81,1-0,D02,Queen's Pawn Game: Anti-Torre
xaweleon,moisesbastidas7822,1-0,D02,Queen's Pawn Game: Zukertort Variation
Youtube-Chesstou,moisesbastidas7822,1-0,A04,Zukertort : Slav Invitation
moisesbastidas7822,Queen_Gambit_zZz,1-0,A04,Zukertort : Slav Invitation
moisesbastidas7822,RRiRRautentico,0-1,A04,Zukertort : Pirc Invitation
Pangloss5,moisesbastidas7822,1-0,D10,Slav Defense
moisesbastidas7822,tazakachess,1-0,A04,Zukertort : Kingside Fianchetto
kirill_min,moisesbastidas7822,0-1,D00,Queen's Pawn Game: Mason Variation
moisesbastidas7822,arramreddy,0-1,A04,Zukertort : Sicilian Invitation
moisesbastidas7822,sklironomi,0-1,D04,Queen's Pawn Game: Colle System
Whizzz,moisesbastidas7822,0-1,A10,English : Anglo-Scandinavian Defense
imbetterlooking,moisesbastidas7822,1-0,B25,Sicilian Defense: Closed
moisesbastidas7822,RadekQ28,0-1,A05,Zukertort
moisesbastidas7822,zoli88,0-1,A04,Zukertort : Queen's Gambit Invitation
eddyTheLion,moisesbastidas7822,1-0,D00,Queen's Pawn Game: Mason Variation
moisesbastidas7822,Admironi,1/2-1/2,A04,Zukertort : Slav Invitation
