Blancas,Negras,Result,ECO,Opening
Systol,oscarhernadez,1-0,E21,Nimzo-Indian Defense: Three Knights Variation
NelsonRincon2021,oscarhernadez,1-0,B21,Sicilian Defense: Smith-Morra Gambit
oscarhernadez,edbtc,0-1,A04,Zukertort : Slav Invitation
Alexeishirov1,oscarhernadez,0-1,B20,Sicilian Defense
oscarhernadez,DUT-AGOL,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Petbomb24,oscarhernadez,1-0,B23,Sicilian Defense: Closed
oscarhernadez,crosky,1/2-1/2,A46,Indian Defense: Knights Variation
elisabetta1970,oscarhernadez,0-1,E47,"Nimzo-Indian Defense: Normal Variation, Bishop Attack"
nahtoderfahrung,oscarhernadez,0-1,A46,Indian Defense: Knights Variation
oscarhernadez,d4bestbytest,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
oscarhernadez,lucifer6891,1-0,A49,Indian Defense: Przepiorka Variation
Al-Chanoon,oscarhernadez,0-1,E32,Nimzo-Indian Defense: Classical Variation
oscarhernadez,michael81063,0-1,A46,Indian Defense: Wade-Tartakower Defense
oghenedoro5,oscarhernadez,1/2-1/2,B40,Sicilian Defense: Delayed Alapin Variation
oscarhernadez,LIBREROII,1-0,D02,Queen's Pawn Game: Krause Variation
oscarhernadez,Tarantula_2009,0-1,A04,Zukertort : Queen's Gambit Invitation
Bigmag,oscarhernadez,0-1,A48,London System
arbiter99,oscarhernadez,0-1,E11,Bogo-Indian Defense: Nimzowitsch Variation
erik96,oscarhernadez,0-1,B41,Sicilian Defense: Kan Variation
oscarhernadez,Albert_Enisten,1-0,A04,Zukertort : Slav Invitation
Conan-Cimmerian,oscarhernadez,0-1,E11,Bogo-Indian Defense: Nimzowitsch Variation
oscarhernadez,Conan-Cimmerian,1-0,D02,Queen's Pawn Game: Krause Variation
oscarhernadez,halsayedahmad,1-0,A49,Indian Defense: Przepiorka Variation
oscarhernadez,Feverous,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Feverous,oscarhernadez,0-1,B40,Sicilian Defense: French Variation
Alverlayo,oscarhernadez,1-0,E27,Nimzo-Indian Defense: Smisch Variation
Gricricri,oscarhernadez,1-0,A01,Nimzo-Larsen Attack: Indian Variation
oscarhernadez,elpokerstar,0-1,A40,"Dutch Defense: Stonewall Variation, Modern Variation"
Theteachershere,oscarhernadez,1-0,B22,Sicilian Defense: Alapin Variation
oscarhernadez,alzaenal,1-0,A04,Zukertort : Queen's Gambit Invitation
MarbenTancailles,oscarhernadez,0-1,C42,Russian Game: Three Knights Game
oscarhernadez,MarbenTancailles,0-1,A04,Zukertort : Black Mustang Defense
oscarhernadez,Santoro_VG,1-0,A04,Zukertort : Sicilian Invitation
mumien,oscarhernadez,0-1,E46,Nimzo-Indian Defense: Reshevsky Variation
oscarhernadez,DanteFermin,0-1,A46,Indian Defense: Czech-Indian
dede-sla-arg,oscarhernadez,0-1,B23,Sicilian Defense: Closed
oscarhernadez,stjepan1234,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
fto2024,oscarhernadez,0-1,A45,Indian Defense
Genevieve2015,oscarhernadez,0-1,B20,Sicilian Defense
MileTrailovic,oscarhernadez,0-1,B23,Sicilian Defense: Closed
oscarhernadez,siesta44,0-1,A49,Indian Defense: Przepiorka Variation
oscarhernadez,jarocho76,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
oscarhernadez,agus2800,1/2-1/2,A49,Indian Defense: Przepiorka Variation
MaxStudNSU,oscarhernadez,0-1,E11,Bogo-Indian Defense: Grnfeld Variation
Adjustor,oscarhernadez,0-1,B21,Sicilian Defense: McDonnell Attack
oscarhernadez,PolygonSquad,1-0,A04,Zukertort : Sicilian Invitation
klamnik07,oscarhernadez,1-0,A46,Yusupov-Rubinstein System
oscarhernadez,yasir01,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
oscarhernadez,ElAbueloDeChuky,1-0,A04,Zukertort : Sicilian Invitation
kala9ondang,oscarhernadez,0-1,E11,Bogo-Indian Defense: Nimzowitsch Variation
oscarhernadez,gharbiriadh,1-0,D02,Queen's Pawn Game: Chigorin Variation
Naruro57,oscarhernadez,1-0,E61,King's Indian Defense: Semi-Classical Variation
oscarhernadez,Meridabike,0-1,A46,Indian Defense: Wade-Tartakower Defense
PugBulgis,oscarhernadez,1-0,B40,Sicilian Defense: French Variation
oscarhernadez,dylane33,0-1,A04,Zukertort : Queen's Gambit Invitation
oscarhernadez,djordj,1-0,D02,Queen's Pawn Game: Chigorin Variation
djordj,oscarhernadez,0-1,B41,Sicilian Defense: Kan Variation
Pionistea,oscarhernadez,0-1,B20,Sicilian Defense: Bowdler Attack
oscarhernadez,daskapitallesen,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Galehaut320,oscarhernadez,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
oscarhernadez,Masterking3000,1-0,A49,Indian Defense: Przepiorka Variation
JUrielYapMelendez14,oscarhernadez,0-1,A00,Van Geet
oscarhernadez,PanConXtraPinga,1/2-1/2,A49,Indian Defense: Przepiorka Variation
