Blancas,Negras,Result,ECO,Opening
ojosverdes,panza1977,0-1,D11,Slav Defense: Modern Line
panza1977,ojosverdes,1-0,C01,"French Defense: Exchange Variation, Monte Carlo Variation"
ojosverdes,panza1977,0-1,D10,Slav Defense
panza1977,ojosverdes,1-0,C02,French Defense: Advance Variation
panza1977,ojosverdes,1-0,A17,"English : Anglo-Indian Defense, Hedgehog System"
ojosverdes,panza1977,0-1,A40,English Defense
ojosverdes,panza1977,0-1,A40,English Defense
panza1977,ojosverdes,1-0,A00,Hungarian : Catalan Formation
ojosverdes,panza1977,0-1,D15,Slav Defense: Three Knights Variation
panza1977,ojosverdes,1-0,C41,Philidor Defense
ojosverdes,panza1977,0-1,D15,Slav Defense: Three Knights Variation
ojosverdes,panza1977,0-1,D02,Queen's Pawn Game: Zukertort Variation
panza1977,ojosverdes,1-0,C02,"French Defense: Advance Variation, Paulsen Attack"
thirdmaster,panza1977,1-0,B40,Sicilian Defense: Delayed Alapin Variation
Leela_Chess_0,panza1977,1-0,B23,Sicilian Defense: Closed
panza1977,Leela_Chess_0,1-0,B01,Scandinavian Defense: Blackburne Gambit
Leela_Chess_0,panza1977,0-1,B23,Sicilian Defense: Closed
panza1977,Denis_20,1/2-1/2,B13,Caro-Kann Defense: Exchange Variation
PelePP,panza1977,1-0,B40,Sicilian Defense: Pin Variation
panza1977,Efraim1985,1-0,B01,Scandinavian Defense: Gubinsky-Melts Defense
lga,panza1977,1-0,A09,Rti : Rti Accepted
panza1977,ojosverdes,1-0,C01,French Defense: Exchange Variation
ojosverdes,panza1977,0-1,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
panza1977,WAFA_1,1/2-1/2,B21,"Sicilian Defense: Smith-Morra Gambit, Chicago Defense"
panza1977,Praizess,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
panza1977,TerminAxel,1-0,C44,Scotch Game
panza1977,ze9z1y,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Kan Formation"
vincentmia,panza1977,1-0,B40,"Sicilian Defense: Four Knights Variation, Exchange Variation"
panza1977,RuimLopes,1/2-1/2,B50,"Sicilian Defense: Modern Variations, Tartakower"
hedin123,panza1977,1-0,A09,Rti : Rti Accepted
Ranchenko,panza1977,1-0,B40,Sicilian Defense: Four Knights Variation
panza1977,alivava,1-0,C41,Philidor Defense: Morphy Gambit
alivava,panza1977,0-1,B22,Sicilian Defense: Alapin Variation
panza1977,alivava,1-0,C44,Scotch Game: Scotch Gambit
alivava,panza1977,1-0,B22,Sicilian Defense: Alapin Variation
panza1977,syaahil,1-0,C01,French Defense: Exchange Variation
hailmez,panza1977,0-1,D10,Slav Defense
panza1977,hailmez,1-0,C40,King's Pawn Game: Gunderam Gambit
hailmez,panza1977,0-1,B20,Sicilian Defense: Bowdler Attack
panza1977,themightydaddymunga,1-0,C41,Philidor Defense: Morphy Gambit
adi_bv,panza1977,1-0,B40,Sicilian Defense: French Variation
panza1977,adi_bv,1/2-1/2,B08,Pirc Defense: Classical Variation
texaspete09,panza1977,0-1,B21,Sicilian Defense: Smith-Morra Gambit
panza1977,instrnts,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
five_pillars,panza1977,0-1,B40,Sicilian Defense: Pin Variation
perbani,panza1977,0-1,D43,Semi-Slav Defense
Olichard93,panza1977,0-1,B40,Sicilian Defense: Delayed Alapin Variation
panza1977,riverplate2021,0-1,B12,Caro-Kann Defense: Advance Variation
riverplate2021,panza1977,0-1,B20,Sicilian Defense: Snyder Variation
panza1977,riverplate2021,1-0,B12,Caro-Kann Defense: Advance Variation
panza1977,islandstyles,0-1,B01,Scandinavian Defense: Modern Variation
Aditya_Meshram,panza1977,1/2-1/2,B40,"Sicilian Defense: French Variation, Normal"
panza1977,passiontolearn,1-0,B01,Scandinavian Defense: Modern Variation
NeilEniks,panza1977,0-1,B40,Sicilian Defense: Pin Variation
panza1977,peter_gci1982,1-0,B21,"Sicilian Defense: Morphy Gambit, Andreaschek Gambit"
Carb22,panza1977,1-0,D11,"Slav Defense: Quiet Variation, Pin Defense"
panza1977,Daniel-Banda,1-0,C44,Scotch Game: Scotch Gambit
MANUESANDOJ_2005,panza1977,1-0,B40,Sicilian Defense: Pin Variation
panza1977,freddynieblescuayla,1/2-1/2,C01,French Defense: Exchange Variation
C73045143LUIS,panza1977,0-1,B44,Sicilian Defense: Taimanov Variation
panza1977,juniornavarro,1-0,B01,Scandinavian Defense: Main Line
AlejandroFavio,panza1977,0-1,A00,Van Geet
panza1977,Matsubot05,1-0,C44,"Scotch Game: Scotch Gambit, Kingside Variation"
Sebastianbenjamin,panza1977,1-0,D15,Slav Defense: Three Knights Variation
Josmar_021,panza1977,1-0,B40,Sicilian Defense: Delayed Alapin Variation
panza1977,ReibenCcana,1/2-1/2,B22,"Sicilian Defense: Alapin Variation, Smith-Morra Declined"
panza1977,rodriwww,1-0,B40,Sicilian Defense: Smith-Morra Gambit Deferred
B71322878MAX,panza1977,0-1,B40,Sicilian Defense: Pin Variation
panza1977,FERDIWEB2,1-0,C44,Scotch Game: Scotch Gambit
cristian6131,panza1977,0-1,D02,Queen's Pawn Game: Zukertort Variation
panza1977,Brad_190310,0-1,C55,Italian Game: Scotch Gambit Declined
Matsubot05,panza1977,0-1,-1,-1
Josmar_021,panza1977,1/2-1/2,B40,Sicilian Defense: Delayed Alapin Variation
panza1977,rony_leandro,1-0,C55,Italian Game: Scotch Gambit Declined
panza1977,Josmar_021,0-1,C44,"Scotch Game: Scotch Gambit, Advance Variation"
ReibenCcana,panza1977,0-1,B33,"Sicilian Defense: Four Knights Variation, Cobra Variation"
panza1977,Gian1111,1-0,C44,Scotch Game: Scotch Gambit
Ivette-Banda,panza1977,0-1,B20,Sicilian Defense: Bowdler Attack
FERDIWEB2,panza1977,0-1,D11,"Slav Defense: Quiet Variation, Pin Defense"
panza1977,amarito1,1-0,C42,Russian Game: Damiano Variation
cristian6131,panza1977,0-1,D02,Queen's Pawn Game: Zukertort Variation
panza1977,Brad_190310,1-0,C55,Italian Game: Scotch Gambit Declined
panza1977,Daniel-Banda,1/2-1/2,C20,King's Pawn Game
panza1977,saulvillasante,1-0,C44,Scotch Game: Haxo Gambit
matiaselProCtak,panza1977,0-1,B40,Sicilian Defense: Pin Variation
Daniel-Banda,panza1977,0-1,B40,Sicilian Defense: French Variation
panza1977,yerhol1,1-0,C42,Russian Game: French Attack
petrosianm,panza1977,0-1,B21,Sicilian Defense: Smith-Morra Gambit
rodriwww,panza1977,0-1,B20,Sicilian Defense
panza1977,Josmar_021,0-1,C44,Scotch Game: Scotch Gambit
yerhol1,panza1977,0-1,A13,English : Agincourt Defense
panza1977,Keops-Banda,1-0,C42,Russian Game: French Attack
Nicodorado,panza1977,0-1,D11,"Slav Defense: Quiet Variation, Pin Defense"
panza1977,Bugsbunny123,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
panza1977,Josmar_021,0-1,C44,Scotch Game: Scotch Gambit
amarito1,panza1977,1/2-1/2,A00,Van Geet : Reversed Nimzowitsch
panza1977,elmer2003,1-0,C41,Philidor Defense: Morphy Gambit
matias_pachecop,panza1977,0-1,D00,Queen's Pawn Game: Mason Variation
amarito1,panza1977,0-1,A13,English : Agincourt Defense
Josmar_021,panza1977,1-0,B40,Sicilian Defense: French Variation
panza1977,FERDIWEB2,1-0,C41,Philidor Defense: Exchange Variation
panza1977,Marcelo_fabi117,1-0,C00,Queen's Pawn Game: Franco-Sicilian Defense
sarahmichelle,panza1977,0-1,A13,English : Agincourt Defense
