Blancas,Negras,Result,ECO,Opening
Jhon_Sitanggang,rfc11,1-0,B50,Sicilian Defense: Delayed Alapin
rfc11,Aces2w1n,1-0,A40,Queen's Pawn Game
Naxoc,rfc11,1-0,B23,Sicilian Defense: Grand Prix Attack
rfc11,Payo2,0-1,B02,Alekhine Defense: Scandinavian Variation
rfc11,Elmer_9,1-0,D02,Queen's Pawn Game: Chigorin Variation
theebiglittle,rfc11,1-0,A45,Indian Defense
rfc11,utkarshkaushik,0-1,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Costa33,rfc11,0-1,B33,Sicilian Defense: Open
Bapolino,rfc11,0-1,B50,Sicilian Defense
rfc11,Cybergalactarium,1/2-1/2,D37,Queen's Gambit Declined: Three Knights Variation
archiejelley,rfc11,1-0,B21,Sicilian Defense: McDonnell Attack
rfc11,Albert2421,1-0,E10,Indian Defense: Anti-Nimzo-Indian
ElGazzar27,rfc11,1-0,B90,"Sicilian Defense: Najdorf Variation, English Attack"
rfc11,janely,1-0,A40,Englund Gambit Complex Declined
Adityapsingh,rfc11,1-0,B51,Sicilian Defense: Moscow Variation
rfc11,Genius0192,1-0,A40,Horwitz Defense
E1saeedy,rfc11,1-0,E72,King's Indian Defense: Pomar System
rfc11,Muscat_Coach,1-0,C42,Russian Game: Italian Variation
rfc11,Anoanakia,0-1,A15,"English : Anglo-Indian Defense, King's Indian Formation"
Grand_Obliterator,rfc11,1-0,A45,Trompowsky Attack
viktor-laslow,rfc11,1-0,B50,"Sicilian Defense: Wing Gambit, Deferred Variation"
rfc11,pankrt,0-1,A40,Queen's Pawn Game: Anglo-Slav
Newcramer,rfc11,1-0,B50,Sicilian Defense: Modern Variations
rfc11,amitietk,1-0,B00,King's Pawn
jjeton,rfc11,1-0,A00,Van't Kruijs
rfc11,Sencha23,1-0,B01,Scandinavian Defense: Main Line
Luckystrike70,rfc11,1-0,B96,Sicilian Defense: Najdorf Variation
rfc11,erfan20002000,1-0,B50,Sicilian Defense
rfc11,ansakhadeo,1/2-1/2,A22,English : Carls-Bremen System
juan555,rfc11,0-1,A48,East Indian Defense
rfc11,edu_baranowski,0-1,A00,Saragossa
IodioVanadioAzoto,rfc11,0-1,B21,Sicilian Defense: McDonnell Attack
rfc11,sene60,1-0,D02,"Queen's Pawn Game: Symmetrical Variation, Pseudo-Catalan"
Ballua,rfc11,1-0,B20,Sicilian Defense: Mengarini Variation
Lclementine,rfc11,1-0,B22,Sicilian Defense: Alapin Variation
rfc11,isaro2008,0-1,A21,"English : King's English Variation, Reversed Sicilian"
RekerW,rfc11,0-1,B20,Sicilian Defense: Bowdler Attack
Talltim1225,rfc11,1-0,A45,Indian Defense
rfc11,Zumzukcu,0-1,A22,English : Carls-Bremen System
almazanov,rfc11,0-1,B94,Sicilian Defense: Najdorf Variation
