Blancas,Negras,Result,ECO,Opening
Phili_123,samuel22bastidas,0-1,B92,"Sicilian Defense: Najdorf Variation, Opocensky Variation"
Phili_123,samuel22bastidas,0-1,B23,Sicilian Defense: Closed
samuel22bastidas,Phili_123,1-0,D02,Queen's Pawn Game: Zukertort Variation
samuel22bastidas,salmar999,0-1,A40,Horwitz Defense
ic3over,samuel22bastidas,0-1,D02,Queen's Pawn Game: Zukertort Variation
warrior11,samuel22bastidas,0-1,A18,English : Mikenas-Carls Variation
samuel22bastidas,hratchm,0-1,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
AVM1979,samuel22bastidas,0-1,D01,Rapport-Jobava System
samuel22bastidas,fiqq,1-0,D05,"Queen's Pawn Game: Colle System, Traditional Colle"
NPQ113,samuel22bastidas,1-0,B22,Sicilian Defense: Alapin Variation
lazywicked,samuel22bastidas,0-1,A30,English : Symmetrical Variation
samuel22bastidas,vyacheslavgavrilyev,1-0,A40,Englund Gambit
samuel22bastidas,JillMunroe,1-0,A46,Indian Defense: Spielmann-Indian
VILANCIA,samuel22bastidas,1-0,D00,Queen's Pawn Game: Mason Variation
Mafia1981,samuel22bastidas,0-1,D31,Semi-Slav Defense: Noteboom Variation
samuel22bastidas,johnibrahim,1-0,B50,Sicilian Defense
samuel22bastidas,RojaRoja,0-1,C00,French Defense: King's Indian Attack
samuel22bastidas,VVV7,1-0,A08,King's Indian Attack: Sicilian Variation
kulilats,samuel22bastidas,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation"
sacit,samuel22bastidas,1-0,D45,Semi-Slav Defense: Main Line
stockfishdanirealno1,samuel22bastidas,0-1,B32,Sicilian Defense: Lwenthal Variation
samuel22bastidas,chesspawn123,1-0,A45,Indian Defense
samuel22bastidas,Thanos_universe50,0-1,A00,Englund Gambit Declined: Reversed French
ESP6,samuel22bastidas,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Push Variation"
RasaND,samuel22bastidas,1/2-1/2,A00,Van't Kruijs
samuel22bastidas,nuncar,1-0,A43,Benoni Defense: Old Benoni
latinknight,samuel22bastidas,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
