Blancas,Negras,Result,ECO,Opening
susanamar1,Dijabolik,1-0,A08,King's Indian Attack: Sicilian Variation
Dijabolik,susanamar1,0-1,C54,"Italian Game: Classical Variation, Greco Gambit, Main Line"
Alavian1234,susanamar1,0-1,C55,"Italian Game: Two Knights Defense, Max Lange Attack"
susanamar1,Alavian1234,1-0,C50,Italian Game: Hungarian Defense
Treuf,susanamar1,0-1,C44,King's Knight : Normal Variation
lisyender,susanamar1,0-1,A06,Zukertort : Tennison Gambit
lisyender,susanamar1,1/2-1/2,A06,Zukertort : Tennison Gambit
lisyender,susanamar1,1-0,A06,Zukertort : Tennison Gambit
lisyender,susanamar1,0-1,B02,Alekhine Defense: Scandinavian Variation
lisyender,susanamar1,1/2-1/2,C40,Elephant Gambit
lisyender,susanamar1,0-1,B01,Scandinavian Defense
susanamar1,lisyender,1-0,C55,Italian Game: Scotch Gambit Declined
lichess AI level 2,susanamar1,1-0,B01,Scandinavian Defense
lisyender,susanamar1,1/2-1/2,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation
lisyender,susanamar1,1/2-1/2,B00,Pirc Defense
lisyender,susanamar1,1/2-1/2,D00,Blackmar Gambit
lisyender,susanamar1,1/2-1/2,C01,French Defense: Exchange Variation
lisyender,susanamar1,1-0,C00,French Defense: King's Indian Attack
lisyender,susanamar1,1-0,C00,French Defense: Knight Variation
lisyender,susanamar1,1/2-1/2,B01,Scandinavian Defense
lisyender,susanamar1,1/2-1/2,B00,Pirc Defense
lisyender,susanamar1,1/2-1/2,C00,French Defense: Knight Variation
lisyender,susanamar1,1/2-1/2,B01,Scandinavian Defense
lisyender,susanamar1,0-1,C46,Three Knights
lisyender,susanamar1,0-1,B00,Nimzowitsch Defense: Williams Variation
lisyender,susanamar1,0-1,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation
lisyender,susanamar1,0-1,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation
lisyender,susanamar1,0-1,C40,King's Pawn Game: Busch-Gass Gambit
lisyender,susanamar1,0-1,B01,Scandinavian Defense
susanamar1,alicanerp,0-1,C00,French Defense
lisyender,susanamar1,1/2-1/2,C50,Giuoco Piano
susanamar1,lisyender,1-0,C44,King's Pawn Game: Tayler
lisyender,susanamar1,0-1,C53,Italian Game: Classical Variation
lisyender,susanamar1,0-1,B01,Scandinavian Defense
susanamar1,lisyender,1/2-1/2,A00,Grob
