Blancas,Negras,Result,ECO,Opening
valera25,schascho,1-0,B49,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
valera25,DrMaque,1-0,B87,"Sicilian Defense: Sozin Attack, Flank Variation"
SebastianHeld,valera25,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
valera25,LeBron_the_King,1-0,B06,Modern Defense: Standard Defense
BonesJones,valera25,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Declined, Dubois Variation"
valera25,Syzdykov_Sabir,0-1,B15,Caro-Kann Defense: Tartakower Variation
pottunokka,valera25,0-1,A45,Canard
elektromonter36,valera25,0-1,A01,Nimzo-Larsen Attack: Modern Variation
valera25,Deep_State,0-1,B01,Scandinavian Defense
valera25,giovannijow,1-0,B40,Sicilian Defense: French Variation
valera25,dweed,1-0,B14,Caro-Kann Defense: Panov Attack
Tanya82,valera25,1-0,D02,Queen's Pawn Game: London System
shapour51,valera25,1-0,A45,Trompowsky Attack
masanchemio,valera25,1/2-1/2,B28,"Sicilian Defense: O'Kelly Variation, Marczy Bind, Paulsen Line"
valera25,JueVioleGrace,0-1,B40,Sicilian Defense: French Variation
valera25,Steuben,1-0,C06,"French Defense: Tarrasch Variation, Closed Variation, Main Line"
chorfa,valera25,0-1,A15,English : Anglo-Indian Defense
MagnusPalmi,valera25,1-0,B43,"Sicilian Defense: Kan Variation, Knight Variation"
valera25,LArtels,1/2-1/2,C10,"French Defense: Rubinstein Variation, Fort Knox Variation"
valera25,AntoshaGooner,1-0,B32,Sicilian Defense: Kalashnikov Variation
valera25,Freiheit,1-0,C05,"French Defense: Tarrasch Variation, Closed Variation"
Muricate,valera25,0-1,B40,Sicilian Defense: Delayed Alapin Variation
vieto,valera25,0-1,D01,Rapport-Jobava System
milosRR,valera25,0-1,C02,"French Defense: Advance Variation, Paulsen Attack"
valera25,Basmatch,1-0,B30,Sicilian Defense: Old Sicilian
valera25,korcsok,1-0,B07,Pirc Defense
fdurmaz46,valera25,0-1,D03,Queen's Pawn Game: Torre Attack
valera25,Big-Master,0-1,C41,Philidor Defense: Lion Variation
A-Kirill,valera25,1/2-1/2,A57,Benko Gambit
Castrum,valera25,0-1,B40,Sicilian Defense: French Variation
valera25,Aragorn1001,1/2-1/2,B06,Modern Defense: Two Knights Variation
valera25,AleksandrAvanesov,0-1,B32,Sicilian Defense: Lwenthal Variation
valera25,Nex2u,1/2-1/2,B40,Sicilian Defense: Wing Gambit Deferred
Momp2,valera25,0-1,A45,Trompowsky Attack
valera25,LuckyLuke91,0-1,C00,French Defense: King's Indian Attack
bibo007,valera25,0-1,D00,Queen's Pawn Game: Stonewall Attack
YannP,valera25,1-0,A32,"English : Symmetrical Variation, Anti-Benoni Variation, Spielmann Defense"
valera25,melloman,0-1,B10,Caro-Kann Defense: Breyer Variation
breathtaking2,valera25,0-1,B40,"Sicilian Defense: French Variation, Westerinen Attack"
valera25,destinado,0-1,C00,French Defense: King's Indian Attack
SelimPusat64,valera25,0-1,B13,Caro-Kann Defense: Panov Attack
valera25,BethOrihuela,0-1,B70,Sicilian Defense: Dragon Variation
lukman-hussein,valera25,0-1,A16,"English : Anglo-Indian Defense, Queen's Knight Variation"
Probability1,valera25,1-0,A59,Benko Gambit Accepted: Yugoslav
valera25,ArsenXanov,1-0,B01,Scandinavian Defense: Modern Variation
valera25,Zheriff,0-1,B40,Sicilian Defense: Smith-Morra Gambit Deferred
profi-patzer,valera25,1-0,D01,"Queen's Pawn Game: Veresov Attack, Richter Variation"
valera25,AlexNova3,0-1,B10,Caro-Kann Defense: Breyer Variation
The_king_Egyptian,valera25,0-1,B40,Sicilian Defense: Delayed Alapin Variation
