Blancas,Negras,Result,ECO,Opening
Kostochou,vladsuar,1-0,A85,Dutch Defense: Queen's Knight Variation
vladsuar,DavidCecxladzee,0-1,A45,Indian Defense
m4gic,vladsuar,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
vladsuar,Angeisi,1-0,D00,Queen's Pawn Game: Steinitz Countergambit
MaxRollins,vladsuar,0-1,A00,Hungarian : Indian Defense
vladsuar,Vilkku,1-0,D00,Queen's Pawn Game: Mason Variation
roloviking,vladsuar,1-0,B20,Sicilian Defense
MuchObliged,vladsuar,0-1,B50,"Sicilian Defense: Wing Gambit, Deferred Variation"
vladsuar,Appercut,1-0,A45,Indian Defense
vladsuar,General-Nikotin,1-0,A43,Benoni Defense: Old Benoni
LEONARDOPA,vladsuar,1-0,A84,Dutch Defense: Normal Variation
h26o,vladsuar,1-0,B50,Sicilian Defense
vladsuar,Piecloudabc,1-0,A80,Dutch Defense
vladsuar,Anjonevi,1-0,A40,Horwitz Defense
mania_mania,vladsuar,0-1,B50,Sicilian Defense
vladsuar,deznuts00,1-0,A40,Horwitz Defense
Andre-Luiz,vladsuar,0-1,B50,Sicilian Defense
vladsuar,Teacher-Xavi,0-1,A80,Dutch Defense
Rlambang,vladsuar,1-0,B28,"Sicilian Defense: O'Kelly Variation, Marczy Bind, Robatsch Line"
PEVBPESCAITO,vladsuar,0-1,B50,Sicilian Defense
vladsuar,cihant,1-0,A45,Indian Defense
Bk23,vladsuar,1-0,A02,Bird
vladsuar,bobbydigital23,1-0,A40,Modern Defense
vladsuar,Lamentira,0-1,A40,Queen's Pawn Game
ingushano,vladsuar,0-1,B21,Sicilian Defense: Smith-Morra Gambit
paulk79,vladsuar,0-1,B21,Sicilian Defense: Smith-Morra Gambit
vladsuar,yonaguny,1-0,A40,Horwitz Defense
VIEIRA1994,vladsuar,1/2-1/2,B23,Sicilian Defense: Closed
vladsuar,budi007,1-0,D00,Queen's Pawn Game: Mason Variation
inshane,vladsuar,0-1,B51,Sicilian Defense: Moscow Variation
vladsuar,aldocayata,0-1,D00,Queen's Pawn Game: Mason Variation
vladsuar,jbalt,0-1,D00,Queen's Pawn Game: Mason Variation
Ilyosbekk,vladsuar,0-1,B50,Sicilian Defense
Navier_Stokes,vladsuar,1-0,A02,Bird
vladsuar,pogijeric,0-1,A45,Indian Defense
vladsuar,Skorpion531-8,1-0,A45,Indian Defense
Mohamed954,vladsuar,1-0,B50,Sicilian Defense: Modern Variations
roley1806,vladsuar,1-0,B23,Sicilian Defense: Closed
vladsuar,Kyuu09,1-0,D00,Queen's Pawn Game: Mason Variation
Abpainting14,vladsuar,0-1,A85,Dutch Defense: Queen's Knight Variation
vladsuar,Leonardo201o,1-0,D00,Queen's Pawn Game: Mason Variation
Angeltal,vladsuar,0-1,B76,"Sicilian Defense: Dragon Variation, Yugoslav Attack, Modern Line"
vladsuar,lucho_argentino,1-0,A40,Modern Defense
vladsuar,d1_d2,0-1,D00,Queen's Pawn Game: Mason Variation
OPHIUCO13,vladsuar,0-1,A80,Dutch Defense
vladsuar,afanasevmn,0-1,A45,Indian Defense
vladsuar,iwanfadly,1-0,D00,Queen's Pawn Game: Mason Variation
Thunderpawn69,vladsuar,1-0,B50,"Sicilian Defense: Modern Variations, Tartakower"
vladsuar,kmbl2180,1-0,A40,Modern Defense
mobber,vladsuar,1-0,B50,Sicilian Defense
HURACANSACRY7,vladsuar,0-1,A82,Dutch Defense: Staunton Gambit
Artesuave10,vladsuar,1-0,B20,Sicilian Defense: Bowdler Attack
vladsuar,Isni85,1-0,D00,Queen's Pawn Game: Mason Variation
blaz1991,vladsuar,0-1,B22,Sicilian Defense: Alapin Variation
vladsuar,freyrolito,1-0,A41,Queen's Pawn Game
GentlemansQuarrel,vladsuar,1-0,B50,Sicilian Defense: Modern Variations
vladsuar,DjChesswuarrios1995,1-0,D00,Queen's Pawn Game: Mason Variation
vladsuar,Theryon,1-0,D00,Queen's Pawn Game: Mason Variation
Alhexie,vladsuar,1-0,B21,Sicilian Defense: McDonnell Attack
vladsuar,coba_igrok,0-1,A40,Queen's Pawn Game
LeiderBermudez98,vladsuar,0-1,B51,Sicilian Defense: Moscow Variation
lopeszike,vladsuar,0-1,A80,Dutch Defense
vladsuar,amigo_home,0-1,A45,Indian Defense
vladsuar,corndogs,1-0,A45,Indian Defense
Alexpzh,vladsuar,0-1,B21,Sicilian Defense: Smith-Morra Gambit
vladsuar,sijia3,1-0,A40,Horwitz Defense
vladsuar,oeg76,1-0,A43,Benoni Defense: Old Benoni
InfuriatinglyOpaque,vladsuar,0-1,A80,Dutch Defense
banureasaut,vladsuar,0-1,B20,Sicilian Defense: Bowdler Attack
Aleksandr_Mankov,vladsuar,1-0,A00,Hungarian : Dutch Defense
vladsuar,GeorgeBotero,0-1,A40,Englund Gambit
mngawe,vladsuar,1-0,A85,Dutch Defense: Queen's Knight Variation
MrNovice,vladsuar,1-0,B50,Sicilian Defense: Modern Variations
vladsuar,Aongola,1-0,A40,Modern Defense
vladsuar,germanuk77,1-0,A40,Englund Gambit
vladsuar,PICOMELERO,1-0,A45,Indian Defense
vladsuar,surface9,0-1,A40,Englund Gambit
Victor808,vladsuar,1-0,B20,Sicilian Defense: Bowdler Attack
Straddseller,vladsuar,0-1,A85,Dutch Defense: Queen's Knight Variation
Pharmakilo,vladsuar,1-0,A85,Dutch Defense: Queen's Knight Variation
vladsuar,aad051,1-0,A40,Modern Defense
vladsuar,MarizzChess,0-1,D00,Queen's Pawn Game: Mason Variation
simoncarc,vladsuar,1-0,B50,Sicilian Defense
vladsuar,Hyomono,1-0,A40,Horwitz Defense
vava86,vladsuar,1-0,A00,Mieses
izmirlininja,vladsuar,1-0,B32,Sicilian Defense: Open
vladsuar,hacker_solz,0-1,A45,Indian Defense
vladsuar,Ali2020melad,1-0,A45,Indian Defense
str8rider,vladsuar,0-1,A85,Dutch Defense: Queen's Knight Variation
vladsuar,korsika1,1-0,A80,Dutch Defense
mrshiny,vladsuar,0-1,B50,Sicilian Defense
vladsuar,Ango94,1-0,A45,Indian Defense
Epomares,vladsuar,0-1,B50,Sicilian Defense
vladsuar,cry37,1-0,A40,Englund Gambit Complex: Hartlaub-Charlick Gambit
levi30,vladsuar,1-0,B50,Sicilian Defense
amon_19,vladsuar,0-1,B50,Sicilian Defense
vladsuar,bareta,0-1,A40,Queen's Pawn Game
vladsuar,yaou87,1-0,A43,Benoni Defense: Old Benoni
Dimitrije1997,vladsuar,0-1,B22,Sicilian Defense: Alapin Variation
vladsuar,K33,1-0,A80,Dutch Defense
SpaceTortoise,vladsuar,1-0,A80,Dutch Defense: Raphael Variation
vladsuar,hika11,1/2-1/2,D00,Queen's Pawn Game: Mason Variation
Berto_71,vladsuar,1-0,A85,Dutch Defense: Queen's Knight Variation
ahmed_asaal,vladsuar,0-1,B21,Sicilian Defense: McDonnell Attack
vladsuar,Danilo2009,0-1,D00,Queen's Pawn Game: Steinitz Countergambit
Stephen50,vladsuar,1/2-1/2,B23,Sicilian Defense: Closed
Morariucatalin,vladsuar,1-0,A80,Dutch Defense
vladsuar,xaweleon,0-1,D00,Queen's Pawn Game: Mason Variation
XXXVisions,vladsuar,0-1,A80,Dutch Defense
vladsuar,voci65,1/2-1/2,D00,Queen's Pawn Game: Mason Variation
KingTchaka,vladsuar,1-0,A85,Dutch Defense: Queen's Knight Variation
vladsuar,egesavur,1-0,D00,Queen's Pawn Game: Mason Variation
vladsuar,sajambre,1-0,A40,Queen's Pawn Game
MaximKorban,vladsuar,0-1,B20,Sicilian Defense
Lionel000,vladsuar,1-0,B50,Sicilian Defense
vladsuar,Hcheeza,0-1,A40,Queen's Pawn Game
vladsuar,ahmedjama,1-0,D00,Queen's Pawn Game: Mason Variation
vladsuar,badboy_fails,0-1,A40,Queen's Pawn Game
dbsandler,vladsuar,0-1,B50,Sicilian Defense
thezambezishark,vladsuar,1-0,A80,Dutch Defense
vladsuar,Fabrizio_D_Andrea,0-1,A40,Horwitz Defense
Shcherbakov35,vladsuar,0-1,A80,Dutch Defense
vladsuar,JaguarJulian,1-0,A41,Queen's Pawn Game
