Blancas,Negras,Result,ECO,Opening
JHOANGONZALEZ,yosbelbenitez,1-0,-1,-1
Vahos_19,yosbelbenitez,1-0,C00,French Defense: King's Indian Attack
yosbelbenitez,Denimata504,0-1,B10,Caro-Kann Defense
yosbelbenitez,SHTIGER,0-1,B27,"Pterodactyl Defense: Western, Rhamphorhynchus"
carlos_olarte,yosbelbenitez,1-0,A40,Queen's Pawn Game
yosbelbenitez,yupi1952,0-1,-1,-1
francisco82,yosbelbenitez,1/2-1/2,C01,French Defense: Exchange Variation
yosbelbenitez,LIROVSKY,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Angie723,yosbelbenitez,1-0,C02,"French Defense: Advance Variation, Euwe Variation"
yosbelbenitez,ArcangelKus,0-1,A00,Anderssen's
Guarico04,yosbelbenitez,1-0,C01,French Defense: Exchange Variation
yosbelbenitez,uranom0403,0-1,C44,Scotch Game: Haxo Gambit
znenuko,yosbelbenitez,1-0,A01,Nimzo-Larsen Attack
Edu88ALR,yosbelbenitez,1-0,A40,Queen's Pawn Game
yosbelbenitez,Hec57,1-0,B00,Owen Defense
juakoxz,yosbelbenitez,1-0,C00,French Defense: Knight Variation
arunus12,yosbelbenitez,1-0,C00,French Defense: Steinitz Attack
yosbelbenitez,patentaz,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
yosbelbenitez,Kair2009,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
juakoxz,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,dujvlex,1-0,C50,Four Knights Game: Italian Variation
yosbelbenitez,Smegmansan,0-1,B10,Caro-Kann Defense
Anthem92,yosbelbenitez,0-1,D00,Queen's Pawn Game: Mason Variation
Agust2511,yosbelbenitez,0-1,C00,French Defense: Knight Variation
yosbelbenitez,Wahyono,0-1,-1,-1
Lansergejj,yosbelbenitez,1-0,A40,Queen's Pawn Game
yosbelbenitez,SajanSurendran,0-1,C40,King's Pawn Game: Gunderam Gambit
polish_dragon,yosbelbenitez,1-0,C00,French Defense: La Bourdonnais Variation
yosbelbenitez,TanoAP1982,0-1,C00,French Defense: Knight Variation
gingka_hagane,yosbelbenitez,0-1,D02,Queen's Pawn Game: Zukertort Variation
yosbelbenitez,TexasLady1993,0-1,C44,Scotch Game: Haxo Gambit
JhonMarck,yosbelbenitez,0-1,C00,French Defense: Knight Variation
yosbelbenitez,cocco30,1-0,B00,King's Pawn
supernoobkh,yosbelbenitez,0-1,C02,"French Defense: Advance Variation, Euwe Variation"
yosbelbenitez,fleksnes,0-1,B01,Scandinavian Defense
yosbelbenitez,Polar58,0-1,B90,"Sicilian Defense: Najdorf Variation, Lipnitsky Attack"
yosbelbenitez,Sehbastian,1-0,B00,Pirc Defense: Roscher Gambit
yosbelbenitez,tatalooo,1-0,B50,Sicilian Defense
Nontas_Asfairos,yosbelbenitez,0-1,C02,"French Defense: Advance Variation, Euwe Variation"
skorpio74,yosbelbenitez,1-0,B00,King's Pawn
yosbelbenitez,anes79,0-1,B43,"Sicilian Defense: Kan Variation, Knight Variation"
yosbelbenitez,Unknown_Master459,1-0,C01,French Defense: Exchange Variation
yosbelbenitez,ALZaiem12,0-1,C47,Four Knights Game: Italian Variation
Cabai-Rawit,yosbelbenitez,1-0,C00,French Defense: La Bourdonnais Variation
AlexCX,yosbelbenitez,0-1,C00,French Defense
yosbelbenitez,Sachse1960,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
kokx,yosbelbenitez,0-1,C00,French Defense: Knight Variation
yosbelbenitez,Levstrel,0-1,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
yosbelbenitez,Saergut,0-1,C44,Scotch Game: Haxo Gambit
CharlieMoved,yosbelbenitez,0-1,-1,-1
yosbelbenitez,Push-or-C,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
FrancoVallejos,yosbelbenitez,0-1,A00,Hungarian : Catalan Formation
yosbelbenitez,Sthephano_2008,0-1,C50,Italian Game: Giuoco Pianissimo
Hardyush,yosbelbenitez,1-0,-1,-1
yosbelbenitez,GrandmasterGage05,1-0,-1,-1
AGUINALDO79,yosbelbenitez,1-0,-1,-1
yosbelbenitez,Mgm1978,0-1,C41,Philidor Defense
NikeStale,yosbelbenitez,1-0,C01,French Defense: Exchange Variation
yosbelbenitez,satnicko57,0-1,C41,Philidor Defense: Hanham Variation
yosbelbenitez,Paltaroov,0-1,C44,Scotch Game: Benima Defense
Muchimwajr,yosbelbenitez,0-1,C02,French Defense: Advance Variation
Rikstov,yosbelbenitez,1-0,D31,Queen's Gambit Declined: Queen's Knight Variation
atayardimci,yosbelbenitez,0-1,B00,Owen Defense
yosbelbenitez,reyoBonurB,1-0,C00,French Defense: Normal Variation
yosbelbenitez,mirovland2,0-1,B02,Alekhine Defense
Aton777,yosbelbenitez,0-1,D02,Queen's Pawn Game: Zukertort Variation
kx2k1,yosbelbenitez,1-0,C00,French Defense: La Bourdonnais Variation
yosbelbenitez,ospap,1-0,B72,Sicilian Defense: Dragon Variation
Dondanakan,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,joaquin202020,1-0,C40,King's Pawn Game: Busch-Gass Gambit
yosbelbenitez,genrk79,0-1,-1,-1
bojan2,yosbelbenitez,1-0,D32,Tarrasch Defense
yosbelbenitez,Ulacio,0-1,C10,Sicilian Defense: Marshall Gambit
mmayol,yosbelbenitez,0-1,C08,"French Defense: Tarrasch Variation, Open System"
yosbelbenitez,Ulacio,1-0,C01,French Defense: Exchange Variation
paraulata,yosbelbenitez,1-0,C10,Sicilian Defense: Marshall Gambit
yosbelbenitez,Santiagomessi2010,0-1,C55,"Italian Game: Two Knights Defense, Max Lange Attack"
Macha202,yosbelbenitez,1-0,C00,French Defense: La Bourdonnais Variation
yosbelbenitez,perdomod,0-1,B50,Sicilian Defense: Modern Variations
Antonell,yosbelbenitez,1-0,C01,French Defense: Exchange Variation
yosbelbenitez,angelcamaguan42,1-0,B32,Sicilian Defense: Lwenthal Variation
yosbelbenitez,Bomm31,0-1,B27,Sicilian Defense: Hyperaccelerated Fianchetto
Raul2017,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,madc431972,0-1,C50,Blackburne Shilling Gambit
Megaterio,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,ALITA20,1-0,B10,Caro-Kann Defense
HAROLD38,yosbelbenitez,1-0,D00,Queen's Pawn Game: Mason Variation
yosbelbenitez,antoniomontero,0-1,B28,"Sicilian Defense: O'Kelly Variation, Normal System, Taimanov Line"
angelcamaguan42,yosbelbenitez,1-0,D00,Queen's Pawn Game: Mason Variation
yosbelbenitez,sago57,0-1,C00,French Defense: Knight Variation
yosbelbenitez,Blitz-rock,0-1,C41,Philidor Defense
makhno_evgeny,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,ck_mura,0-1,C50,Giuoco Piano
GuidoNator,yosbelbenitez,1-0,A40,Horwitz Defense
yosbelbenitez,Aioaiao,1-0,B32,Sicilian Defense: Open
MyccoH,yosbelbenitez,1/2-1/2,C00,French Defense
Akshat3540,yosbelbenitez,0-1,C00,French Defense: Knight Variation
yosbelbenitez,Filbertho27,1-0,C41,Philidor Defense
Bier2019,yosbelbenitez,1-0,A04,Zukertort : Queen's Gambit Invitation
yosbelbenitez,Jompa14,0-1,B02,Alekhine Defense
mhzalex,yosbelbenitez,0-1,C00,French Defense: Knight Variation
harry1252,yosbelbenitez,1-0,C00,French Defense: Knight Variation
yosbelbenitez,omarraguig,1-0,C55,Italian Game: Two Knights Defense
yosbelbenitez,Bunny7,1-0,C50,Italian Game
yosbelbenitez,aryasauky,0-1,C50,Italian Game: Schilling-Kostic Gambit
l06chess,yosbelbenitez,0-1,C10,Sicilian Defense: Marshall Gambit
donmanfredo,yosbelbenitez,0-1,D31,Queen's Gambit Declined: Queen's Knight Variation
yosbelbenitez,Ronald_Linares02,0-1,-1,-1
jchh,yosbelbenitez,1-0,B00,King's Pawn
moisesbastidas7822,yosbelbenitez,1-0,A04,Zukertort : Queen's Gambit Invitation
yosbelbenitez,RompeCraneo,0-1,C00,Rat Defense: Small Center Defense
