Blancas,Negras,Result,ECO,Opening
Kairat9009,mherize,1-0,B30,Sicilian Defense: Old Sicilian
mherize,root2,1/2-1/2,B90,Sicilian Defense: Najdorf Variation
EdwardNewgateTwitch,mherize,1-0,A00,Anderssen's
mherize,ADILFOX,1-0,B70,Sicilian Defense: Dragon Variation
ADILFOX,mherize,0-1,E76,"King's Indian Defense: Four Pawns Attack, Dynamic Attack"
mherize,Adjustor,1-0,C61,Ruy Lopez: Bird Variation
mherize,blocksalje_saldo,0-1,B02,Alekhine Defense: Two Pawn Attack
Chrikarl,mherize,1-0,B32,Sicilian Defense: Lwenthal Variation
mherize,Lwendoski,1-0,B00,Goldsmith Defense
mherize,EvgKar,1-0,B47,"Sicilian Defense: Taimanov Variation, Bastrikov Variation"
texaspete09,mherize,1-0,B20,Sicilian Defense
fkw_slz_ma,mherize,0-1,E73,"King's Indian Defense: Normal Variation, Standard Development"
mherize,lindogatito,0-1,B01,Scandinavian Defense: Main Line
mherize,Fagara,1-0,B83,"Sicilian Defense: Scheveningen Variation, Modern Variation"
Jose_Barreto,mherize,1-0,E97,"King's Indian Defense: Orthodox Variation, Bayonet Attack"
mherize,Tinu24,0-1,C11,French Defense: Steinitz Variation
alzaenal,mherize,1-0,E70,King's Indian Defense: Normal Variation
CharltonGm,mherize,0-1,B30,Sicilian Defense: Old Sicilian
mherize,Bpx,0-1,C00,French Defense: Knight Variation
mherize,GerwantZrivii,0-1,B90,Sicilian Defense: Najdorf Variation
DryBoneS1992,mherize,0-1,A45,Indian Defense
mherize,IA-1961,1-0,B10,Caro-Kann Defense: Goldman Variation
mherize,Anhanga_Tinhoso,1-0,D04,"Queen's Pawn Game: Colle System, Anti-Colle"
IA-1961,mherize,1-0,A45,Indian Defense
Bandit121,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,xLAZGANDALF,0-1,C65,Ruy Lopez: Berlin Defense
InertW,mherize,0-1,B32,Sicilian Defense: Kalashnikov Variation
Tsarli,mherize,0-1,E94,"King's Indian Defense: Orthodox Variation, Positional Defense, Closed Line"
jHonor,mherize,1-0,A00,Polish : Czech Defense
mherize,renevic_verbo,0-1,C00,French Defense: Two Knights Variation
mherize,hasnomrani,0-1,B10,Caro-Kann Defense
mherize,AlgoritmoEvolutivo,1/2-1/2,C63,Ruy Lopez: Schliemann Defense
barcelona-city,mherize,1-0,E61,King's Indian Defense: Smyslov Variation
mherize,WhatIsTheChance,1-0,B32,Sicilian Defense: Kalashnikov Variation
capricorn1967,mherize,1-0,D02,Queen's Pawn Game: London System
mherize,Titiluna,1-0,B01,Scandinavian Defense: Modern Variation
GOAT_IS_RJF,mherize,1/2-1/2,B32,Sicilian Defense: Lwenthal Variation
Ovidio-69,mherize,0-1,A45,Indian Defense
mherize,hamza_algeriany,1-0,B74,"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line"
mherize,gladiador9,0-1,C00,French Defense: Two Knights Variation
mherize,faf1980,0-1,C00,French Defense: Two Knights Variation
mherize,GuerreroH2,0-1,B10,Caro-Kann Defense: Goldman Variation
GuerreroH2,mherize,0-1,A48,London System
mherize,GuerreroH2,1-0,B10,Caro-Kann Defense: Goldman Variation
GuerreroH2,mherize,0-1,A48,London System
KarthikElango,mherize,0-1,A27,"English : King's English Variation, Three Knights System"
NewtonHeath,mherize,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mherize,gb_games,1-0,B09,Pirc Defense: Austrian Attack
Marshallgomez,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,Goldlund,1-0,B01,Scandinavian Defense: Blackburne Gambit
PVZ1971,mherize,1-0,B30,Sicilian Defense: Old Sicilian
mherize,PVZ1971,1-0,B50,Sicilian Defense
icsacc,mherize,1-0,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
mherize,glogloglo82,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
escocesa,mherize,0-1,B32,Sicilian Defense: Kalashnikov Variation
KSVKSV,mherize,1-0,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
mherize,MagistrTortikov,0-1,C70,"Ruy Lopez: Morphy Defense, Schliemann Defense Deferred"
mherize,Ludo_Mania-BKD,1-0,B32,Sicilian Defense: Accelerated Dragon
brucemieses,mherize,0-1,E10,Blumenfeld Countergambit
Everrang,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,martinezkramnik,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
Ebuka2z2,mherize,1-0,B20,Sicilian Defense: Bowdler Attack
mherize,AlexhineGV,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
mherize,sesilu29,0-1,C41,Philidor Defense
Finnja,mherize,1-0,E81,"King's Indian Defense: Smisch Variation, Bobotsov-Korchnoi-Petrosian Variation"
mherize,ShantiNurAbidahWIM,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
mherize,Eilandjuenger,0-1,A06,Zukertort : Tennison Gambit
Kyle_Reese,mherize,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
chessdez,mherize,0-1,E61,King's Indian Defense: Smyslov Variation
lion6000us,mherize,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mherize,Cellcuber,0-1,B02,Alekhine Defense: Mokele Mbembe
drk47,mherize,0-1,E90,"King's Indian Defense: Normal Variation, Rare Defenses"
mherize,drk47,1-0,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
drk47,mherize,0-1,B30,Sicilian Defense: Old Sicilian
mherize,drk47,1-0,C84,"Ruy Lopez: Closed, Martinez Variation"
FlyFire,mherize,1-0,A45,Indian Defense
Julzz41654,mherize,1-0,A38,"English : Symmetrical Variation, Duchamp Variation"
mherize,MaloryArcher,1/2-1/2,B12,"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense"
PeterDoesIt,mherize,0-1,A45,Indian Defense
mherize,Plorel,1-0,B27,Sicilian Defense
mherize,Wolfmutat,0-1,B08,Pirc Defense: Classical Variation
DIKISANA,mherize,0-1,A00,Grob
mherize,sungking,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
mherize,iamgreatman,1-0,B01,Scandinavian Defense: Mieses-Kotroc Variation
jesuachov,mherize,1-0,A01,Nimzo-Larsen Attack: Classical Variation
Ian_Brucal27,mherize,0-1,A48,London System
mherize,LOBO10,1-0,B90,Sicilian Defense: Najdorf Variation
mherize,sm46,1-0,B32,Sicilian Defense: Open
Fischerattck,mherize,0-1,B32,Sicilian Defense: Kalashnikov Variation
mherize,carlosh99,0-1,B10,Caro-Kann Defense: Goldman Variation
drahmedsalem,mherize,0-1,E68,"King's Indian Defense: Fianchetto Variation, Classical Variation"
mherize,Troiko,0-1,C77,"Ruy Lopez: Morphy Defense, Anderssen Variation"
Killerman21,mherize,0-1,E76,King's Indian Defense: Four Pawns Attack
Kampenschaakt,mherize,1-0,A02,Bird
mherize,Check2daMate,0-1,B01,Scandinavian Defense: Blackburne Gambit
lasdamasnegras,mherize,1-0,B32,Sicilian Defense: Lwenthal Variation
agautam2697,mherize,0-1,B20,Sicilian Defense
mherize,rhunychank,0-1,A07,King's Indian Attack
nurik7979,mherize,1-0,C00,French Defense: Queen's Knight
mherize,PoorAndFurious,1-0,B00,Owen Defense: Smith Gambit
Onlytwo,mherize,0-1,D00,Queen's Pawn Game
mherize,VovkaGrozniy,0-1,B10,Caro-Kann Defense: Two Knights Attack
karlv2020,mherize,1-0,B13,Caro-Kann Defense: Exchange Variation
mherize,gh-akbari,1-0,C42,Russian Game: Nimzowitsch Attack
ROSTISLAVA,mherize,0-1,B30,Sicilian Defense: Old Sicilian
fatemeh-assarzadeh,mherize,0-1,B32,Sicilian Defense: Lwenthal Variation
mherize,AmateurBegineer,1-0,C64,Ruy Lopez: Classical Variation
mherize,RicharMac,0-1,B01,Scandinavian Defense: Mieses-Kotroc Variation
mherize,donmambi,1-0,C85,"Ruy Lopez: Closed, Delayed Exchange"
GambitSpectacle,mherize,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
mherize,Bogdan251,0-1,A40,Mikenas Defense: Lithuanian Variation
luciorojasxyz,mherize,1-0,B30,Sicilian Defense: Old Sicilian
Makyutbex,mherize,1-0,A00,Hungarian
mherize,Andrei1966,0-1,C64,Ruy Lopez: Classical Variation
jccmaduka,mherize,1-0,B30,Sicilian Defense: Old Sicilian
mherize,oghenedoro5,1/2-1/2,C48,Four Knights Game: Spanish Variation
Arwali,mherize,0-1,B30,Sicilian Defense: Old Sicilian
ESP-918,mherize,0-1,A00,Polish
mherize,katalino,1-0,B90,Sicilian Defense: Najdorf Variation
Zhalgas_asylkhan,mherize,0-1,B32,Sicilian Defense: Lwenthal Variation
mherize,sealcham,0-1,B29,"Sicilian Defense: Nimzowitsch Variation, Closed Variation"
mherize,GanzAnderson,0-1,B02,Alekhine Defense: Two Pawn Attack
Nickytall,mherize,0-1,B22,"Sicilian Defense: Alapin Variation, Barmen Defense"
agus2800,mherize,0-1,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
mherize,ismjan,0-1,B01,Scandinavian Defense
mherize,joyjy,1-0,B74,"Sicilian Defense: Dragon Variation, Classical Variation, Normal Line"
crisale9,mherize,0-1,A25,"English : King's English Variation, Reversed Closed Sicilian"
mherize,chess_nilesh,1-0,C48,"Four Knights Game: Spanish Variation, Classical Variation"
Camandula,mherize,1-0,A06,Zukertort : Old Indian Attack
oliverK0308,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,Lhdjasdnda,0-1,A45,Indian Defense: Omega Gambit
clases_entrenamiento,mherize,1/2-1/2,E62,"King's Indian Defense: Fianchetto Variation, Delayed Fianchetto"
mherize,Shedlock,1-0,B07,Czech Defense
mherize,karenamini_kish,1-0,C48,"Four Knights Game: Spanish Variation, Classical Variation"
mherize,Adamar,1-0,C65,"Ruy Lopez: Classical Variation, Zukertort Gambit"
Adamar,mherize,0-1,B30,Sicilian Defense: Old Sicilian
mherize,chchno,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
Stside_UNMSM,mherize,0-1,A00,Hungarian : Reversed Modern Defense
mherize,navalino,0-1,B10,Caro-Kann Defense
mherize,matricx,0-1,B90,Sicilian Defense: Najdorf Variation
ferriso,mherize,0-1,B30,Sicilian Defense: Old Sicilian
ELJONSSON,mherize,1/2-1/2,B20,Sicilian Defense: Bowdler Attack
getush,mherize,0-1,B20,Sicilian Defense: Bowdler Attack
mherize,vijaybhaiara,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation"
mherize,colourcomplex,0-1,B07,Czech Defense
ayg011,mherize,1/2-1/2,B23,"Sicilian Defense: Closed, Traditional"
DAN_ShMiDt,mherize,1-0,A45,Indian Defense
mherize,Te-nej,1-0,B70,Sicilian Defense: Dragon Variation
mherize,Raghubar_Tyagi,1-0,B01,Scandinavian Defense: Main Line
Amirshuh,mherize,0-1,E60,"King's Indian Defense: Normal Variation, King's Knight Variation"
mherize,youCanTryonce,0-1,B33,"Sicilian Defense: Lasker-Pelikan Variation, Sveshnikov Variation, Chelyabinsk Variation"
mherize,Saveurstrongmove,1-0,B40,Sicilian Defense: Four Knights Variation
Death_Blooms,mherize,1-0,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
Iron37,mherize,1/2-1/2,A48,East Indian Defense
mherize,Slowden,0-1,B32,Sicilian Defense: Lwenthal Variation
Kaktusfrucht,mherize,1-0,B03,Alekhine Defense
mherize,Pshenichnyj,0-1,C00,French Defense: Two Knights Variation
dipblu,mherize,1-0,B20,Sicilian Defense
mherize,aavnikras1,1-0,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
Omran72,mherize,1/2-1/2,B30,Sicilian Defense: Nyezhmetdinov-Rossolimo Attack
IVchess,mherize,1-0,A27,"English : King's English Variation, Three Knights System"
mherize,hh33zz,0-1,C41,Philidor Defense
mherize,ynotry,1-0,B00,Pirc Defense
mherize,D-Andonovski,0-1,B50,Sicilian Defense
ER1964,mherize,1-0,A45,Trompowsky Attack: Edge Variation
FAA1977,mherize,1/2-1/2,A20,English : King's English Variation
Milesgloriosus,mherize,0-1,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Paulsen Formation"
mherize,Mwansa,0-1,C65,Ruy Lopez: Berlin Defense
mherize,trigger336633,0-1,C00,French Defense: Two Knights Variation
jesseildo,mherize,0-1,A00,Van't Kruijs
yog-sothot,mherize,1-0,B23,Sicilian Defense: Grand Prix Attack
mherize,michaelsole,0-1,B10,Caro-Kann Defense: Goldman Variation
EpicOats,mherize,1-0,E81,"King's Indian Defense: Smisch Variation, Bobotsov-Korchnoi-Petrosian Variation"
hukinimko,mherize,0-1,A00,Van Geet : Reversed Nimzowitsch
mherize,xefo3,0-1,B40,Sicilian Defense: Gaw-Paw Variation
dilg_alcantara19,mherize,1/2-1/2,B22,Sicilian Defense: Alapin Variation
pierrenormal,mherize,1-0,B20,Sicilian Defense: Wing Gambit
mherize,botvinnik1994,0-1,B90,Sicilian Defense: Najdorf Variation
Daniel_Od,mherize,0-1,B21,Sicilian Defense: McDonnell Attack
mherize,Bobby911,0-1,B06,Modern Defense
mherize,Mynameislegion,0-1,C44,King's Knight : Normal Variation
mherize,AjedrezSevillaHN,1-0,B70,"Sicilian Defense: Dragon Variation, Classical Variation"
notacheater,mherize,0-1,B22,Sicilian Defense: Alapin Variation
mherize,arkurni,1-0,B28,"Sicilian Defense: O'Kelly Variation, Normal System"
Uni_Corn,mherize,1-0,A45,Indian Defense
onearmboxer,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,baagadde,0-1,C63,Ruy Lopez: Schliemann Defense
baagadde,mherize,0-1,B32,Sicilian Defense: Kalashnikov Variation
mherize,baagadde,1/2-1/2,C63,Ruy Lopez: Schliemann Defense
baagadde,mherize,0-1,B32,Sicilian Defense: Kalashnikov Variation
mherize,baagadde,0-1,C63,Ruy Lopez: Schliemann Defense
mherize,AlephChess,0-1,B01,Scandinavian Defense: Blackburne Gambit
AlephChess,mherize,0-1,B21,Sicilian Defense: Smith-Morra Gambit
mherize,AlephChess,1-0,B90,Sicilian Defense: Najdorf Variation
AlephChess,mherize,1-0,B21,Sicilian Defense: Smith-Morra Gambit
mherize,pollitopio2697,0-1,C67,"Ruy Lopez: Berlin Defense, Rio Gambit Accepted"
mherize,Cristofer08,1-0,C60,Ruy Lopez: Cozio Defense
mherize,gregcelestial,1-0,C65,"Ruy Lopez: Berlin Defense, Beverwijk Variation"
Juancho17,mherize,0-1,B23,Sicilian Defense: Grand Prix Attack
dosantos05,mherize,1-0,E77,"King's Indian Defense: Four Pawns Attack, Normal Attack"
Games4Fun,mherize,0-1,A45,Indian Defense
SunCaesar,mherize,0-1,B30,Sicilian Defense: Old Sicilian
mherize,nobibla,1-0,C00,French Defense: Two Knights Variation
mherize,drjuliocezar,0-1,C00,French Defense: Two Knights Variation
mherize,sanjeevkumar22,0-1,B33,Sicilian Defense: Lasker-Pelikan Variation
brahim321654,mherize,1-0,A25,"English : King's English Variation, Closed System"
mherize,Dirk_V,1-0,C00,French Defense: Two Knights Variation
Il-Bobby,mherize,1-0,E61,King's Indian Defense
italiannstallon,mherize,0-1,E91,King's Indian Defense: Orthodox Variation
mherize,sasanhaghdoost,0-1,B33,Sicilian Defense: Open
mherize,saburjanovich,0-1,C00,French Defense: Two Knights Variation
robertopaixaodelima,mherize,0-1,B30,Sicilian Defense: Old Sicilian
mherize,Narkoman_molodoi,0-1,B10,Caro-Kann Defense: Two Knights Attack
Cubebrain,mherize,0-1,B24,Sicilian Defense: Closed
mherize,Bruto130199,0-1,B01,Scandinavian Defense: Gubinsky-Melts Defense
mherize,SOPIAN_RIADI,0-1,B50,Sicilian Defense
Hadiaslani12,mherize,0-1,A45,Indian Defense
houdini_1,mherize,1-0,B32,Sicilian Defense: Lwenthal Variation
JCAlvarezSanchez16,mherize,1-0,B32,Sicilian Defense: Kalashnikov Variation
mherize,matricx,1-0,B27,Sicilian Defense: Hyperaccelerated Fianchetto
mherize,Norge-65,0-1,B83,"Sicilian Defense: Scheveningen Variation, Classical Variation"
mherize,habib-021,1-0,C66,"Ruy Lopez: Berlin Defense, Improved Steinitz Defense"
habib-021,mherize,1-0,B21,"Sicilian Defense: Smith-Morra Gambit Accepted, Fianchetto Defense"
Proksinkler,mherize,1-0,B34,"Sicilian Defense: Accelerated Dragon, Modern Variation"
mherize,osasinator,1/2-1/2,B45,"Sicilian Defense: Taimanov Variation, Normal Variation"
