ID User,Headers,Move
EmilyNaranjo,"['Site ""https://lichess.org/YqzFO2fK""', 'Date ""2020.05.05""', 'White ""EmilyNaranjo""', 'Black ""MasterCh1ef423""', 'Result ""0-1""', 'UTCDate ""2020.05.05""', 'UTCTime ""22:30:43""', 'WhiteElo ""1578""', 'BlackElo ""1324""', 'WhiteRatingDiff ""-17""', 'BlackRatingDiff ""+9""', 'Variant ""Standard""', 'TimeControl ""180+2""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Abandoned""']",0-1
EmilyNaranjo,"['Event ""III Copa América U17 2020 Team Battle""', 'Site ""https://lichess.org/ScvpXQGI""', 'Date ""2020.05.05""', 'White ""BurgosB2007""', 'Black ""EmilyNaranjo""', 'Result ""1-0""', 'UTCDate ""2020.05.05""', 'UTCTime ""22:27:59""', 'WhiteElo ""1950""', 'BlackElo ""1581""', 'WhiteRatingDiff ""+1""', 'BlackRatingDiff ""-3""', 'Variant ""Standard""', 'TimeControl ""180+2""', 'ECO ""B00""', 'Opening ""King\'s Pawn""', 'Termination ""Abandoned""']",1. e4 1-0
EmilyNaranjo,"['Event ""III Copa América U17 2020 Team Battle""', 'Site ""https://lichess.org/M5tyjpnJ""', 'Date ""2020.05.05""', 'White ""EmilyNaranjo""', 'Black ""JuanGuara""', 'Result ""0-1""', 'UTCDate ""2020.05.05""', 'UTCTime ""22:26:37""', 'WhiteElo ""1582""', 'BlackElo ""2125""', 'WhiteRatingDiff ""-1""', 'BlackRatingDiff ""+1""', 'Variant ""Standard""', 'TimeControl ""180+2""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Abandoned""']",0-1
EmilyNaranjo,"['Event ""III Copa América U17 2020 Team Battle""', 'Site ""https://lichess.org/Gzs3BTTp""', 'Date ""2020.05.05""', 'White ""hecvkz""', 'Black ""EmilyNaranjo""', 'Result ""1-0""', 'UTCDate ""2020.05.05""', 'UTCTime ""22:21:31""', 'WhiteElo ""1880""', 'BlackElo ""1584""', 'WhiteRatingDiff ""+2""', 'BlackRatingDiff ""-3""', 'Variant ""Standard""', 'TimeControl ""180+2""', 'ECO ""B00""', 'Opening ""King\'s Pawn""', 'Termination ""Abandoned""']",1. e4 1-0
EmilyNaranjo,"['Event ""Rated Blitz game""', 'Site ""https://lichess.org/OGUML7VJ""', 'Date ""2020.05.05""', 'White ""EmilyNaranjo""', 'Black ""nathbailey""', 'Result ""0-1""', 'UTCDate ""2020.05.05""', 'UTCTime ""20:32:22""', 'WhiteElo ""1596""', 'BlackElo ""1613""', 'WhiteRatingDiff ""-11""', 'BlackRatingDiff ""+5""', 'Variant ""Standard""', 'TimeControl ""300+3""', 'ECO ""A41""', 'Opening ""Queen\'s Pawn Game""', 'Termination ""Time forfeit""']",1. d4 d6 2. Bf4 Nf6 3. e3 Nbd7 4. Nd2 e5 5. Bg3 e4 6. Ne2 Be7 7. Nc3 d5 8. h4 O-O 9. f3 exf3 10. gxf3 Nh5 11. Bf2 c6 12. f4 Ndf6 13. Be2 g6 14. Rg1 Kh8 15. Nf3 Ne4 16. Nxe4 dxe4 17. Ne5 Nf6 18. h5 Be6 19. hxg6 fxg6 20. Rh1 Kg7 21. Bh4 Nd7 22. Bxe7 Qxe7 23. Nxd7 Qxd7 24. c4 b5 25. Qc2 bxc4 26. Bxc4 Bf5 27. O-O-O a5 0-1
EmilyNaranjo,"['Event ""Rated Blitz game""', 'Site ""https://lichess.org/GaoJZ0B2""', 'Date ""2020.05.05""', 'White ""EmilyNaranjo""', 'Black ""AI18""', 'Result ""1-0""', 'UTCDate ""2020.05.05""', 'UTCTime ""20:22:48""', 'WhiteElo ""1584""', 'BlackElo ""1594""', 'WhiteRatingDiff ""+12""', 'BlackRatingDiff ""-6""', 'Variant ""Standard""', 'TimeControl ""300+3""', 'ECO ""A40""', 'Opening ""Englund Gambit Complex: Englund Gambit""', 'Termination ""Normal""']",1. d4 e5 2. dxe5 Nc6 3. Nf3 Qe7 4. Nc3 Nxe5 5. Nxe5 Qxe5 6. f4 Qf5 7. e4 Qg6 8. Nd5 Qxe4+ 9. Qe2 Bb4+ 10. Nxb4 Qxe2+ 11. Bxe2 c5 12. Nd5 Kd8 13. Be3 b6 14. O-O-O Bb7 15. Rhe1 Nh6 16. g4 f6 17. f5 Re8 18. Bxh6 gxh6 19. Nxf6 Rf8 20. Rxd7+ Kc8 21. Bb5 Rxf6 22. Re8# 1-0
EmilyNaranjo,"['Event ""Rated Blitz game""', 'Site ""https://lichess.org/hq4PIq9K""', 'Date ""2020.04.27""', 'White ""ReyR""', 'Black ""EmilyNaranjo""', 'Result ""1-0""', 'UTCDate ""2020.04.27""', 'UTCTime ""12:20:00""', 'WhiteElo ""1525""', 'BlackElo ""1598""', 'WhiteRatingDiff ""+7""', 'BlackRatingDiff ""-14""', 'Variant ""Standard""', 'TimeControl ""300+3""', 'ECO ""B32""', 'Opening ""Sicilian Defense: Franco-Sicilian Variation""', 'Termination ""Time forfeit""']",1. e4 c5 2. Nf3 Nc6 3. d4 e6 4. d5 exd5 5. exd5 Nce7 6. c4 d6 7. Bg5 Bf5 8. Bd3 Qa5+ 9. Nc3 h6 10. Bh4 g5 11. Bg3 O-O-O 12. O-O Bg4 13. Nb5 a6 14. Nxd6+ Rxd6 15. Bxd6 f5 16. Be5 Bxf3 17. Qxf3 g4 18. Bxf5+ Kd8 19. Qxg4 Nxf5 20. Qxf5 1-0
EmilyNaranjo,"['Event ""Ven Sub 20 Individual Abs Arena""', 'Site ""https://lichess.org/0k6kJ2u6""', 'Date ""2020.04.07""', 'White ""EmilyNaranjo""', 'Black ""Luisprocrak""', 'Result ""0-1""', 'UTCDate ""2020.04.07""', 'UTCTime ""20:58:22""', 'WhiteElo ""1421""', 'BlackElo ""1697""', 'WhiteRatingDiff ""-10""', 'BlackRatingDiff ""+5""', 'Variant ""Standard""', 'TimeControl ""300+5""', 'ECO ""?""', 'Opening ""?""', 'Termination ""Abandoned""']",0-1
EmilyNaranjo,"['Event ""Ven Sub 20 Individual Abs Arena""', 'Site ""https://lichess.org/S5dpF7yV""', 'Date ""2020.04.07""', 'White ""Angel-GY""', 'Black ""EmilyNaranjo""', 'Result ""1-0""', 'UTCDate ""2020.04.07""', 'UTCTime ""20:51:16""', 'WhiteElo ""1745""', 'BlackElo ""1429""', 'WhiteRatingDiff ""+2""', 'BlackRatingDiff ""-8""', 'Variant ""Standard""', 'TimeControl ""300+5""', 'ECO ""B30""', 'Opening ""Sicilian Defense: Old Sicilian""', 'Termination ""Normal""']",1. e4 c5 2. Nf3 Nc6 3. c3 a6 4. d4 cxd4 5. Nxd4 g6 6. Be3 Bg7 7. Bc4 b5 8. Bb3 Nf6 9. Nd2 Bb7 10. O-O Ne5 11. Bc2 Nc4 12. Nxc4 bxc4 13. f3 Qb6 14. Qc1 d5 15. Nf5 Qb5 16. Nxg7+ Kf8 17. Bh6 Kg8 18. Nf5 gxf5 19. Qg5# 1-0
EmilyNaranjo,"['Event ""Ven Sub 20 Individual Abs Arena""', 'Site ""https://lichess.org/Nufn8hGE""', 'Date ""2020.04.07""', 'White ""fernandomash19""', 'Black ""EmilyNaranjo""', 'Result ""1-0""', 'UTCDate ""2020.04.07""', 'UTCTime ""20:33:01""', 'WhiteElo ""1445""', 'BlackElo ""1462""', 'WhiteRatingDiff ""+7""', 'BlackRatingDiff ""-33""', 'Variant ""Standard""', 'TimeControl ""300+5""', 'ECO ""B34""', 'Opening ""Sicilian Defense: Accelerated Dragon, Modern Variation""', 'Termination ""Time forfeit""']",1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6 5. Nc3 Bg7 6. Be3 Nf6 7. Qd2 O-O 8. Bc4 e6 9. O-O-O Ng4 10. Bb3 e5 11. Nde2 b6 12. Kb1 Kh8 13. h3 Nxe3 14. Qxe3 d6 15. h4 a5 16. a3 Be6 17. Bxe6 fxe6 18. h5 g5 19. Rd2 Nd4 20. Rhd1 Qf6 21. f3 Qh6 22. Ng3 Rf4 23. Nce2 1-0
